date;symbol;interval;target_margin;p_ema;min_rsi;max_rsi;amount_invested;stop_loss_multiplier;pnl
2024-01-01 13:07:34;AVAXUSDT;30m;1.0;125;44;68;100.0;1;80.28
2024-01-01 13:07:34;AVAXUSDT;30m;1.0;125;46;68;100.0;1;80.52
2024-01-01 13:07:34;AVAXUSDT;30m;1.0;125;42;68;100.0;1;81.75
2024-01-01 13:07:34;AVAXUSDT;30m;1.0;75;44;68;100.0;1;81.95
2024-01-01 13:07:34;AVAXUSDT;30m;3.5;50;32;68;100.0;2;82.74
2024-01-01 13:07:34;AVAXUSDT;30m;3.5;75;32;68;100.0;2;82.74
2024-01-01 13:07:34;AVAXUSDT;30m;3.5;100;32;68;100.0;2;82.74
2024-01-01 13:07:34;AVAXUSDT;30m;1.0;200;46;68;100.0;1;83.28
2024-01-01 13:07:34;AVAXUSDT;30m;1.0;125;48;68;100.0;1;83.89
2024-01-01 13:07:34;AVAXUSDT;30m;1.0;100;44;68;100.0;1;83.96
2024-01-01 13:07:34;AVAXUSDT;30m;1.0;175;46;68;100.0;1;84.01
2024-01-01 13:07:34;AVAXUSDT;30m;1.0;200;44;68;100.0;1;84.32
2024-01-01 13:07:34;AVAXUSDT;30m;1.0;175;44;68;100.0;1;84.75
2024-01-01 13:07:34;AVAXUSDT;30m;1.0;200;48;68;100.0;1;84.83
2024-01-01 13:07:34;AVAXUSDT;30m;1.0;175;48;68;100.0;1;85.57
2024-01-01 13:07:34;AVAXUSDT;30m;1.0;75;42;68;100.0;1;85.91
2024-01-01 13:07:34;AVAXUSDT;30m;1.0;100;42;68;100.0;1;86.33
2024-01-01 13:07:34;AVAXUSDT;30m;1.0;100;46;68;100.0;1;86.38
2024-01-01 13:07:34;AVAXUSDT;30m;1.0;125;50;68;100.0;1;86.42
2024-01-01 13:07:34;AVAXUSDT;30m;1.0;200;50;68;100.0;1;86.49
2024-01-01 13:07:34;AVAXUSDT;30m;1.0;150;46;68;100.0;1;86.98
2024-01-01 13:07:34;AVAXUSDT;30m;1.0;175;50;68;100.0;1;87.25
2024-01-01 13:07:34;AVAXUSDT;30m;4.0;175;30;68;100.0;4;87.42
