date;symbol;interval;target_margin;p_ema;min_rsi;max_rsi;amount_invested;stop_loss_multiplier;pnl
2024-01-01 13:07:38;DOGEUSDT;30m;1.5;75;60;68;100.0;1;92.25
2024-01-01 13:07:38;DOGEUSDT;30m;1.5;75;58;68;100.0;1;92.44
2024-01-01 13:07:38;DOGEUSDT;30m;1.5;75;56;68;100.0;1;92.44
2024-01-01 13:07:38;DOGEUSDT;30m;2.0;50;46;68;100.0;1;92.5
2024-01-01 13:07:38;DOGEUSDT;30m;2.0;75;52;68;100.0;1;92.68
2024-01-01 13:07:38;DOGEUSDT;30m;2.0;75;44;68;100.0;1;93.04
2024-01-01 13:07:38;DOGEUSDT;30m;1.0;75;60;68;100.0;3;93.32
2024-01-01 13:07:38;DOGEUSDT;30m;3.0;75;60;68;100.0;1;93.35
2024-01-01 13:07:38;DOGEUSDT;30m;2.5;75;42;68;100.0;1;93.4
2024-01-01 13:07:38;DOGEUSDT;30m;2.0;75;56;68;100.0;1;93.5
2024-01-01 13:07:38;DOGEUSDT;30m;2.0;75;54;68;100.0;1;93.5
2024-01-01 13:07:38;DOGEUSDT;30m;1.5;75;60;68;100.0;2;93.56
2024-01-01 13:07:38;DOGEUSDT;30m;2.5;50;42;68;100.0;1;93.74
2024-01-01 13:07:38;DOGEUSDT;30m;2.0;75;46;68;100.0;1;93.76
2024-01-01 13:07:38;DOGEUSDT;30m;1.5;75;44;68;100.0;1;93.89
2024-01-01 13:07:38;DOGEUSDT;30m;2.5;75;52;68;100.0;1;93.9
2024-01-01 13:07:38;DOGEUSDT;30m;1.5;75;54;68;100.0;1;93.92
2024-01-01 13:07:38;DOGEUSDT;30m;2.5;75;56;68;100.0;1;93.99
2024-01-01 13:07:38;DOGEUSDT;30m;2.5;75;54;68;100.0;1;93.99
2024-01-01 13:07:38;DOGEUSDT;30m;2.0;50;44;68;100.0;1;94.05
2024-01-01 13:07:38;DOGEUSDT;30m;1.5;75;52;68;100.0;1;94.14
2024-01-01 13:07:38;DOGEUSDT;30m;1.0;75;58;68;100.0;3;94.38
2024-01-01 13:07:38;DOGEUSDT;30m;1.0;75;56;68;100.0;3;94.38
2024-01-01 13:07:38;DOGEUSDT;30m;2.0;75;50;68;100.0;1;94.82
2024-01-01 13:07:38;DOGEUSDT;30m;1.0;50;46;68;100.0;2;94.92
2024-01-01 13:07:38;DOGEUSDT;30m;1.5;75;48;68;100.0;1;95.21
2024-01-01 13:07:38;DOGEUSDT;30m;1.5;75;46;68;100.0;1;95.35
2024-01-01 13:07:38;DOGEUSDT;30m;2.0;75;60;68;100.0;1;95.48
2024-01-01 13:07:38;DOGEUSDT;30m;2.0;75;58;68;100.0;1;95.48
2024-01-01 13:07:38;DOGEUSDT;30m;2.0;100;44;68;100.0;1;95.49
2024-01-01 13:07:38;DOGEUSDT;30m;1.0;50;44;68;100.0;2;95.63
2024-01-01 13:07:38;DOGEUSDT;30m;2.0;100;52;68;100.0;1;95.72
2024-01-01 13:07:38;DOGEUSDT;30m;3.5;225;42;68;100.0;2;95.73
2024-01-01 13:07:38;DOGEUSDT;30m;3.5;250;42;68;100.0;2;95.73
2024-01-01 13:07:38;DOGEUSDT;30m;2.0;75;42;68;100.0;1;95.91
2024-01-01 13:07:38;DOGEUSDT;30m;3.5;225;40;68;100.0;2;95.97
2024-01-01 13:07:38;DOGEUSDT;30m;3.5;250;40;68;100.0;2;95.97
2024-01-01 13:07:38;DOGEUSDT;30m;3.5;225;42;68;100.0;1;96.01
2024-01-01 13:07:38;DOGEUSDT;30m;3.5;250;42;68;100.0;1;96.01
2024-01-01 13:07:38;DOGEUSDT;30m;3.0;75;42;68;100.0;1;96.05
2024-01-01 13:07:38;DOGEUSDT;30m;3.5;225;44;68;100.0;2;96.12
2024-01-01 13:07:38;DOGEUSDT;30m;3.5;250;44;68;100.0;2;96.12
2024-01-01 13:07:38;DOGEUSDT;30m;3.5;225;40;68;100.0;1;96.19
2024-01-01 13:07:38;DOGEUSDT;30m;3.5;250;40;68;100.0;1;96.19
