date;symbol;interval;target_margin;p_ema;min_rsi;max_rsi;amount_invested;stop_loss_multiplier;pnl
2024-01-01 13:07:02;ETHUSDT;1h;1.5;200;40;68;100.0;1;89.29
2024-01-01 13:07:02;ETHUSDT;1h;1.5;225;40;68;100.0;1;89.29
2024-01-01 13:07:02;ETHUSDT;1h;1.5;250;40;68;100.0;1;89.34
2024-01-01 13:07:02;ETHUSDT;1h;1.5;100;40;68;100.0;1;90.85
2024-01-01 13:07:02;ETHUSDT;1h;1.5;125;40;68;100.0;1;90.85
2024-01-01 13:07:02;ETHUSDT;1h;1.5;150;40;68;100.0;1;90.85
2024-01-01 13:07:02;ETHUSDT;1h;1.5;175;40;68;100.0;1;90.85
2024-01-01 13:07:02;ETHUSDT;1h;1.0;75;48;68;100.0;1;92.02
2024-01-01 13:07:02;ETHUSDT;1h;1.0;75;54;68;100.0;1;92.85
2024-01-01 13:07:02;ETHUSDT;1h;1.0;75;50;68;100.0;1;93.12
2024-01-01 13:07:02;ETHUSDT;1h;1.5;200;38;68;100.0;1;93.24
2024-01-01 13:07:02;ETHUSDT;1h;1.5;225;38;68;100.0;1;93.24
2024-01-01 13:07:02;ETHUSDT;1h;1.5;250;38;68;100.0;1;93.24
2024-01-01 13:07:02;ETHUSDT;1h;1.0;75;52;68;100.0;1;93.28
2024-01-01 13:07:02;ETHUSDT;1h;1.0;75;46;68;100.0;1;94.18
2024-01-01 13:07:02;ETHUSDT;1h;1.5;100;42;68;100.0;1;94.44
2024-01-01 13:07:02;ETHUSDT;1h;1.5;125;42;68;100.0;1;94.44
2024-01-01 13:07:02;ETHUSDT;1h;1.5;200;42;68;100.0;1;94.75
2024-01-01 13:07:02;ETHUSDT;1h;1.5;225;42;68;100.0;1;94.75
2024-01-01 13:07:02;ETHUSDT;1h;1.0;200;40;68;100.0;2;94.78
2024-01-01 13:07:02;ETHUSDT;1h;1.5;250;42;68;100.0;1;94.8
2024-01-01 13:07:02;ETHUSDT;1h;1.0;75;58;68;100.0;1;94.86
2024-01-01 13:07:02;ETHUSDT;1h;1.0;75;56;68;100.0;1;94.86
2024-01-01 13:07:02;ETHUSDT;1h;1.5;100;38;68;100.0;1;94.87
2024-01-01 13:07:02;ETHUSDT;1h;1.5;125;38;68;100.0;1;94.87
2024-01-01 13:07:02;ETHUSDT;1h;1.5;150;38;68;100.0;1;94.87
2024-01-01 13:07:02;ETHUSDT;1h;1.5;175;38;68;100.0;1;94.87
2024-01-01 13:07:02;ETHUSDT;1h;1.5;200;36;68;100.0;1;94.94
2024-01-01 13:07:02;ETHUSDT;1h;1.5;225;36;68;100.0;1;94.94
2024-01-01 13:07:02;ETHUSDT;1h;1.5;250;36;68;100.0;1;94.94
2024-01-01 13:07:02;ETHUSDT;1h;1.0;75;44;68;100.0;1;95.02
2024-01-01 13:07:02;ETHUSDT;1h;1.5;50;40;68;100.0;1;95.06
2024-01-01 13:07:02;ETHUSDT;1h;1.5;75;40;68;100.0;1;95.06
2024-01-01 13:07:02;ETHUSDT;1h;1.0;75;42;68;100.0;2;95.32
2024-01-01 13:07:02;ETHUSDT;1h;2.0;100;40;68;100.0;1;95.5
2024-01-01 13:07:02;ETHUSDT;1h;2.0;125;40;68;100.0;1;95.5
2024-01-01 13:07:02;ETHUSDT;1h;2.0;150;40;68;100.0;1;95.5
2024-01-01 13:07:02;ETHUSDT;1h;2.0;175;40;68;100.0;1;95.5
2024-01-01 13:07:02;ETHUSDT;1h;1.0;50;40;68;100.0;2;95.76
2024-01-01 13:07:02;ETHUSDT;1h;1.0;75;40;68;100.0;2;95.76
2024-01-01 13:07:02;ETHUSDT;1h;1.0;75;46;68;100.0;3;95.8
2024-01-01 13:07:02;ETHUSDT;1h;1.5;125;46;68;100.0;1;95.8
2024-01-01 13:07:02;ETHUSDT;1h;1.0;75;44;68;100.0;3;95.8
2024-01-01 13:07:02;ETHUSDT;1h;1.5;125;44;68;100.0;1;95.8
2024-01-01 13:07:02;ETHUSDT;1h;1.5;150;46;68;100.0;1;95.83
2024-01-01 13:07:02;ETHUSDT;1h;1.5;150;44;68;100.0;1;95.83
2024-01-01 13:07:02;ETHUSDT;1h;1.0;100;40;68;100.0;2;95.87
2024-01-01 13:07:02;ETHUSDT;1h;1.0;125;40;68;100.0;2;95.87
2024-01-01 13:07:02;ETHUSDT;1h;1.0;150;40;68;100.0;2;95.87
2024-01-01 13:07:02;ETHUSDT;1h;1.0;175;40;68;100.0;2;95.87
2024-01-01 13:07:02;ETHUSDT;1h;1.5;125;52;68;100.0;1;95.92
2024-01-01 13:07:02;ETHUSDT;1h;1.5;125;50;68;100.0;1;95.92
2024-01-01 13:07:02;ETHUSDT;1h;1.5;125;48;68;100.0;1;95.92
2024-01-01 13:07:02;ETHUSDT;1h;1.5;150;48;68;100.0;1;95.95
2024-01-01 13:07:02;ETHUSDT;1h;1.0;75;60;68;100.0;1;96.02
2024-01-01 13:07:02;ETHUSDT;1h;1.0;75;42;68;100.0;1;96.04
2024-01-01 13:07:02;ETHUSDT;1h;1.5;75;42;68;100.0;1;96.1
2024-01-01 13:07:02;ETHUSDT;1h;1.0;75;54;68;100.0;3;96.19
2024-01-01 13:07:02;ETHUSDT;1h;1.0;75;52;68;100.0;3;96.19
2024-01-01 13:07:02;ETHUSDT;1h;1.0;75;50;68;100.0;3;96.19
2024-01-01 13:07:02;ETHUSDT;1h;1.0;75;48;68;100.0;3;96.19
2024-01-01 13:07:02;ETHUSDT;1h;1.0;75;54;68;100.0;2;96.23
2024-01-01 13:07:02;ETHUSDT;1h;1.0;75;52;68;100.0;2;96.23
2024-01-01 13:07:02;ETHUSDT;1h;1.0;75;50;68;100.0;2;96.23
2024-01-01 13:07:02;ETHUSDT;1h;1.0;75;48;68;100.0;2;96.23
2024-01-01 13:07:02;ETHUSDT;1h;1.0;75;42;68;100.0;3;96.27
2024-01-01 13:07:02;ETHUSDT;1h;2.0;50;34;68;100.0;1;96.31
2024-01-01 13:07:02;ETHUSDT;1h;2.0;75;34;68;100.0;1;96.31
2024-01-01 13:07:02;ETHUSDT;1h;2.0;100;34;68;100.0;1;96.31
2024-01-01 13:07:02;ETHUSDT;1h;2.0;125;34;68;100.0;1;96.31
2024-01-01 13:07:02;ETHUSDT;1h;2.0;150;34;68;100.0;1;96.31
2024-01-01 13:07:02;ETHUSDT;1h;2.0;175;34;68;100.0;1;96.31
2024-01-01 13:07:02;ETHUSDT;1h;1.5;150;42;68;100.0;1;96.41
2024-01-01 13:07:02;ETHUSDT;1h;1.5;175;42;68;100.0;1;96.41
2024-01-01 13:07:02;ETHUSDT;1h;1.5;100;36;68;100.0;1;96.6
2024-01-01 13:07:02;ETHUSDT;1h;1.5;125;36;68;100.0;1;96.6
2024-01-01 13:07:02;ETHUSDT;1h;1.5;150;36;68;100.0;1;96.6
2024-01-01 13:07:02;ETHUSDT;1h;1.5;175;36;68;100.0;1;96.6
2024-01-01 13:07:02;ETHUSDT;1h;1.0;200;40;68;100.0;1;96.68
2024-01-01 13:07:02;ETHUSDT;1h;1.5;200;46;68;100.0;1;96.72
2024-01-01 13:07:02;ETHUSDT;1h;1.5;225;46;68;100.0;1;96.72
2024-01-01 13:07:02;ETHUSDT;1h;1.5;200;44;68;100.0;1;96.72
2024-01-01 13:07:02;ETHUSDT;1h;1.5;225;44;68;100.0;1;96.72
2024-01-01 13:07:02;ETHUSDT;1h;1.0;50;48;68;100.0;1;96.74
2024-01-01 13:07:02;ETHUSDT;1h;1.0;200;38;68;100.0;1;96.77
2024-01-01 13:07:02;ETHUSDT;1h;1.5;250;46;68;100.0;1;96.78
2024-01-01 13:07:02;ETHUSDT;1h;1.5;250;44;68;100.0;1;96.78
2024-01-01 13:07:02;ETHUSDT;1h;1.0;75;44;68;100.0;2;96.81
2024-01-01 13:07:02;ETHUSDT;1h;1.5;200;48;68;100.0;1;96.85
2024-01-01 13:07:02;ETHUSDT;1h;1.5;225;48;68;100.0;1;96.85
2024-01-01 13:07:02;ETHUSDT;1h;1.0;125;48;68;100.0;1;96.89
2024-01-01 13:07:02;ETHUSDT;1h;1.5;250;48;68;100.0;1;96.9
2024-01-01 13:07:02;ETHUSDT;1h;2.0;50;32;68;100.0;1;96.91
2024-01-01 13:07:02;ETHUSDT;1h;2.0;75;32;68;100.0;1;96.91
2024-01-01 13:07:02;ETHUSDT;1h;2.0;100;32;68;100.0;1;96.91
2024-01-01 13:07:02;ETHUSDT;1h;2.0;125;32;68;100.0;1;96.91
2024-01-01 13:07:02;ETHUSDT;1h;2.0;150;32;68;100.0;1;96.91
2024-01-01 13:07:02;ETHUSDT;1h;2.0;175;32;68;100.0;1;96.91
2024-01-01 13:07:02;ETHUSDT;1h;1.0;150;48;68;100.0;1;96.93
2024-01-01 13:07:02;ETHUSDT;1h;1.0;75;46;68;100.0;2;96.97
2024-01-01 13:07:02;ETHUSDT;1h;1.5;50;38;68;100.0;1;97.06
2024-01-01 13:07:02;ETHUSDT;1h;1.5;75;38;68;100.0;1;97.06
2024-01-01 13:07:02;ETHUSDT;1h;2.0;200;40;68;100.0;1;97.36
2024-01-01 13:07:02;ETHUSDT;1h;2.0;225;40;68;100.0;1;97.36
2024-01-01 13:07:02;ETHUSDT;1h;2.0;250;40;68;100.0;1;97.57
2024-01-01 13:07:02;ETHUSDT;1h;1.0;50;54;68;100.0;1;97.61
2024-01-01 13:07:02;ETHUSDT;1h;1.0;100;42;68;100.0;3;97.65
2024-01-01 13:07:02;ETHUSDT;1h;1.0;125;42;68;100.0;3;97.65
2024-01-01 13:07:02;ETHUSDT;1h;1.5;150;52;68;100.0;1;97.66
2024-01-01 13:07:02;ETHUSDT;1h;1.5;150;50;68;100.0;1;97.66
2024-01-01 13:07:02;ETHUSDT;1h;1.0;100;48;68;100.0;1;97.72
2024-01-01 13:07:02;ETHUSDT;1h;1.5;75;46;68;100.0;1;97.75
2024-01-01 13:07:02;ETHUSDT;1h;1.5;75;44;68;100.0;1;97.75
2024-01-01 13:07:02;ETHUSDT;1h;1.0;100;40;68;100.0;1;97.79
2024-01-01 13:07:02;ETHUSDT;1h;1.0;125;40;68;100.0;1;97.79
2024-01-01 13:07:02;ETHUSDT;1h;1.0;150;40;68;100.0;1;97.79
2024-01-01 13:07:02;ETHUSDT;1h;1.0;175;40;68;100.0;1;97.79
2024-01-01 13:07:02;ETHUSDT;1h;1.0;200;48;68;100.0;1;97.84
2024-01-01 13:07:02;ETHUSDT;1h;1.5;75;52;68;100.0;1;97.87
2024-01-01 13:07:02;ETHUSDT;1h;1.5;75;50;68;100.0;1;97.87
2024-01-01 13:07:02;ETHUSDT;1h;1.5;75;48;68;100.0;1;97.87
2024-01-01 13:07:02;ETHUSDT;1h;1.0;100;38;68;100.0;1;97.88
2024-01-01 13:07:02;ETHUSDT;1h;1.0;125;38;68;100.0;1;97.88
2024-01-01 13:07:02;ETHUSDT;1h;1.0;150;38;68;100.0;1;97.88
2024-01-01 13:07:02;ETHUSDT;1h;1.0;175;38;68;100.0;1;97.88
2024-01-01 13:07:02;ETHUSDT;1h;1.0;225;40;68;100.0;1;97.89
2024-01-01 13:07:02;ETHUSDT;1h;1.0;50;50;68;100.0;1;97.9
2024-01-01 13:07:02;ETHUSDT;1h;2.5;50;32;68;100.0;1;97.9
2024-01-01 13:07:02;ETHUSDT;1h;2.5;75;32;68;100.0;1;97.9
2024-01-01 13:07:02;ETHUSDT;1h;2.5;100;32;68;100.0;1;97.9
2024-01-01 13:07:02;ETHUSDT;1h;2.5;125;32;68;100.0;1;97.9
2024-01-01 13:07:02;ETHUSDT;1h;2.5;150;32;68;100.0;1;97.9
2024-01-01 13:07:02;ETHUSDT;1h;2.5;175;32;68;100.0;1;97.9
2024-01-01 13:07:02;ETHUSDT;1h;1.0;225;38;68;100.0;1;97.98
2024-01-01 13:07:02;ETHUSDT;1h;1.0;250;38;68;100.0;1;97.98
2024-01-01 13:07:02;ETHUSDT;1h;1.5;100;46;68;100.0;1;98.05
2024-01-01 13:07:02;ETHUSDT;1h;1.0;125;50;68;100.0;1;98.06
2024-01-01 13:07:02;ETHUSDT;1h;1.0;50;52;68;100.0;1;98.07
2024-01-01 13:07:02;ETHUSDT;1h;1.0;250;40;68;100.0;1;98.1
