date;symbol;interval;target_margin;p_ema;min_rsi;max_rsi;amount_invested;stop_loss_multiplier;pnl
2024-01-01 13:07:39;LTCUSDT;30m;3.5;50;38;68;100.0;1;94.62
2024-01-01 13:07:39;LTCUSDT;30m;3.5;75;38;68;100.0;1;94.62
2024-01-01 13:07:39;LTCUSDT;30m;3.5;100;38;68;100.0;1;94.8
2024-01-01 13:07:39;LTCUSDT;30m;2.0;50;30;68;100.0;3;95.75
2024-01-01 13:07:39;LTCUSDT;30m;2.0;75;30;68;100.0;3;95.75
2024-01-01 13:07:39;LTCUSDT;30m;2.0;100;30;68;100.0;3;95.75
2024-01-01 13:07:39;LTCUSDT;30m;2.0;125;30;68;100.0;3;95.75
2024-01-01 13:07:39;LTCUSDT;30m;2.0;150;30;68;100.0;3;95.75
2024-01-01 13:07:39;LTCUSDT;30m;2.0;175;30;68;100.0;3;95.75
2024-01-01 13:07:39;LTCUSDT;30m;2.0;200;30;68;100.0;3;95.75
2024-01-01 13:07:39;LTCUSDT;30m;2.0;225;30;68;100.0;3;95.75
2024-01-01 13:07:39;LTCUSDT;30m;2.0;250;30;68;100.0;3;95.75
2024-01-01 13:07:39;LTCUSDT;30m;2.0;50;28;68;100.0;3;95.75
2024-01-01 13:07:39;LTCUSDT;30m;2.0;75;28;68;100.0;3;95.75
2024-01-01 13:07:39;LTCUSDT;30m;2.0;100;28;68;100.0;3;95.75
2024-01-01 13:07:39;LTCUSDT;30m;2.0;125;28;68;100.0;3;95.75
2024-01-01 13:07:39;LTCUSDT;30m;2.0;150;28;68;100.0;3;95.75
2024-01-01 13:07:39;LTCUSDT;30m;2.0;175;28;68;100.0;3;95.75
2024-01-01 13:07:39;LTCUSDT;30m;2.0;200;28;68;100.0;3;95.75
2024-01-01 13:07:39;LTCUSDT;30m;2.0;225;28;68;100.0;3;95.75
2024-01-01 13:07:39;LTCUSDT;30m;2.0;250;28;68;100.0;3;95.75
2024-01-01 13:07:39;LTCUSDT;30m;3.5;50;30;68;100.0;1;96.03
2024-01-01 13:07:39;LTCUSDT;30m;3.5;75;30;68;100.0;1;96.03
2024-01-01 13:07:39;LTCUSDT;30m;3.5;100;30;68;100.0;1;96.03
2024-01-01 13:07:39;LTCUSDT;30m;3.5;125;30;68;100.0;1;96.03
2024-01-01 13:07:39;LTCUSDT;30m;3.5;150;30;68;100.0;1;96.03
2024-01-01 13:07:39;LTCUSDT;30m;3.5;175;30;68;100.0;1;96.03
2024-01-01 13:07:39;LTCUSDT;30m;3.5;200;30;68;100.0;1;96.03
2024-01-01 13:07:39;LTCUSDT;30m;3.5;225;30;68;100.0;1;96.03
2024-01-01 13:07:39;LTCUSDT;30m;3.5;250;30;68;100.0;1;96.03
2024-01-01 13:07:39;LTCUSDT;30m;3.5;50;28;68;100.0;1;96.03
2024-01-01 13:07:39;LTCUSDT;30m;3.5;75;28;68;100.0;1;96.03
2024-01-01 13:07:39;LTCUSDT;30m;3.5;100;28;68;100.0;1;96.03
2024-01-01 13:07:39;LTCUSDT;30m;3.5;125;28;68;100.0;1;96.03
2024-01-01 13:07:39;LTCUSDT;30m;3.5;150;28;68;100.0;1;96.03
2024-01-01 13:07:39;LTCUSDT;30m;3.5;175;28;68;100.0;1;96.03
2024-01-01 13:07:39;LTCUSDT;30m;3.5;200;28;68;100.0;1;96.03
2024-01-01 13:07:39;LTCUSDT;30m;3.5;225;28;68;100.0;1;96.03
2024-01-01 13:07:39;LTCUSDT;30m;3.5;250;28;68;100.0;1;96.03
2024-01-01 13:07:39;LTCUSDT;30m;2.5;50;28;68;100.0;2;96.63
2024-01-01 13:07:39;LTCUSDT;30m;2.5;75;28;68;100.0;2;96.63
2024-01-01 13:07:39;LTCUSDT;30m;2.5;100;28;68;100.0;2;96.63
2024-01-01 13:07:39;LTCUSDT;30m;2.5;125;28;68;100.0;2;96.63
2024-01-01 13:07:39;LTCUSDT;30m;2.5;150;28;68;100.0;2;96.63
2024-01-01 13:07:39;LTCUSDT;30m;2.5;175;28;68;100.0;2;96.63
2024-01-01 13:07:39;LTCUSDT;30m;2.5;200;28;68;100.0;2;96.63
2024-01-01 13:07:39;LTCUSDT;30m;2.5;225;28;68;100.0;2;96.63
2024-01-01 13:07:39;LTCUSDT;30m;2.5;250;28;68;100.0;2;96.63
2024-01-01 13:07:39;LTCUSDT;30m;1.0;50;30;68;100.0;3;96.7
2024-01-01 13:07:39;LTCUSDT;30m;1.0;75;30;68;100.0;3;96.7
2024-01-01 13:07:39;LTCUSDT;30m;1.0;100;30;68;100.0;3;96.7
2024-01-01 13:07:39;LTCUSDT;30m;1.0;125;30;68;100.0;3;96.7
2024-01-01 13:07:39;LTCUSDT;30m;1.0;150;30;68;100.0;3;96.7
2024-01-01 13:07:39;LTCUSDT;30m;1.0;175;30;68;100.0;3;96.7
2024-01-01 13:07:39;LTCUSDT;30m;1.0;200;30;68;100.0;3;96.7
2024-01-01 13:07:39;LTCUSDT;30m;1.0;225;30;68;100.0;3;96.7
2024-01-01 13:07:39;LTCUSDT;30m;1.0;250;30;68;100.0;3;96.7
2024-01-01 13:07:39;LTCUSDT;30m;1.0;50;28;68;100.0;3;96.7
2024-01-01 13:07:39;LTCUSDT;30m;1.0;75;28;68;100.0;3;96.7
2024-01-01 13:07:39;LTCUSDT;30m;1.0;100;28;68;100.0;3;96.7
2024-01-01 13:07:39;LTCUSDT;30m;1.0;125;28;68;100.0;3;96.7
2024-01-01 13:07:39;LTCUSDT;30m;1.0;150;28;68;100.0;3;96.7
2024-01-01 13:07:39;LTCUSDT;30m;1.0;175;28;68;100.0;3;96.7
2024-01-01 13:07:39;LTCUSDT;30m;1.0;200;28;68;100.0;3;96.7
2024-01-01 13:07:39;LTCUSDT;30m;1.0;225;28;68;100.0;3;96.7
2024-01-01 13:07:39;LTCUSDT;30m;1.0;250;28;68;100.0;3;96.7
2024-01-01 13:07:39;LTCUSDT;30m;1.0;50;30;68;100.0;6;96.71
2024-01-01 13:07:39;LTCUSDT;30m;1.0;75;30;68;100.0;6;96.71
2024-01-01 13:07:39;LTCUSDT;30m;1.0;100;30;68;100.0;6;96.71
2024-01-01 13:07:39;LTCUSDT;30m;1.0;125;30;68;100.0;6;96.71
2024-01-01 13:07:39;LTCUSDT;30m;1.0;150;30;68;100.0;6;96.71
2024-01-01 13:07:39;LTCUSDT;30m;1.0;175;30;68;100.0;6;96.71
2024-01-01 13:07:39;LTCUSDT;30m;1.0;200;30;68;100.0;6;96.71
2024-01-01 13:07:39;LTCUSDT;30m;1.0;225;30;68;100.0;6;96.71
2024-01-01 13:07:39;LTCUSDT;30m;1.0;250;30;68;100.0;6;96.71
2024-01-01 13:07:39;LTCUSDT;30m;1.0;50;28;68;100.0;6;96.71
2024-01-01 13:07:39;LTCUSDT;30m;1.0;75;28;68;100.0;6;96.71
2024-01-01 13:07:39;LTCUSDT;30m;1.0;100;28;68;100.0;6;96.71
2024-01-01 13:07:39;LTCUSDT;30m;1.0;125;28;68;100.0;6;96.71
2024-01-01 13:07:39;LTCUSDT;30m;1.0;150;28;68;100.0;6;96.71
2024-01-01 13:07:39;LTCUSDT;30m;1.0;175;28;68;100.0;6;96.71
2024-01-01 13:07:39;LTCUSDT;30m;1.0;200;28;68;100.0;6;96.71
2024-01-01 13:07:39;LTCUSDT;30m;1.0;225;28;68;100.0;6;96.71
2024-01-01 13:07:39;LTCUSDT;30m;1.0;250;28;68;100.0;6;96.71
2024-01-01 13:07:39;LTCUSDT;30m;2.5;50;28;68;100.0;1;96.96
2024-01-01 13:07:39;LTCUSDT;30m;2.5;75;28;68;100.0;1;96.96
2024-01-01 13:07:39;LTCUSDT;30m;2.5;100;28;68;100.0;1;96.96
2024-01-01 13:07:39;LTCUSDT;30m;2.5;125;28;68;100.0;1;96.96
2024-01-01 13:07:39;LTCUSDT;30m;2.5;150;28;68;100.0;1;96.96
2024-01-01 13:07:39;LTCUSDT;30m;2.5;175;28;68;100.0;1;96.96
2024-01-01 13:07:39;LTCUSDT;30m;2.5;200;28;68;100.0;1;96.96
2024-01-01 13:07:39;LTCUSDT;30m;2.5;225;28;68;100.0;1;96.96
2024-01-01 13:07:39;LTCUSDT;30m;2.5;250;28;68;100.0;1;96.96
2024-01-01 13:07:39;LTCUSDT;30m;2.0;50;28;68;100.0;1;97.06
2024-01-01 13:07:39;LTCUSDT;30m;2.0;75;28;68;100.0;1;97.06
2024-01-01 13:07:39;LTCUSDT;30m;2.0;100;28;68;100.0;1;97.06
2024-01-01 13:07:39;LTCUSDT;30m;2.0;125;28;68;100.0;1;97.06
2024-01-01 13:07:39;LTCUSDT;30m;2.0;150;28;68;100.0;1;97.06
2024-01-01 13:07:39;LTCUSDT;30m;2.0;175;28;68;100.0;1;97.06
2024-01-01 13:07:39;LTCUSDT;30m;2.0;200;28;68;100.0;1;97.06
2024-01-01 13:07:39;LTCUSDT;30m;2.0;225;28;68;100.0;1;97.06
2024-01-01 13:07:39;LTCUSDT;30m;2.0;250;28;68;100.0;1;97.06
2024-01-01 13:07:39;LTCUSDT;30m;3.0;50;30;68;100.0;1;97.07
2024-01-01 13:07:39;LTCUSDT;30m;3.0;75;30;68;100.0;1;97.07
2024-01-01 13:07:39;LTCUSDT;30m;3.0;100;30;68;100.0;1;97.07
2024-01-01 13:07:39;LTCUSDT;30m;3.0;125;30;68;100.0;1;97.07
2024-01-01 13:07:39;LTCUSDT;30m;3.0;150;30;68;100.0;1;97.07
2024-01-01 13:07:39;LTCUSDT;30m;3.0;175;30;68;100.0;1;97.07
2024-01-01 13:07:39;LTCUSDT;30m;3.0;200;30;68;100.0;1;97.07
2024-01-01 13:07:39;LTCUSDT;30m;3.0;225;30;68;100.0;1;97.07
2024-01-01 13:07:39;LTCUSDT;30m;3.0;250;30;68;100.0;1;97.07
2024-01-01 13:07:39;LTCUSDT;30m;3.0;50;28;68;100.0;1;97.07
2024-01-01 13:07:39;LTCUSDT;30m;3.0;75;28;68;100.0;1;97.07
2024-01-01 13:07:39;LTCUSDT;30m;3.0;100;28;68;100.0;1;97.07
2024-01-01 13:07:39;LTCUSDT;30m;3.0;125;28;68;100.0;1;97.07
2024-01-01 13:07:39;LTCUSDT;30m;3.0;150;28;68;100.0;1;97.07
2024-01-01 13:07:39;LTCUSDT;30m;3.0;175;28;68;100.0;1;97.07
2024-01-01 13:07:39;LTCUSDT;30m;3.0;200;28;68;100.0;1;97.07
2024-01-01 13:07:39;LTCUSDT;30m;3.0;225;28;68;100.0;1;97.07
2024-01-01 13:07:39;LTCUSDT;30m;3.0;250;28;68;100.0;1;97.07
2024-01-01 13:07:39;LTCUSDT;30m;3.0;50;30;68;100.0;2;97.08
2024-01-01 13:07:39;LTCUSDT;30m;3.0;75;30;68;100.0;2;97.08
2024-01-01 13:07:39;LTCUSDT;30m;3.0;100;30;68;100.0;2;97.08
2024-01-01 13:07:39;LTCUSDT;30m;3.0;125;30;68;100.0;2;97.08
2024-01-01 13:07:39;LTCUSDT;30m;3.0;150;30;68;100.0;2;97.08
2024-01-01 13:07:39;LTCUSDT;30m;3.0;175;30;68;100.0;2;97.08
2024-01-01 13:07:39;LTCUSDT;30m;3.0;200;30;68;100.0;2;97.08
2024-01-01 13:07:39;LTCUSDT;30m;3.0;225;30;68;100.0;2;97.08
2024-01-01 13:07:39;LTCUSDT;30m;3.0;250;30;68;100.0;2;97.08
2024-01-01 13:07:39;LTCUSDT;30m;3.0;50;28;68;100.0;2;97.08
2024-01-01 13:07:39;LTCUSDT;30m;3.0;75;28;68;100.0;2;97.08
2024-01-01 13:07:39;LTCUSDT;30m;3.0;100;28;68;100.0;2;97.08
2024-01-01 13:07:39;LTCUSDT;30m;3.0;125;28;68;100.0;2;97.08
2024-01-01 13:07:39;LTCUSDT;30m;3.0;150;28;68;100.0;2;97.08
2024-01-01 13:07:39;LTCUSDT;30m;3.0;175;28;68;100.0;2;97.08
2024-01-01 13:07:39;LTCUSDT;30m;3.0;200;28;68;100.0;2;97.08
2024-01-01 13:07:39;LTCUSDT;30m;3.0;225;28;68;100.0;2;97.08
2024-01-01 13:07:39;LTCUSDT;30m;3.0;250;28;68;100.0;2;97.08
2024-01-01 13:07:39;LTCUSDT;30m;1.0;50;28;68;100.0;5;97.36
2024-01-01 13:07:39;LTCUSDT;30m;1.0;75;28;68;100.0;5;97.36
2024-01-01 13:07:39;LTCUSDT;30m;1.0;100;28;68;100.0;5;97.36
2024-01-01 13:07:39;LTCUSDT;30m;1.0;125;28;68;100.0;5;97.36
2024-01-01 13:07:39;LTCUSDT;30m;1.0;150;28;68;100.0;5;97.36
2024-01-01 13:07:39;LTCUSDT;30m;1.0;175;28;68;100.0;5;97.36
2024-01-01 13:07:39;LTCUSDT;30m;1.0;200;28;68;100.0;5;97.36
2024-01-01 13:07:39;LTCUSDT;30m;1.0;225;28;68;100.0;5;97.36
2024-01-01 13:07:39;LTCUSDT;30m;1.0;250;28;68;100.0;5;97.36
2024-01-01 13:07:39;LTCUSDT;30m;1.0;50;32;68;100.0;6;97.98
2024-01-01 13:07:39;LTCUSDT;30m;1.0;75;32;68;100.0;6;97.98
2024-01-01 13:07:39;LTCUSDT;30m;1.0;100;32;68;100.0;6;97.98
2024-01-01 13:07:39;LTCUSDT;30m;1.0;125;32;68;100.0;6;97.98
2024-01-01 13:07:39;LTCUSDT;30m;1.0;150;32;68;100.0;6;97.98
2024-01-01 13:07:39;LTCUSDT;30m;1.0;175;32;68;100.0;6;97.98
2024-01-01 13:07:39;LTCUSDT;30m;1.0;200;32;68;100.0;6;97.98
2024-01-01 13:07:39;LTCUSDT;30m;1.0;225;32;68;100.0;6;97.98
2024-01-01 13:07:39;LTCUSDT;30m;1.0;250;32;68;100.0;6;97.98
2024-01-01 13:07:39;LTCUSDT;30m;1.0;50;28;68;100.0;2;98.03
2024-01-01 13:07:39;LTCUSDT;30m;1.0;75;28;68;100.0;2;98.03
2024-01-01 13:07:39;LTCUSDT;30m;1.0;100;28;68;100.0;2;98.03
2024-01-01 13:07:39;LTCUSDT;30m;1.0;125;28;68;100.0;2;98.03
2024-01-01 13:07:39;LTCUSDT;30m;1.0;150;28;68;100.0;2;98.03
2024-01-01 13:07:39;LTCUSDT;30m;1.0;175;28;68;100.0;2;98.03
2024-01-01 13:07:39;LTCUSDT;30m;1.0;200;28;68;100.0;2;98.03
2024-01-01 13:07:39;LTCUSDT;30m;1.0;225;28;68;100.0;2;98.03
2024-01-01 13:07:39;LTCUSDT;30m;1.0;250;28;68;100.0;2;98.03
2024-01-01 13:07:39;LTCUSDT;30m;1.5;50;30;68;100.0;2;98.15
2024-01-01 13:07:39;LTCUSDT;30m;1.5;75;30;68;100.0;2;98.15
2024-01-01 13:07:39;LTCUSDT;30m;1.5;100;30;68;100.0;2;98.15
2024-01-01 13:07:39;LTCUSDT;30m;1.5;125;30;68;100.0;2;98.15
2024-01-01 13:07:39;LTCUSDT;30m;1.5;150;30;68;100.0;2;98.15
2024-01-01 13:07:39;LTCUSDT;30m;1.5;175;30;68;100.0;2;98.15
2024-01-01 13:07:39;LTCUSDT;30m;1.5;200;30;68;100.0;2;98.15
2024-01-01 13:07:39;LTCUSDT;30m;1.5;225;30;68;100.0;2;98.15
2024-01-01 13:07:39;LTCUSDT;30m;1.5;250;30;68;100.0;2;98.15
2024-01-01 13:07:39;LTCUSDT;30m;1.5;50;28;68;100.0;2;98.15
2024-01-01 13:07:39;LTCUSDT;30m;1.5;75;28;68;100.0;2;98.15
2024-01-01 13:07:39;LTCUSDT;30m;1.5;100;28;68;100.0;2;98.15
2024-01-01 13:07:39;LTCUSDT;30m;1.5;125;28;68;100.0;2;98.15
2024-01-01 13:07:39;LTCUSDT;30m;1.5;150;28;68;100.0;2;98.15
2024-01-01 13:07:39;LTCUSDT;30m;1.5;175;28;68;100.0;2;98.15
2024-01-01 13:07:39;LTCUSDT;30m;1.5;200;28;68;100.0;2;98.15
2024-01-01 13:07:39;LTCUSDT;30m;1.5;225;28;68;100.0;2;98.15
2024-01-01 13:07:39;LTCUSDT;30m;1.5;250;28;68;100.0;2;98.15
2024-01-01 13:07:39;LTCUSDT;30m;1.5;50;30;68;100.0;4;98.16
2024-01-01 13:07:39;LTCUSDT;30m;1.5;75;30;68;100.0;4;98.16
2024-01-01 13:07:39;LTCUSDT;30m;1.5;100;30;68;100.0;4;98.16
2024-01-01 13:07:39;LTCUSDT;30m;1.5;125;30;68;100.0;4;98.16
2024-01-01 13:07:39;LTCUSDT;30m;1.5;150;30;68;100.0;4;98.16
2024-01-01 13:07:39;LTCUSDT;30m;1.5;175;30;68;100.0;4;98.16
2024-01-01 13:07:39;LTCUSDT;30m;1.5;200;30;68;100.0;4;98.16
2024-01-01 13:07:39;LTCUSDT;30m;1.5;225;30;68;100.0;4;98.16
2024-01-01 13:07:39;LTCUSDT;30m;1.5;250;30;68;100.0;4;98.16
2024-01-01 13:07:39;LTCUSDT;30m;1.5;50;28;68;100.0;4;98.16
2024-01-01 13:07:39;LTCUSDT;30m;1.5;75;28;68;100.0;4;98.16
