date;symbol;interval;target_margin;p_ema;min_rsi;max_rsi;amount_invested;stop_loss_multiplier;pnl
2024-01-01 13:08:39;SOLUSDT;15m;1.0;200;40;68;100.0;3;89.75
2024-01-01 13:08:39;SOLUSDT;15m;2.5;200;40;68;100.0;1;90.41
2024-01-01 13:08:39;SOLUSDT;15m;1.0;175;40;68;100.0;2;90.71
2024-01-01 13:08:39;SOLUSDT;15m;1.0;100;40;68;100.0;3;90.73
2024-01-01 13:08:39;SOLUSDT;15m;2.5;200;40;68;100.0;2;90.93
2024-01-01 13:08:39;SOLUSDT;15m;1.0;100;40;68;100.0;2;91.03
2024-01-01 13:08:39;SOLUSDT;15m;1.0;175;40;68;100.0;3;91.41
2024-01-01 13:08:39;SOLUSDT;15m;1.0;225;38;68;100.0;3;91.62
2024-01-01 13:08:39;SOLUSDT;15m;2.5;200;40;68;100.0;3;91.91
2024-01-01 13:08:39;SOLUSDT;15m;1.0;100;38;68;100.0;3;92.26
2024-01-01 13:08:39;SOLUSDT;15m;1.0;75;40;68;100.0;3;92.31
2024-01-01 13:08:39;SOLUSDT;15m;1.0;200;38;68;100.0;3;92.51
2024-01-01 13:08:39;SOLUSDT;15m;2.0;175;40;68;100.0;3;92.82
2024-01-01 13:08:39;SOLUSDT;15m;3.5;225;40;68;100.0;1;93.11
2024-01-01 13:08:39;SOLUSDT;15m;1.0;175;38;68;100.0;3;93.23
2024-01-01 13:08:39;SOLUSDT;15m;3.5;175;40;68;100.0;1;93.41
2024-01-01 13:08:39;SOLUSDT;15m;3.0;75;38;68;100.0;2;93.85
2024-01-01 13:08:39;SOLUSDT;15m;1.0;200;40;68;100.0;7;93.94
2024-01-01 13:08:39;SOLUSDT;15m;3.0;150;38;68;100.0;2;94.14
2024-01-01 13:08:39;SOLUSDT;15m;1.0;75;40;68;100.0;2;94.42
2024-01-01 13:08:39;SOLUSDT;15m;1.0;175;40;68;100.0;1;94.53
2024-01-01 13:08:39;SOLUSDT;15m;3.5;175;34;68;100.0;3;94.53
2024-01-01 13:08:39;SOLUSDT;15m;1.5;150;40;68;100.0;2;94.59
2024-01-01 13:08:39;SOLUSDT;15m;4.0;75;38;68;100.0;2;94.6
2024-01-01 13:08:39;SOLUSDT;15m;1.0;100;40;68;100.0;1;94.63
2024-01-01 13:08:39;SOLUSDT;15m;2.5;175;40;68;100.0;2;94.78
2024-01-01 13:08:39;SOLUSDT;15m;3.5;200;34;68;100.0;3;94.81
2024-01-01 13:08:39;SOLUSDT;15m;3.5;200;38;68;100.0;2;94.9
2024-01-01 13:08:39;SOLUSDT;15m;1.0;150;40;68;100.0;3;95.02
2024-01-01 13:08:39;SOLUSDT;15m;1.0;200;40;68;100.0;1;95.05
2024-01-01 13:08:39;SOLUSDT;15m;3.0;200;40;68;100.0;1;95.12
2024-01-01 13:08:39;SOLUSDT;15m;1.0;50;40;68;100.0;3;95.18
2024-01-01 13:08:39;SOLUSDT;15m;1.0;200;40;68;100.0;2;95.41
2024-01-01 13:08:39;SOLUSDT;15m;1.0;100;38;68;100.0;6;95.62
2024-01-01 13:08:39;SOLUSDT;15m;2.5;200;36;68;100.0;1;95.67
2024-01-01 13:08:39;SOLUSDT;15m;1.0;75;38;68;100.0;3;95.7
2024-01-01 13:08:39;SOLUSDT;15m;3.5;200;40;68;100.0;1;95.85
2024-01-01 13:08:39;SOLUSDT;15m;1.0;200;40;68;100.0;4;95.87
2024-01-01 13:08:39;SOLUSDT;15m;3.0;150;36;68;100.0;2;95.9
2024-01-01 13:08:39;SOLUSDT;15m;3.5;200;36;68;100.0;2;95.97
2024-01-01 13:08:39;SOLUSDT;15m;2.5;175;40;68;100.0;3;96.19
2024-01-01 13:08:39;SOLUSDT;15m;4.0;100;38;68;100.0;2;96.33
2024-01-01 13:08:39;SOLUSDT;15m;2.5;75;40;68;100.0;2;96.34
2024-01-01 13:08:39;SOLUSDT;15m;1.0;100;38;68;100.0;1;96.44
2024-01-01 13:08:39;SOLUSDT;15m;1.0;150;38;68;100.0;3;96.47
2024-01-01 13:08:39;SOLUSDT;15m;3.0;175;40;68;100.0;1;96.55
2024-01-01 13:08:39;SOLUSDT;15m;3.5;75;60;68;100.0;1;96.77
