date;symbol;interval;target_margin;p_ema;min_rsi;max_rsi;amount_invested;stop_loss_multiplier;pnl
2024-01-01 13:07:04;TRXUSDT;1h;1.0;50;36;68;100.0;1;96.93
2024-01-01 13:07:04;TRXUSDT;1h;1.0;75;36;68;100.0;1;96.93
2024-01-01 13:07:04;TRXUSDT;1h;1.0;100;36;68;100.0;1;97.14
2024-01-01 13:07:04;TRXUSDT;1h;1.0;50;36;68;100.0;2;97.16
2024-01-01 13:07:04;TRXUSDT;1h;1.0;75;36;68;100.0;2;97.16
2024-01-01 13:07:04;TRXUSDT;1h;1.0;100;36;68;100.0;2;97.37
2024-01-01 13:07:04;TRXUSDT;1h;1.0;50;34;68;100.0;1;97.4
2024-01-01 13:07:04;TRXUSDT;1h;1.0;75;34;68;100.0;1;97.4
2024-01-01 13:07:04;TRXUSDT;1h;1.0;100;34;68;100.0;1;97.4
2024-01-01 13:07:04;TRXUSDT;1h;1.0;125;36;68;100.0;2;97.54
2024-01-01 13:07:04;TRXUSDT;1h;1.0;150;36;68;100.0;2;97.54
2024-01-01 13:07:04;TRXUSDT;1h;1.0;175;36;68;100.0;2;97.54
2024-01-01 13:07:04;TRXUSDT;1h;1.0;200;36;68;100.0;2;97.54
2024-01-01 13:07:04;TRXUSDT;1h;1.0;225;36;68;100.0;2;97.54
2024-01-01 13:07:04;TRXUSDT;1h;1.0;125;36;68;100.0;1;97.59
2024-01-01 13:07:04;TRXUSDT;1h;1.0;150;36;68;100.0;1;97.59
2024-01-01 13:07:04;TRXUSDT;1h;1.0;175;36;68;100.0;1;97.59
2024-01-01 13:07:04;TRXUSDT;1h;1.0;200;36;68;100.0;1;97.59
2024-01-01 13:07:04;TRXUSDT;1h;1.0;225;36;68;100.0;1;97.59
2024-01-01 13:07:04;TRXUSDT;1h;1.0;50;34;68;100.0;2;97.64
2024-01-01 13:07:04;TRXUSDT;1h;1.0;75;34;68;100.0;2;97.64
2024-01-01 13:07:04;TRXUSDT;1h;1.0;100;34;68;100.0;2;97.64
2024-01-01 13:07:04;TRXUSDT;1h;1.5;50;38;68;100.0;1;97.67
2024-01-01 13:07:04;TRXUSDT;1h;1.5;75;38;68;100.0;1;97.67
2024-01-01 13:07:04;TRXUSDT;1h;1.0;50;28;68;100.0;2;97.74
2024-01-01 13:07:04;TRXUSDT;1h;1.0;75;28;68;100.0;2;97.74
2024-01-01 13:07:04;TRXUSDT;1h;1.0;100;28;68;100.0;2;97.74
2024-01-01 13:07:04;TRXUSDT;1h;1.0;125;28;68;100.0;2;97.74
2024-01-01 13:07:04;TRXUSDT;1h;1.0;150;28;68;100.0;2;97.74
2024-01-01 13:07:04;TRXUSDT;1h;1.0;175;28;68;100.0;2;97.74
2024-01-01 13:07:04;TRXUSDT;1h;1.0;200;28;68;100.0;2;97.74
2024-01-01 13:07:04;TRXUSDT;1h;1.0;225;28;68;100.0;2;97.74
2024-01-01 13:07:04;TRXUSDT;1h;1.0;125;34;68;100.0;2;97.8
2024-01-01 13:07:04;TRXUSDT;1h;1.0;150;34;68;100.0;2;97.8
2024-01-01 13:07:04;TRXUSDT;1h;1.0;175;34;68;100.0;2;97.8
2024-01-01 13:07:04;TRXUSDT;1h;1.0;200;34;68;100.0;2;97.8
2024-01-01 13:07:04;TRXUSDT;1h;1.0;225;34;68;100.0;2;97.8
2024-01-01 13:07:04;TRXUSDT;1h;1.0;125;34;68;100.0;1;97.86
