date;symbol;interval;target_margin;p_ema;min_rsi;max_rsi;amount_invested;stop_loss_multiplier;pnl
2024-01-01 13:07:01;SOLUSDT;1h;3.5;50;40;68;100.0;3;155.19
2024-01-01 13:27:36;BNBUSDT;1m;1.5;50;36;68;100.0;6;156.2
2024-01-01 13:34:00;UNIUSDT;1m;1.5;200;28;68;100.0;4;157.82
2024-01-01 13:07:07;DYDXUSDT;1h;1.0;250;44;68;100.0;6;157.97
2024-01-01 13:08:44;BCHUSDT;15m;5.0;200;34;68;100.0;3;158.62
2024-01-01 13:07:36;ADAUSDT;30m;3.0;50;40;68;100.0;5;159.62
2024-01-01 13:09:04;DYDXUSDT;15m;3.5;250;30;68;100.0;3;159.67
2024-01-01 13:11:42;ADAUSDT;5m;2.0;250;28;68;100.0;5;161.72
2024-01-01 13:09:06;GASUSDT;15m;1.5;125;32;68;100.0;7;162.06
2024-01-01 13:07:35;DOTUSDT;30m;4.0;50;44;68;100.0;3;163.28
2024-01-01 13:11:47;MATICUSDT;5m;1.5;50;48;68;100.0;4;163.3
2024-01-01 13:07:06;ATOMUSDT;1h;3.0;50;48;68;100.0;4;163.44
2024-01-01 13:08:41;MATICUSDT;15m;3.0;125;34;68;100.0;1;163.54
2024-01-01 13:34:06;ATOMUSDT;1m;2.5;100;30;68;100.0;1;163.59
2024-01-01 13:09:03;UNIUSDT;15m;4.5;75;40;68;100.0;4;164.75
2024-01-01 13:07:35;SOLUSDT;30m;1.5;75;44;68;100.0;7;164.83
2024-01-01 13:07:46;UNIUSDT;30m;2.5;75;40;68;100.0;2;165.4
2024-01-01 13:08:40;ADAUSDT;15m;4.0;125;34;68;100.0;3;165.63
2024-01-01 13:08:39;SOLUSDT;15m;1.5;125;36;68;100.0;6;165.96
2024-01-01 13:13:00;DYDXUSDT;5m;1.0;175;40;68;100.0;2;167.56
2024-01-01 13:12:58;UNIUSDT;5m;5.0;225;36;68;100.0;4;168.63
2024-01-01 13:12:58;ATOMUSDT;5m;3.0;125;34;68;100.0;5;172.01
2024-01-01 13:07:47;ATOMUSDT;30m;2.5;50;44;68;100.0;5;173.92
2024-01-01 13:07:06;TRBUSDT;1h;4.5;50;44;68;100.0;4;178.03
2024-01-01 13:27:37;ADAUSDT;1m;3.5;50;40;68;100.0;1;178.42
2024-01-01 13:09:04;ATOMUSDT;15m;2.5;125;40;68;100.0;5;178.77
2024-01-01 13:11:44;DOTUSDT;5m;3.5;150;36;68;100.0;4;178.8
2024-01-01 13:08:39;DOTUSDT;15m;3.0;50;50;68;100.0;5;179.93
2024-01-01 13:34:01;WLDUSDT;1m;2.0;200;44;68;100.0;1;183.94
2024-01-01 13:27:18;DOTUSDT;1m;2.5;50;38;68;100.0;7;192.86
2024-01-01 13:11:43;SOLUSDT;5m;5.0;50;38;68;100.0;4;199.78
2024-01-01 13:07:34;AVAXUSDT;30m;4.0;50;48;68;100.0;5;208.42
2024-01-01 13:13:00;WLDUSDT;5m;2.0;150;28;68;100.0;4;210.22
2024-01-01 13:07:07;WLDUSDT;1h;5.0;150;44;68;100.0;2;214.67
2024-01-01 13:07:47;WLDUSDT;30m;2.0;50;50;68;100.0;1;222.71
2024-01-01 13:27:22;SOLUSDT;1m;1.5;50;44;68;100.0;1;235.34
2024-01-01 13:27:26;AVAXUSDT;1m;1.5;150;34;68;100.0;7;244.28
2024-01-01 13:07:45;TRBUSDT;30m;3.0;50;42;68;100.0;7;256.82
2024-01-01 13:08:38;AVAXUSDT;15m;3.0;75;50;68;100.0;7;260.22
2024-01-01 13:09:04;WLDUSDT;15m;1.5;100;38;68;100.0;5;268.79
2024-01-01 13:11:42;AVAXUSDT;5m;3.5;150;46;68;100.0;6;279.14
2024-01-01 13:12:50;TRBUSDT;5m;4.0;100;56;68;100.0;6;297.75
2024-01-01 13:09:01;TRBUSDT;15m;3.0;50;46;68;100.0;6;334.07
2024-01-01 13:33:48;TRBUSDT;1m;3.0;100;30;68;100.0;4;816.51
