data;symbol;interval;estimator;imbalance_method;stop_loss;regression_times;times_regression_profit_and_loss;profit_and_loss_value;start_value;final_value;numeric_features;regression_features;train_size;use-all-data-to-train;start_train_date;start_test_date;fold;no-tune;score;model_name;arguments
2023-10-18 18:39:55;SOLUSDT;15m;knn;repeatededitednearestneighbours;1.0;0;60;852.44;100.0;952.44;quote_asset_volume,rsi;;0.7;False;2020-01-01;2023-01-01 00:15:00;3;True;[CAI_1.0=0.54][ESTAVEL=0.08][SOBE_1.0=0.42];<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,ADAUSDT,DOGEUSDT,SOLUSDT,TRXUSDT,DOTUSDT,MATICUSDT,LTCUSDT,BCHUSDT,AVAXUSDT,XLMUSDT,LINKUSDT,XMRUSDT,UNIUSDT,ATOMUSDT', '-interval-list=15m', '-estimator-list=knn', '-stop-loss-list=1.0', '-numeric-features=quote_asset_volume', '-regression-PnL-list=60', '-regression-times-list=0', '-start-train-date=2020-01-01', '-start-test-date=2023-01-01']
2023-10-18 18:35:55;SOLUSDT;15m;knn;instancehardnessthreshold;1.0;0;60;1334.38;100.0;1434.38;rsi;;0.7;False;2020-01-01;2023-01-01 00:15:00;3;True;[CAI_1.0=0.34][ESTAVEL=0.18][SOBE_1.0=0.53];<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,ADAUSDT,DOGEUSDT,SOLUSDT,TRXUSDT,DOTUSDT,MATICUSDT,LTCUSDT,BCHUSDT,AVAXUSDT,XLMUSDT,LINKUSDT,XMRUSDT,UNIUSDT,ATOMUSDT', '-interval-list=15m', '-estimator-list=knn', '-stop-loss-list=1.0', '-numeric-features=quote_asset_volume', '-regression-PnL-list=60', '-regression-times-list=0', '-start-train-date=2020-01-01', '-start-test-date=2023-01-01']
2023-10-18 18:36:11;SOLUSDT;15m;knn;repeatededitednearestneighbours;1.0;0;60;2309.34;100.0;2409.34;rsi;;0.7;False;2020-01-01;2023-01-01 00:15:00;3;True;[CAI_1.0=0.51][ESTAVEL=0.03][SOBE_1.0=0.48];<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,ADAUSDT,DOGEUSDT,SOLUSDT,TRXUSDT,DOTUSDT,MATICUSDT,LTCUSDT,BCHUSDT,AVAXUSDT,XLMUSDT,LINKUSDT,XMRUSDT,UNIUSDT,ATOMUSDT', '-interval-list=15m', '-estimator-list=knn', '-stop-loss-list=1.0', '-numeric-features=quote_asset_volume', '-regression-PnL-list=60', '-regression-times-list=0', '-start-train-date=2020-01-01', '-start-test-date=2023-01-01']
2023-10-18 18:48:42;SOLUSDT;15m;knn;allknn;1.0;0;60;3647.26;100.0;3747.26;quote_asset_volume,rsi,ema_60p;;0.7;False;2020-01-01;2023-01-01 00:15:00;3;True;[CAI_1.0=0.51][ESTAVEL=0.05][SOBE_1.0=0.49];<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,ADAUSDT,DOGEUSDT,SOLUSDT,TRXUSDT,DOTUSDT,MATICUSDT,LTCUSDT,BCHUSDT,AVAXUSDT,XLMUSDT,LINKUSDT,XMRUSDT,UNIUSDT,ATOMUSDT', '-interval-list=15m', '-estimator-list=knn', '-stop-loss-list=1.0', '-numeric-features=quote_asset_volume', '-regression-PnL-list=60', '-regression-times-list=0', '-start-train-date=2020-01-01', '-start-test-date=2023-01-01']
2023-10-18 18:36:25;SOLUSDT;15m;knn;allknn;1.0;0;60;3666.06;100.0;3766.06;rsi;;0.7;False;2020-01-01;2023-01-01 00:15:00;3;True;[CAI_1.0=0.50][ESTAVEL=0.02][SOBE_1.0=0.49];<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,ADAUSDT,DOGEUSDT,SOLUSDT,TRXUSDT,DOTUSDT,MATICUSDT,LTCUSDT,BCHUSDT,AVAXUSDT,XLMUSDT,LINKUSDT,XMRUSDT,UNIUSDT,ATOMUSDT', '-interval-list=15m', '-estimator-list=knn', '-stop-loss-list=1.0', '-numeric-features=quote_asset_volume', '-regression-PnL-list=60', '-regression-times-list=0', '-start-train-date=2020-01-01', '-start-test-date=2023-01-01']
2023-10-18 18:54:38;SOLUSDT;15m;knn;repeatededitednearestneighbours;1.0;0;60;5027.4;100.0;5127.4;quote_asset_volume,rsi,ema_60p,ema_200p;;0.7;False;2020-01-01;2023-01-01 00:15:00;3;True;[CAI_1.0=0.47][ESTAVEL=0.14][SOBE_1.0=0.49];<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,ADAUSDT,DOGEUSDT,SOLUSDT,TRXUSDT,DOTUSDT,MATICUSDT,LTCUSDT,BCHUSDT,AVAXUSDT,XLMUSDT,LINKUSDT,XMRUSDT,UNIUSDT,ATOMUSDT', '-interval-list=15m', '-estimator-list=knn', '-stop-loss-list=1.0', '-numeric-features=quote_asset_volume', '-regression-PnL-list=60', '-regression-times-list=0', '-start-train-date=2020-01-01', '-start-test-date=2023-01-01']
2023-10-18 18:34:44;SOLUSDT;15m;knn;instancehardnessthreshold;1.0;0;60;6885.79;100.0;6985.79;quote_asset_volume;;0.7;False;2020-01-01;2023-01-01 00:15:00;3;True;[CAI_1.0=0.36][ESTAVEL=0.17][SOBE_1.0=0.48];<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,ADAUSDT,DOGEUSDT,SOLUSDT,TRXUSDT,DOTUSDT,MATICUSDT,LTCUSDT,BCHUSDT,AVAXUSDT,XLMUSDT,LINKUSDT,XMRUSDT,UNIUSDT,ATOMUSDT', '-interval-list=15m', '-estimator-list=knn', '-stop-loss-list=1.0', '-numeric-features=quote_asset_volume', '-regression-PnL-list=60', '-regression-times-list=0', '-start-train-date=2020-01-01', '-start-test-date=2023-01-01']
2023-10-18 18:49:59;SOLUSDT;15m;knn;repeatededitednearestneighbours;1.0;0;60;8499.24;100.0;8599.24;quote_asset_volume,rsi,ema_200p;;0.7;False;2020-01-01;2023-01-01 00:15:00;3;True;[CAI_1.0=0.52][ESTAVEL=0.11][SOBE_1.0=0.44];<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,ADAUSDT,DOGEUSDT,SOLUSDT,TRXUSDT,DOTUSDT,MATICUSDT,LTCUSDT,BCHUSDT,AVAXUSDT,XLMUSDT,LINKUSDT,XMRUSDT,UNIUSDT,ATOMUSDT', '-interval-list=15m', '-estimator-list=knn', '-stop-loss-list=1.0', '-numeric-features=quote_asset_volume', '-regression-PnL-list=60', '-regression-times-list=0', '-start-train-date=2020-01-01', '-start-test-date=2023-01-01']
2023-10-18 18:50:12;SOLUSDT;15m;knn;allknn;1.0;0;60;10005.46;100.0;10105.46;quote_asset_volume,rsi,ema_200p;;0.7;False;2020-01-01;2023-01-01 00:15:00;3;True;[CAI_1.0=0.50][ESTAVEL=0.05][SOBE_1.0=0.49];<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,ADAUSDT,DOGEUSDT,SOLUSDT,TRXUSDT,DOTUSDT,MATICUSDT,LTCUSDT,BCHUSDT,AVAXUSDT,XLMUSDT,LINKUSDT,XMRUSDT,UNIUSDT,ATOMUSDT', '-interval-list=15m', '-estimator-list=knn', '-stop-loss-list=1.0', '-numeric-features=quote_asset_volume', '-regression-PnL-list=60', '-regression-times-list=0', '-start-train-date=2020-01-01', '-start-test-date=2023-01-01']
2023-10-18 18:34:55;SOLUSDT;15m;knn;repeatededitednearestneighbours;1.0;0;60;10145.75;100.0;10245.75;quote_asset_volume;;0.7;False;2020-01-01;2023-01-01 00:15:00;3;True;[CAI_1.0=0.53][ESTAVEL=0.08][SOBE_1.0=0.42];<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,ADAUSDT,DOGEUSDT,SOLUSDT,TRXUSDT,DOTUSDT,MATICUSDT,LTCUSDT,BCHUSDT,AVAXUSDT,XLMUSDT,LINKUSDT,XMRUSDT,UNIUSDT,ATOMUSDT', '-interval-list=15m', '-estimator-list=knn', '-stop-loss-list=1.0', '-numeric-features=quote_asset_volume', '-regression-PnL-list=60', '-regression-times-list=0', '-start-train-date=2020-01-01', '-start-test-date=2023-01-01']
