date;symbol;interval;target_margin;p_ema;min_rsi;max_rsi;amount_invested;stop_loss_multiplier;pnl
2023-12-20 23:40:21;ADAUSDT;30m;1.0;200;44;68;100.0;2;88.21
2023-12-20 23:40:21;ADAUSDT;30m;1.0;200;46;68;100.0;2;90.15
2023-12-20 23:40:21;ADAUSDT;30m;1.0;175;44;68;100.0;2;91.41
2023-12-20 23:40:21;ADAUSDT;30m;1.0;225;44;68;100.0;2;91.56
2023-12-20 23:40:21;ADAUSDT;30m;1.0;225;46;68;100.0;2;91.99
2023-12-20 23:40:21;ADAUSDT;30m;1.0;200;42;68;100.0;2;92.55
2023-12-20 23:40:21;ADAUSDT;30m;1.0;225;48;68;100.0;2;92.87
2023-12-20 23:40:21;ADAUSDT;30m;1.0;200;48;68;100.0;2;93.12
2023-12-20 23:40:21;ADAUSDT;30m;1.0;225;50;68;100.0;2;94.01
2023-12-20 23:40:21;ADAUSDT;30m;1.0;200;50;68;100.0;2;94.26
2023-12-20 23:40:21;ADAUSDT;30m;1.0;225;42;68;100.0;2;94.42
2023-12-20 23:40:21;ADAUSDT;30m;1.0;200;46;68;100.0;3;94.52
2023-12-20 23:40:21;ADAUSDT;30m;1.0;175;46;68;100.0;2;94.87
2023-12-20 23:40:21;ADAUSDT;30m;1.0;200;52;68;100.0;2;95.71
2023-12-20 23:40:21;ADAUSDT;30m;1.0;150;44;68;100.0;2;96.03
2023-12-20 23:40:21;ADAUSDT;30m;1.0;225;52;68;100.0;2;96.78
2023-12-20 23:40:21;ADAUSDT;30m;1.0;175;48;68;100.0;2;98.25
2023-12-20 23:40:21;ADAUSDT;30m;1.0;200;48;68;100.0;3;99.05
2023-12-20 23:40:21;ADAUSDT;30m;1.0;175;46;68;100.0;3;99.5
2023-12-20 23:40:21;ADAUSDT;30m;1.0;200;44;68;100.0;3;99.55
2023-12-20 23:40:21;ADAUSDT;30m;1.0;175;50;68;100.0;2;99.57
2023-12-20 23:40:21;ADAUSDT;30m;1.0;175;42;68;100.0;2;99.74
2023-12-20 23:40:21;ADAUSDT;30m;1.0;200;50;68;100.0;3;99.78
2023-12-20 23:40:21;ADAUSDT;30m;1.5;200;46;68;100.0;2;100.25
2023-12-20 23:40:21;ADAUSDT;30m;1.0;250;44;68;100.0;2;100.57
2023-12-20 23:40:21;ADAUSDT;30m;1.0;250;46;68;100.0;2;101.01
2023-12-20 23:40:21;ADAUSDT;30m;1.0;225;46;68;100.0;3;101.21
2023-12-20 23:40:21;ADAUSDT;30m;1.0;200;52;68;100.0;3;101.83
2023-12-20 23:40:21;ADAUSDT;30m;1.0;125;44;68;100.0;2;101.84
2023-12-20 23:40:21;ADAUSDT;30m;1.0;250;48;68;100.0;2;102.01
2023-12-20 23:40:21;ADAUSDT;30m;1.0;250;50;68;100.0;2;102.07
2023-12-20 23:40:21;ADAUSDT;30m;1.0;250;42;68;100.0;2;102.32
2023-12-20 23:40:21;ADAUSDT;30m;1.0;175;52;68;100.0;2;102.69
2023-12-20 23:40:21;ADAUSDT;30m;1.5;175;46;68;100.0;2;103.42
2023-12-20 23:40:21;ADAUSDT;30m;1.0;150;46;68;100.0;3;103.47
2023-12-20 23:40:21;ADAUSDT;30m;1.0;225;32;68;100.0;2;103.62
2023-12-20 23:40:21;ADAUSDT;30m;1.0;175;44;68;100.0;3;103.67
2023-12-20 23:40:21;ADAUSDT;30m;1.5;175;40;68;100.0;2;103.74
2023-12-20 23:40:21;ADAUSDT;30m;1.0;200;32;68;100.0;2;103.74
2023-12-20 23:40:21;ADAUSDT;30m;1.5;150;32;68;100.0;2;103.83
2023-12-20 23:40:21;ADAUSDT;30m;1.5;50;32;68;100.0;2;103.96
2023-12-20 23:40:21;ADAUSDT;30m;1.5;75;32;68;100.0;2;103.96
2023-12-20 23:40:21;ADAUSDT;30m;1.5;100;32;68;100.0;2;103.96
2023-12-20 23:40:21;ADAUSDT;30m;1.5;125;32;68;100.0;2;103.96
2023-12-20 23:40:21;ADAUSDT;30m;1.0;200;40;68;100.0;2;103.98
2023-12-20 23:40:21;ADAUSDT;30m;1.5;50;34;68;100.0;2;104.17
2023-12-20 23:40:21;ADAUSDT;30m;1.5;75;34;68;100.0;2;104.17
2023-12-20 23:40:21;ADAUSDT;30m;1.5;100;34;68;100.0;2;104.17
2023-12-20 23:40:21;ADAUSDT;30m;1.0;225;48;68;100.0;3;104.2
2023-12-20 23:40:21;ADAUSDT;30m;1.0;50;32;68;100.0;2;104.3
2023-12-20 23:40:21;ADAUSDT;30m;1.0;75;32;68;100.0;2;104.3
2023-12-20 23:40:21;ADAUSDT;30m;1.0;100;32;68;100.0;2;104.3
2023-12-20 23:40:21;ADAUSDT;30m;1.0;125;32;68;100.0;2;104.3
2023-12-20 23:40:21;ADAUSDT;30m;1.5;225;46;68;100.0;3;104.38
2023-12-20 23:40:21;ADAUSDT;30m;1.5;225;44;68;100.0;3;104.43
2023-12-20 23:40:21;ADAUSDT;30m;1.0;150;46;68;100.0;2;104.56
2023-12-20 23:40:21;ADAUSDT;30m;1.0;250;32;68;100.0;2;104.59
2023-12-20 23:40:21;ADAUSDT;30m;1.0;175;42;68;100.0;3;104.64
2023-12-20 23:40:21;ADAUSDT;30m;1.5;225;42;68;100.0;3;104.72
2023-12-20 23:40:21;ADAUSDT;30m;1.5;150;40;68;100.0;2;104.74
2023-12-20 23:40:21;ADAUSDT;30m;1.0;150;42;68;100.0;2;104.78
2023-12-20 23:40:21;ADAUSDT;30m;1.5;200;48;68;100.0;2;104.94
2023-12-20 23:40:21;ADAUSDT;30m;1.0;225;50;68;100.0;3;104.97
2023-12-20 23:40:21;ADAUSDT;30m;1.5;225;46;68;100.0;2;104.97
2023-12-20 23:40:21;ADAUSDT;30m;1.0;250;52;68;100.0;2;105.08
2023-12-20 23:40:21;ADAUSDT;30m;2.5;150;30;68;100.0;2;105.26
2023-12-20 23:40:21;ADAUSDT;30m;1.5;175;42;68;100.0;2;105.38
2023-12-20 23:40:21;ADAUSDT;30m;1.5;225;52;68;100.0;3;105.41
2023-12-20 23:40:21;ADAUSDT;30m;1.5;50;34;68;100.0;3;105.43
2023-12-20 23:40:21;ADAUSDT;30m;1.5;75;34;68;100.0;3;105.43
2023-12-20 23:40:21;ADAUSDT;30m;1.5;100;34;68;100.0;3;105.43
2023-12-20 23:40:21;ADAUSDT;30m;1.0;175;48;68;100.0;3;105.45
2023-12-20 23:40:21;ADAUSDT;30m;1.0;200;54;68;100.0;2;105.46
2023-12-20 23:40:21;ADAUSDT;30m;1.5;200;50;68;100.0;2;105.68
2023-12-20 23:40:21;ADAUSDT;30m;2.5;50;30;68;100.0;2;105.8
2023-12-20 23:40:21;ADAUSDT;30m;2.5;75;30;68;100.0;2;105.8
2023-12-20 23:40:21;ADAUSDT;30m;2.5;100;30;68;100.0;2;105.8
2023-12-20 23:40:21;ADAUSDT;30m;2.5;125;30;68;100.0;2;105.8
2023-12-20 23:40:21;ADAUSDT;30m;1.5;225;50;68;100.0;3;105.87
2023-12-20 23:40:21;ADAUSDT;30m;1.5;200;42;68;100.0;3;105.97
2023-12-20 23:40:21;ADAUSDT;30m;1.0;225;52;68;100.0;3;106.03
2023-12-20 23:40:21;ADAUSDT;30m;1.0;100;44;68;100.0;2;106.12
2023-12-20 23:40:21;ADAUSDT;30m;1.0;175;50;68;100.0;3;106.3
2023-12-20 23:40:21;ADAUSDT;30m;1.0;225;46;68;100.0;4;106.34
2023-12-20 23:40:21;ADAUSDT;30m;1.0;200;28;68;100.0;2;106.54
2023-12-20 23:40:21;ADAUSDT;30m;1.0;225;28;68;100.0;2;106.54
2023-12-20 23:40:21;ADAUSDT;30m;1.0;250;28;68;100.0;2;106.54
2023-12-20 23:40:21;ADAUSDT;30m;1.5;200;44;68;100.0;3;106.6
2023-12-20 23:40:21;ADAUSDT;30m;1.0;200;46;68;100.0;5;106.78
2023-12-20 23:40:21;ADAUSDT;30m;1.5;150;34;68;100.0;3;106.81
2023-12-20 23:40:21;ADAUSDT;30m;1.5;125;34;68;100.0;3;106.94
2023-12-20 23:40:21;ADAUSDT;30m;1.0;250;46;68;100.0;3;107.0
2023-12-20 23:40:21;ADAUSDT;30m;1.0;50;34;68;100.0;3;107.05
2023-12-20 23:40:21;ADAUSDT;30m;1.0;75;34;68;100.0;3;107.05
2023-12-20 23:40:21;ADAUSDT;30m;1.0;100;34;68;100.0;3;107.05
2023-12-20 23:40:21;ADAUSDT;30m;1.5;200;32;68;100.0;2;107.1
2023-12-20 23:40:21;ADAUSDT;30m;1.5;200;44;68;100.0;2;107.12
2023-12-20 23:40:21;ADAUSDT;30m;1.0;225;54;68;100.0;2;107.39
2023-12-20 23:40:21;ADAUSDT;30m;1.0;225;52;68;100.0;4;107.41
2023-12-20 23:40:21;ADAUSDT;30m;1.0;150;32;68;100.0;2;107.63
