date;symbol;interval;target_margin;p_ema;min_rsi;max_rsi;amount_invested;stop_loss_multiplier;pnl
2024-01-03 07:15:41;ATOMUSDT;30m;1.0;100;40;68;100.0;4;98.78
2024-01-03 07:15:41;ATOMUSDT;30m;1.0;125;40;68;100.0;4;99.2
2024-01-03 07:15:41;ATOMUSDT;30m;1.0;50;38;68;100.0;3;99.35
2024-01-03 07:15:41;ATOMUSDT;30m;1.0;75;38;68;100.0;3;99.35
2024-01-03 07:15:41;ATOMUSDT;30m;3.0;125;40;68;100.0;1;99.36
2024-01-03 07:15:41;ATOMUSDT;30m;1.0;100;38;68;100.0;3;99.45
2024-01-03 07:15:41;ATOMUSDT;30m;1.0;125;38;68;100.0;3;99.45
2024-01-03 07:15:41;ATOMUSDT;30m;1.5;50;28;68;100.0;2;99.69
2024-01-03 07:15:41;ATOMUSDT;30m;1.5;75;28;68;100.0;2;99.69
2024-01-03 07:15:41;ATOMUSDT;30m;1.5;100;28;68;100.0;2;99.69
2024-01-03 07:15:41;ATOMUSDT;30m;1.5;125;28;68;100.0;2;99.69
2024-01-03 07:15:41;ATOMUSDT;30m;1.5;150;28;68;100.0;2;99.69
2024-01-03 07:15:41;ATOMUSDT;30m;1.5;175;28;68;100.0;2;99.69
2024-01-03 07:15:41;ATOMUSDT;30m;1.5;200;28;68;100.0;2;99.69
2024-01-03 07:15:41;ATOMUSDT;30m;1.5;225;28;68;100.0;2;99.69
2024-01-03 07:15:41;ATOMUSDT;30m;1.5;250;28;68;100.0;2;99.69
2024-01-03 07:15:41;ATOMUSDT;30m;3.0;125;42;68;100.0;1;99.98
2024-01-03 07:15:41;ATOMUSDT;30m;1.0;50;40;68;100.0;4;100.45
2024-01-03 07:15:41;ATOMUSDT;30m;1.0;75;40;68;100.0;4;100.75
2024-01-03 07:15:41;ATOMUSDT;30m;1.5;175;50;68;100.0;1;100.94
2024-01-03 07:15:41;ATOMUSDT;30m;1.5;100;42;68;100.0;3;101.04
2024-01-03 07:15:41;ATOMUSDT;30m;1.0;50;38;68;100.0;4;101.17
2024-01-03 07:15:41;ATOMUSDT;30m;1.0;75;38;68;100.0;4;101.17
2024-01-03 07:15:41;ATOMUSDT;30m;3.5;100;44;68;100.0;1;101.27
2024-01-03 07:15:41;ATOMUSDT;30m;1.0;100;38;68;100.0;4;101.27
2024-01-03 07:15:41;ATOMUSDT;30m;1.0;125;38;68;100.0;4;101.27
2024-01-03 07:15:41;ATOMUSDT;30m;1.5;175;52;68;100.0;1;101.29
