date;symbol;interval;target_margin;p_ema;min_rsi;max_rsi;amount_invested;stop_loss_multiplier;pnl
2024-01-13 20:46:45;AVAXUSDT;15m;1.0;50;46;68;100.0;2;67.6
2024-01-13 20:46:45;AVAXUSDT;15m;2.0;50;48;68;100.0;1;68.14
2024-01-13 20:46:45;AVAXUSDT;15m;1.0;75;46;68;100.0;2;68.18
2024-01-13 20:46:45;AVAXUSDT;15m;2.0;50;50;68;100.0;1;68.98
2024-01-13 20:46:45;AVAXUSDT;15m;3.5;75;48;68;100.0;1;69.72
2024-01-13 20:46:45;AVAXUSDT;15m;3.5;75;50;68;100.0;1;69.92
2024-01-13 20:46:45;AVAXUSDT;15m;1.0;125;46;68;100.0;2;69.97
2024-01-13 20:46:45;AVAXUSDT;15m;3.5;75;54;68;100.0;1;70.16
2024-01-13 20:46:45;AVAXUSDT;15m;3.5;75;52;68;100.0;1;70.22
2024-01-13 20:46:45;AVAXUSDT;15m;1.0;75;48;68;100.0;2;70.28
2024-01-13 20:46:45;AVAXUSDT;15m;3.5;75;46;68;100.0;1;70.31
2024-01-13 20:46:45;AVAXUSDT;15m;1.0;50;48;68;100.0;2;70.34
2024-01-13 20:46:45;AVAXUSDT;15m;3.0;100;52;68;100.0;1;70.46
2024-01-13 20:46:45;AVAXUSDT;15m;3.0;100;50;68;100.0;1;70.46
2024-01-13 20:46:45;AVAXUSDT;15m;4.0;225;52;68;100.0;1;70.47
2024-01-13 20:46:45;AVAXUSDT;15m;3.0;100;46;68;100.0;1;70.55
2024-01-13 20:46:45;AVAXUSDT;15m;2.0;50;60;68;100.0;1;70.6
2024-01-13 20:46:45;AVAXUSDT;15m;2.0;50;58;68;100.0;1;70.6
2024-01-13 20:46:45;AVAXUSDT;15m;2.0;50;56;68;100.0;1;70.6
2024-01-13 20:46:45;AVAXUSDT;15m;3.0;100;54;68;100.0;1;70.73
2024-01-13 20:46:45;AVAXUSDT;15m;4.0;175;30;68;100.0;1;70.74
2024-01-13 20:46:45;AVAXUSDT;15m;4.0;250;52;68;100.0;1;70.77
2024-01-13 20:46:45;AVAXUSDT;15m;4.0;225;50;68;100.0;1;70.77
2024-01-13 20:46:45;AVAXUSDT;15m;3.0;100;48;68;100.0;1;70.78
2024-01-13 20:46:45;AVAXUSDT;15m;4.0;250;50;68;100.0;1;71.07
