date;symbol;interval;target_margin;p_ema;min_rsi;max_rsi;amount_invested;stop_loss_multiplier;pnl
2023-12-20 23:39:05;AVAXUSDT;1h;2.0;250;28;68;100.0;5;92.01
2023-12-20 23:39:05;AVAXUSDT;1h;2.5;250;28;68;100.0;4;92.32
2023-12-20 23:39:05;AVAXUSDT;1h;1.5;250;28;68;100.0;6;92.93
2023-12-20 23:39:05;AVAXUSDT;1h;3.0;250;28;68;100.0;3;94.57
2023-12-20 23:39:05;AVAXUSDT;1h;5.0;250;28;68;100.0;2;94.57
2023-12-20 23:39:05;AVAXUSDT;1h;1.5;125;28;68;100.0;6;94.59
2023-12-20 23:39:05;AVAXUSDT;1h;1.5;150;28;68;100.0;6;94.59
2023-12-20 23:39:05;AVAXUSDT;1h;1.5;175;28;68;100.0;6;94.59
2023-12-20 23:39:05;AVAXUSDT;1h;1.5;200;28;68;100.0;6;94.59
2023-12-20 23:39:05;AVAXUSDT;1h;1.5;225;28;68;100.0;6;94.59
2023-12-20 23:39:05;AVAXUSDT;1h;1.0;250;28;68;100.0;7;94.78
2023-12-20 23:39:05;AVAXUSDT;1h;1.5;250;28;68;100.0;5;95.1
2023-12-20 23:39:05;AVAXUSDT;1h;4.5;250;28;68;100.0;2;95.59
2023-12-20 23:39:05;AVAXUSDT;1h;1.0;250;28;68;100.0;6;96.36
2023-12-20 23:39:05;AVAXUSDT;1h;2.0;250;28;68;100.0;4;96.44
2023-12-20 23:39:05;AVAXUSDT;1h;1.0;125;28;68;100.0;7;96.48
2023-12-20 23:39:05;AVAXUSDT;1h;1.0;150;28;68;100.0;7;96.48
2023-12-20 23:39:05;AVAXUSDT;1h;1.0;175;28;68;100.0;7;96.48
2023-12-20 23:39:05;AVAXUSDT;1h;1.0;200;28;68;100.0;7;96.48
2023-12-20 23:39:05;AVAXUSDT;1h;1.0;225;28;68;100.0;7;96.48
2023-12-20 23:39:05;AVAXUSDT;1h;2.0;125;28;68;100.0;5;96.6
2023-12-20 23:39:05;AVAXUSDT;1h;2.0;150;28;68;100.0;5;96.6
2023-12-20 23:39:05;AVAXUSDT;1h;2.0;175;28;68;100.0;5;96.6
2023-12-20 23:39:05;AVAXUSDT;1h;2.0;200;28;68;100.0;5;96.6
2023-12-20 23:39:05;AVAXUSDT;1h;2.0;225;28;68;100.0;5;96.6
2023-12-20 23:39:05;AVAXUSDT;1h;1.5;125;28;68;100.0;5;96.8
2023-12-20 23:39:05;AVAXUSDT;1h;1.5;150;28;68;100.0;5;96.8
2023-12-20 23:39:05;AVAXUSDT;1h;1.5;175;28;68;100.0;5;96.8
2023-12-20 23:39:05;AVAXUSDT;1h;1.5;200;28;68;100.0;5;96.8
2023-12-20 23:39:05;AVAXUSDT;1h;1.5;225;28;68;100.0;5;96.8
2023-12-20 23:39:05;AVAXUSDT;1h;2.5;125;28;68;100.0;4;96.92
2023-12-20 23:39:05;AVAXUSDT;1h;2.5;150;28;68;100.0;4;96.92
2023-12-20 23:39:05;AVAXUSDT;1h;2.5;175;28;68;100.0;4;96.92
2023-12-20 23:39:05;AVAXUSDT;1h;2.5;200;28;68;100.0;4;96.92
2023-12-20 23:39:05;AVAXUSDT;1h;2.5;225;28;68;100.0;4;96.92
2023-12-20 23:39:05;AVAXUSDT;1h;1.5;250;28;68;100.0;4;96.99
2023-12-20 23:39:05;AVAXUSDT;1h;2.5;250;28;68;100.0;3;97.08
2023-12-20 23:39:05;AVAXUSDT;1h;1.5;50;28;68;100.0;6;97.2
2023-12-20 23:39:05;AVAXUSDT;1h;1.5;75;28;68;100.0;6;97.2
2023-12-20 23:39:05;AVAXUSDT;1h;1.5;100;28;68;100.0;6;97.2
2023-12-20 23:39:05;AVAXUSDT;1h;1.0;250;28;68;100.0;3;97.24
2023-12-20 23:39:05;AVAXUSDT;1h;1.5;250;32;68;100.0;7;97.4
2023-12-20 23:39:05;AVAXUSDT;1h;1.0;250;28;68;100.0;5;97.52
2023-12-20 23:39:05;AVAXUSDT;1h;1.5;250;30;68;100.0;6;97.78
2023-12-20 23:39:05;AVAXUSDT;1h;1.0;125;28;68;100.0;6;98.08
2023-12-20 23:39:05;AVAXUSDT;1h;1.0;150;28;68;100.0;6;98.08
2023-12-20 23:39:05;AVAXUSDT;1h;1.0;175;28;68;100.0;6;98.08
2023-12-20 23:39:05;AVAXUSDT;1h;1.0;200;28;68;100.0;6;98.08
2023-12-20 23:39:05;AVAXUSDT;1h;1.0;225;28;68;100.0;6;98.08
2023-12-20 23:39:05;AVAXUSDT;1h;1.0;250;28;68;100.0;4;98.15
2023-12-20 23:39:05;AVAXUSDT;1h;1.5;250;28;68;100.0;2;98.22
2023-12-20 23:39:05;AVAXUSDT;1h;2.0;250;28;68;100.0;3;98.37
2023-12-20 23:39:05;AVAXUSDT;1h;1.0;250;38;68;100.0;4;98.44
2023-12-20 23:39:05;AVAXUSDT;1h;1.5;250;28;68;100.0;3;98.58
2023-12-20 23:39:05;AVAXUSDT;1h;1.0;250;30;68;100.0;7;98.63
2023-12-20 23:39:05;AVAXUSDT;1h;1.5;250;34;68;100.0;7;98.7
2023-12-20 23:39:05;AVAXUSDT;1h;1.5;125;28;68;100.0;4;98.73
2023-12-20 23:39:05;AVAXUSDT;1h;1.5;150;28;68;100.0;4;98.73
2023-12-20 23:39:05;AVAXUSDT;1h;1.5;175;28;68;100.0;4;98.73
2023-12-20 23:39:05;AVAXUSDT;1h;1.5;200;28;68;100.0;4;98.73
2023-12-20 23:39:05;AVAXUSDT;1h;1.5;225;28;68;100.0;4;98.73
2023-12-20 23:39:05;AVAXUSDT;1h;1.0;250;28;68;100.0;2;98.78
2023-12-20 23:39:05;AVAXUSDT;1h;3.5;250;28;68;100.0;2;98.87
2023-12-20 23:39:05;AVAXUSDT;1h;1.0;125;28;68;100.0;3;98.98
2023-12-20 23:39:05;AVAXUSDT;1h;1.0;150;28;68;100.0;3;98.98
2023-12-20 23:39:05;AVAXUSDT;1h;1.0;175;28;68;100.0;3;98.98
2023-12-20 23:39:05;AVAXUSDT;1h;1.0;200;28;68;100.0;3;98.98
2023-12-20 23:39:05;AVAXUSDT;1h;1.0;225;28;68;100.0;3;98.98
2023-12-20 23:39:05;AVAXUSDT;1h;1.0;50;28;68;100.0;7;99.13
2023-12-20 23:39:05;AVAXUSDT;1h;1.0;75;28;68;100.0;7;99.13
2023-12-20 23:39:05;AVAXUSDT;1h;1.0;100;28;68;100.0;7;99.13
2023-12-20 23:39:05;AVAXUSDT;1h;1.5;225;32;68;100.0;7;99.14
2023-12-20 23:39:05;AVAXUSDT;1h;2.0;50;28;68;100.0;5;99.26
2023-12-20 23:39:05;AVAXUSDT;1h;2.0;75;28;68;100.0;5;99.26
2023-12-20 23:39:05;AVAXUSDT;1h;2.0;100;28;68;100.0;5;99.26
2023-12-20 23:39:05;AVAXUSDT;1h;1.0;125;28;68;100.0;5;99.26
2023-12-20 23:39:05;AVAXUSDT;1h;1.0;150;28;68;100.0;5;99.26
2023-12-20 23:39:05;AVAXUSDT;1h;1.0;175;28;68;100.0;5;99.26
2023-12-20 23:39:05;AVAXUSDT;1h;1.0;200;28;68;100.0;5;99.26
2023-12-20 23:39:05;AVAXUSDT;1h;1.0;225;28;68;100.0;5;99.26
2023-12-20 23:39:05;AVAXUSDT;1h;3.0;125;28;68;100.0;3;99.29
2023-12-20 23:39:05;AVAXUSDT;1h;3.0;150;28;68;100.0;3;99.29
2023-12-20 23:39:05;AVAXUSDT;1h;3.0;175;28;68;100.0;3;99.29
2023-12-20 23:39:05;AVAXUSDT;1h;3.0;200;28;68;100.0;3;99.29
2023-12-20 23:39:05;AVAXUSDT;1h;3.0;225;28;68;100.0;3;99.29
2023-12-20 23:39:05;AVAXUSDT;1h;1.5;50;28;68;100.0;5;99.46
2023-12-20 23:39:05;AVAXUSDT;1h;1.5;75;28;68;100.0;5;99.46
2023-12-20 23:39:05;AVAXUSDT;1h;1.5;100;28;68;100.0;5;99.46
2023-12-20 23:39:05;AVAXUSDT;1h;1.5;225;30;68;100.0;6;99.53
2023-12-20 23:39:05;AVAXUSDT;1h;2.5;50;28;68;100.0;4;99.59
2023-12-20 23:39:05;AVAXUSDT;1h;2.5;75;28;68;100.0;4;99.59
2023-12-20 23:39:05;AVAXUSDT;1h;2.5;100;28;68;100.0;4;99.59
2023-12-20 23:39:05;AVAXUSDT;1h;2.0;250;30;68;100.0;5;99.68
2023-12-20 23:39:05;AVAXUSDT;1h;1.0;125;28;68;100.0;4;99.9
2023-12-20 23:39:05;AVAXUSDT;1h;1.0;150;28;68;100.0;4;99.9
2023-12-20 23:39:05;AVAXUSDT;1h;1.0;175;28;68;100.0;4;99.9
2023-12-20 23:39:05;AVAXUSDT;1h;1.0;200;28;68;100.0;4;99.9
2023-12-20 23:39:05;AVAXUSDT;1h;1.0;225;28;68;100.0;4;99.9
2023-12-20 23:39:05;AVAXUSDT;1h;5.0;125;28;68;100.0;2;99.92
2023-12-20 23:39:05;AVAXUSDT;1h;5.0;150;28;68;100.0;2;99.92
2023-12-20 23:39:05;AVAXUSDT;1h;5.0;175;28;68;100.0;2;99.92
2023-12-20 23:39:05;AVAXUSDT;1h;5.0;200;28;68;100.0;2;99.92
2023-12-20 23:39:05;AVAXUSDT;1h;5.0;225;28;68;100.0;2;99.92
2023-12-20 23:39:05;AVAXUSDT;1h;1.5;125;28;68;100.0;2;99.97
2023-12-20 23:39:05;AVAXUSDT;1h;1.5;150;28;68;100.0;2;99.97
2023-12-20 23:39:05;AVAXUSDT;1h;1.5;175;28;68;100.0;2;99.97
2023-12-20 23:39:05;AVAXUSDT;1h;1.5;200;28;68;100.0;2;99.97
2023-12-20 23:39:05;AVAXUSDT;1h;1.5;225;28;68;100.0;2;99.97
2023-12-20 23:39:05;AVAXUSDT;1h;3.0;250;28;68;100.0;2;100.18
2023-12-20 23:39:05;AVAXUSDT;1h;2.0;250;28;68;100.0;2;100.19
2023-12-20 23:39:05;AVAXUSDT;1h;1.0;250;44;68;100.0;4;100.23
2023-12-20 23:39:05;AVAXUSDT;1h;1.5;225;34;68;100.0;2;100.24
2023-12-20 23:39:05;AVAXUSDT;1h;2.5;250;28;68;100.0;2;100.31
2023-12-20 23:39:05;AVAXUSDT;1h;1.5;125;28;68;100.0;3;100.34
2023-12-20 23:39:05;AVAXUSDT;1h;1.5;150;28;68;100.0;3;100.34
2023-12-20 23:39:05;AVAXUSDT;1h;1.5;175;28;68;100.0;3;100.34
2023-12-20 23:39:05;AVAXUSDT;1h;1.5;200;28;68;100.0;3;100.34
2023-12-20 23:39:05;AVAXUSDT;1h;1.5;225;28;68;100.0;3;100.34
2023-12-20 23:39:05;AVAXUSDT;1h;4.5;125;28;68;100.0;2;100.36
2023-12-20 23:39:05;AVAXUSDT;1h;4.5;150;28;68;100.0;2;100.36
2023-12-20 23:39:05;AVAXUSDT;1h;4.5;175;28;68;100.0;2;100.36
2023-12-20 23:39:05;AVAXUSDT;1h;4.5;200;28;68;100.0;2;100.36
2023-12-20 23:39:05;AVAXUSDT;1h;4.5;225;28;68;100.0;2;100.36
2023-12-20 23:39:05;AVAXUSDT;1h;1.0;225;30;68;100.0;7;100.39
2023-12-20 23:39:05;AVAXUSDT;1h;1.0;125;28;68;100.0;2;100.54
2023-12-20 23:39:05;AVAXUSDT;1h;1.0;150;28;68;100.0;2;100.54
2023-12-20 23:39:05;AVAXUSDT;1h;1.0;175;28;68;100.0;2;100.54
2023-12-20 23:39:05;AVAXUSDT;1h;1.0;200;28;68;100.0;2;100.54
2023-12-20 23:39:05;AVAXUSDT;1h;1.0;225;28;68;100.0;2;100.54
2023-12-20 23:39:05;AVAXUSDT;1h;2.0;250;34;68;100.0;5;100.56
2023-12-20 23:39:05;AVAXUSDT;1h;1.0;250;30;68;100.0;6;100.61
2023-12-20 23:39:05;AVAXUSDT;1h;1.0;225;38;68;100.0;4;100.65
2023-12-20 23:39:05;AVAXUSDT;1h;2.5;250;30;68;100.0;4;100.68
2023-12-20 23:39:05;AVAXUSDT;1h;1.5;250;30;68;100.0;5;100.7
2023-12-20 23:39:05;AVAXUSDT;1h;1.0;50;28;68;100.0;6;100.78
2023-12-20 23:39:05;AVAXUSDT;1h;1.0;75;28;68;100.0;6;100.78
2023-12-20 23:39:05;AVAXUSDT;1h;1.0;100;28;68;100.0;6;100.78
2023-12-20 23:39:05;AVAXUSDT;1h;2.0;125;30;68;100.0;2;100.87
2023-12-20 23:39:05;AVAXUSDT;1h;2.0;150;30;68;100.0;2;100.87
2023-12-20 23:39:05;AVAXUSDT;1h;4.0;250;28;68;100.0;2;100.87
2023-12-20 23:39:05;AVAXUSDT;1h;1.0;225;38;68;100.0;3;100.88
2023-12-20 23:39:05;AVAXUSDT;1h;1.0;250;38;68;100.0;2;101.02
2023-12-20 23:39:05;AVAXUSDT;1h;1.0;250;42;68;100.0;4;101.14
2023-12-20 23:39:05;AVAXUSDT;1h;2.0;250;32;68;100.0;5;101.18
2023-12-20 23:39:05;AVAXUSDT;1h;2.0;125;28;68;100.0;4;101.25
2023-12-20 23:39:05;AVAXUSDT;1h;2.0;150;28;68;100.0;4;101.25
2023-12-20 23:39:05;AVAXUSDT;1h;2.0;175;28;68;100.0;4;101.25
2023-12-20 23:39:05;AVAXUSDT;1h;2.0;200;28;68;100.0;4;101.25
2023-12-20 23:39:05;AVAXUSDT;1h;2.0;225;28;68;100.0;4;101.25
2023-12-20 23:39:05;AVAXUSDT;1h;1.5;250;32;68;100.0;2;101.29
2023-12-20 23:39:05;AVAXUSDT;1h;1.0;250;40;68;100.0;4;101.39
2023-12-20 23:39:05;AVAXUSDT;1h;2.0;250;30;68;100.0;2;101.4
2023-12-20 23:39:05;AVAXUSDT;1h;1.5;250;32;68;100.0;6;101.44
2023-12-20 23:39:05;AVAXUSDT;1h;1.5;50;28;68;100.0;4;101.45
2023-12-20 23:39:05;AVAXUSDT;1h;1.5;75;28;68;100.0;4;101.45
2023-12-20 23:39:05;AVAXUSDT;1h;1.5;100;28;68;100.0;4;101.45
2023-12-20 23:39:05;AVAXUSDT;1h;1.0;250;36;68;100.0;4;101.57
2023-12-20 23:39:05;AVAXUSDT;1h;1.0;50;28;68;100.0;3;101.71
2023-12-20 23:39:05;AVAXUSDT;1h;1.0;75;28;68;100.0;3;101.71
2023-12-20 23:39:05;AVAXUSDT;1h;1.0;100;28;68;100.0;3;101.71
