date;symbol;interval;target_margin;p_ema;min_rsi;max_rsi;amount_invested;stop_loss_multiplier;pnl
2023-12-27 19:02:09;BCHUSDT;1m;4.5;250;32;68;100.0;2;93.24
2023-12-27 19:02:09;BCHUSDT;1m;4.5;250;28;68;100.0;2;94.25
2023-12-27 19:02:09;BCHUSDT;1m;4.5;225;32;68;100.0;2;96.93
2023-12-27 19:02:09;BCHUSDT;1m;4.5;250;34;68;100.0;2;97.61
2023-12-27 19:02:09;BCHUSDT;1m;1.0;100;40;68;100.0;2;98.1
2023-12-27 19:02:09;BCHUSDT;1m;4.5;250;30;68;100.0;2;98.18
2023-12-27 19:02:09;BCHUSDT;1m;3.5;75;60;68;100.0;3;98.77
2023-12-27 19:02:09;BCHUSDT;1m;3.5;75;58;68;100.0;3;98.77
2023-12-27 19:02:09;BCHUSDT;1m;3.5;75;56;68;100.0;3;98.77
2023-12-27 19:02:09;BCHUSDT;1m;3.5;75;54;68;100.0;3;98.77
2023-12-27 19:02:09;BCHUSDT;1m;3.5;75;52;68;100.0;3;98.77
2023-12-27 19:02:09;BCHUSDT;1m;3.5;75;50;68;100.0;3;98.77
2023-12-27 19:02:09;BCHUSDT;1m;3.5;75;48;68;100.0;3;98.77
2023-12-27 19:02:09;BCHUSDT;1m;3.5;75;46;68;100.0;3;98.77
2023-12-27 19:02:09;BCHUSDT;1m;3.5;75;44;68;100.0;3;98.77
2023-12-27 19:02:09;BCHUSDT;1m;4.5;250;60;68;100.0;3;99.68
2023-12-27 19:02:09;BCHUSDT;1m;4.5;250;58;68;100.0;3;99.68
2023-12-27 19:02:09;BCHUSDT;1m;4.5;250;56;68;100.0;3;99.68
2023-12-27 19:02:09;BCHUSDT;1m;4.5;250;54;68;100.0;3;99.68
2023-12-27 19:02:09;BCHUSDT;1m;4.5;250;52;68;100.0;3;99.68
2023-12-27 19:02:09;BCHUSDT;1m;4.5;250;50;68;100.0;3;99.68
2023-12-27 19:02:09;BCHUSDT;1m;4.5;250;48;68;100.0;3;99.68
2023-12-27 19:02:09;BCHUSDT;1m;4.5;250;46;68;100.0;3;99.68
2023-12-27 19:02:09;BCHUSDT;1m;4.5;250;44;68;100.0;3;99.68
2023-12-27 19:02:09;BCHUSDT;1m;4.5;250;42;68;100.0;3;99.68
2023-12-27 19:02:09;BCHUSDT;1m;4.5;250;40;68;100.0;3;99.68
2023-12-27 19:02:09;BCHUSDT;1m;4.5;250;38;68;100.0;3;99.68
2023-12-27 19:02:09;BCHUSDT;1m;4.5;250;28;68;100.0;3;99.94
2023-12-27 19:02:09;BCHUSDT;1m;4.5;250;30;68;100.0;3;99.98
2023-12-27 19:02:09;BCHUSDT;1m;4.5;250;36;68;100.0;3;100.0
2023-12-27 19:02:09;BCHUSDT;1m;2.0;75;42;68;100.0;7;100.07
2023-12-27 19:02:09;BCHUSDT;1m;4.5;250;32;68;100.0;3;100.08
2023-12-27 19:02:09;BCHUSDT;1m;1.0;50;38;68;100.0;2;100.23
2023-12-27 19:02:09;BCHUSDT;1m;4.5;250;34;68;100.0;3;100.23
2023-12-27 19:02:09;BCHUSDT;1m;1.0;125;40;68;100.0;2;100.27
2023-12-27 19:02:09;BCHUSDT;1m;3.5;75;60;68;100.0;2;100.54
2023-12-27 19:02:09;BCHUSDT;1m;3.5;75;58;68;100.0;2;100.54
2023-12-27 19:02:09;BCHUSDT;1m;3.5;75;56;68;100.0;2;100.54
2023-12-27 19:02:09;BCHUSDT;1m;3.5;75;54;68;100.0;2;100.54
2023-12-27 19:02:09;BCHUSDT;1m;3.5;75;52;68;100.0;2;100.54
2023-12-27 19:02:09;BCHUSDT;1m;3.5;75;50;68;100.0;2;100.54
2023-12-27 19:02:09;BCHUSDT;1m;3.5;75;48;68;100.0;2;100.54
2023-12-27 19:02:09;BCHUSDT;1m;3.5;75;46;68;100.0;2;100.54
2023-12-27 19:02:09;BCHUSDT;1m;3.5;75;44;68;100.0;2;100.54
2023-12-27 19:02:09;BCHUSDT;1m;3.5;75;42;68;100.0;2;100.54
2023-12-27 19:02:09;BCHUSDT;1m;3.5;75;60;68;100.0;4;100.57
2023-12-27 19:02:09;BCHUSDT;1m;3.5;75;58;68;100.0;4;100.57
