date;symbol;interval;target_margin;p_ema;min_rsi;max_rsi;amount_invested;stop_loss_multiplier;pnl
2024-01-10 00:27:18;BTCUSDT;30m;2.0;50;28;68;100.0;1;94.82
2024-01-10 00:27:18;BTCUSDT;30m;2.0;75;28;68;100.0;1;94.82
2024-01-10 00:27:18;BTCUSDT;30m;2.0;100;28;68;100.0;1;94.82
2024-01-10 00:27:18;BTCUSDT;30m;2.0;125;28;68;100.0;1;94.82
2024-01-10 00:27:18;BTCUSDT;30m;2.0;150;28;68;100.0;1;94.82
2024-01-10 00:27:18;BTCUSDT;30m;2.0;175;28;68;100.0;1;94.82
2024-01-10 00:27:18;BTCUSDT;30m;2.0;200;28;68;100.0;1;94.82
2024-01-10 00:27:18;BTCUSDT;30m;2.0;225;28;68;100.0;1;94.82
2024-01-10 00:27:18;BTCUSDT;30m;2.0;250;28;68;100.0;1;94.82
2024-01-10 00:27:18;BTCUSDT;30m;2.0;50;30;68;100.0;1;95.3
2024-01-10 00:27:18;BTCUSDT;30m;2.0;75;30;68;100.0;1;95.3
2024-01-10 00:27:18;BTCUSDT;30m;2.0;100;30;68;100.0;1;95.3
2024-01-10 00:27:18;BTCUSDT;30m;2.0;125;30;68;100.0;1;95.3
2024-01-10 00:27:18;BTCUSDT;30m;1.5;50;28;68;100.0;1;95.49
2024-01-10 00:27:18;BTCUSDT;30m;1.5;75;28;68;100.0;1;95.49
2024-01-10 00:27:18;BTCUSDT;30m;1.5;100;28;68;100.0;1;95.49
2024-01-10 00:27:18;BTCUSDT;30m;1.5;125;28;68;100.0;1;95.49
2024-01-10 00:27:18;BTCUSDT;30m;1.5;150;28;68;100.0;1;95.49
2024-01-10 00:27:18;BTCUSDT;30m;1.5;175;28;68;100.0;1;95.49
2024-01-10 00:27:18;BTCUSDT;30m;1.5;200;28;68;100.0;1;95.49
2024-01-10 00:27:18;BTCUSDT;30m;1.5;225;28;68;100.0;1;95.49
2024-01-10 00:27:18;BTCUSDT;30m;1.5;250;28;68;100.0;1;95.49
2024-01-10 00:27:18;BTCUSDT;30m;1.5;50;34;68;100.0;1;95.7
2024-01-10 00:27:18;BTCUSDT;30m;1.5;75;34;68;100.0;1;95.7
2024-01-10 00:27:18;BTCUSDT;30m;1.5;150;32;68;100.0;1;95.96
2024-01-10 00:27:18;BTCUSDT;30m;1.5;175;32;68;100.0;1;95.96
2024-01-10 00:27:18;BTCUSDT;30m;1.5;200;32;68;100.0;1;95.96
2024-01-10 00:27:18;BTCUSDT;30m;1.5;225;32;68;100.0;1;95.96
2024-01-10 00:27:18;BTCUSDT;30m;1.5;250;32;68;100.0;1;95.96
2024-01-10 00:27:18;BTCUSDT;30m;1.5;50;32;68;100.0;1;96.23
2024-01-10 00:27:18;BTCUSDT;30m;1.5;75;32;68;100.0;1;96.23
2024-01-10 00:27:18;BTCUSDT;30m;1.5;100;32;68;100.0;1;96.23
2024-01-10 00:27:18;BTCUSDT;30m;1.5;125;32;68;100.0;1;96.23
2024-01-10 00:27:18;BTCUSDT;30m;2.0;150;30;68;100.0;1;96.73
2024-01-10 00:27:18;BTCUSDT;30m;2.0;175;30;68;100.0;1;96.73
2024-01-10 00:27:18;BTCUSDT;30m;2.0;200;30;68;100.0;1;96.73
2024-01-10 00:27:18;BTCUSDT;30m;2.0;225;30;68;100.0;1;96.73
2024-01-10 00:27:18;BTCUSDT;30m;2.0;250;30;68;100.0;1;96.73
2024-01-10 00:27:18;BTCUSDT;30m;1.5;150;34;68;100.0;1;97.13
2024-01-10 00:27:18;BTCUSDT;30m;1.5;175;34;68;100.0;1;97.13
2024-01-10 00:27:18;BTCUSDT;30m;1.5;200;34;68;100.0;1;97.13
2024-01-10 00:27:18;BTCUSDT;30m;1.5;225;34;68;100.0;1;97.13
2024-01-10 00:27:18;BTCUSDT;30m;1.5;250;34;68;100.0;1;97.13
2024-01-10 00:27:18;BTCUSDT;30m;2.5;50;28;68;100.0;1;97.14
2024-01-10 00:27:18;BTCUSDT;30m;2.5;75;28;68;100.0;1;97.14
2024-01-10 00:27:18;BTCUSDT;30m;2.5;100;28;68;100.0;1;97.14
2024-01-10 00:27:18;BTCUSDT;30m;2.5;125;28;68;100.0;1;97.14
2024-01-10 00:27:18;BTCUSDT;30m;2.5;150;28;68;100.0;1;97.14
2024-01-10 00:27:18;BTCUSDT;30m;2.5;175;28;68;100.0;1;97.14
2024-01-10 00:27:18;BTCUSDT;30m;2.5;200;28;68;100.0;1;97.14
2024-01-10 00:27:18;BTCUSDT;30m;2.5;225;28;68;100.0;1;97.14
2024-01-10 00:27:18;BTCUSDT;30m;2.5;250;28;68;100.0;1;97.14
2024-01-10 00:27:18;BTCUSDT;30m;1.0;50;34;68;100.0;2;97.35
2024-01-10 00:27:18;BTCUSDT;30m;1.0;75;34;68;100.0;2;97.35
2024-01-10 00:27:18;BTCUSDT;30m;1.5;100;34;68;100.0;1;97.41
2024-01-10 00:27:18;BTCUSDT;30m;1.5;125;34;68;100.0;1;97.41
2024-01-10 00:27:18;BTCUSDT;30m;1.5;150;30;68;100.0;1;97.41
2024-01-10 00:27:18;BTCUSDT;30m;1.5;175;30;68;100.0;1;97.41
2024-01-10 00:27:18;BTCUSDT;30m;1.5;200;30;68;100.0;1;97.41
2024-01-10 00:27:18;BTCUSDT;30m;1.5;225;30;68;100.0;1;97.41
2024-01-10 00:27:18;BTCUSDT;30m;1.5;250;30;68;100.0;1;97.41
2024-01-10 00:27:18;BTCUSDT;30m;1.0;150;38;68;100.0;1;97.51
2024-01-10 00:27:18;BTCUSDT;30m;1.0;175;38;68;100.0;1;97.51
2024-01-10 00:27:18;BTCUSDT;30m;1.0;200;38;68;100.0;1;97.51
2024-01-10 00:27:18;BTCUSDT;30m;1.0;225;38;68;100.0;1;97.51
2024-01-10 00:27:18;BTCUSDT;30m;1.0;250;38;68;100.0;1;97.51
2024-01-10 00:27:18;BTCUSDT;30m;1.0;50;28;68;100.0;2;97.58
2024-01-10 00:27:18;BTCUSDT;30m;1.0;75;28;68;100.0;2;97.58
2024-01-10 00:27:18;BTCUSDT;30m;1.0;100;28;68;100.0;2;97.58
2024-01-10 00:27:18;BTCUSDT;30m;1.0;125;28;68;100.0;2;97.58
2024-01-10 00:27:18;BTCUSDT;30m;1.0;150;28;68;100.0;2;97.58
2024-01-10 00:27:18;BTCUSDT;30m;1.0;175;28;68;100.0;2;97.58
2024-01-10 00:27:18;BTCUSDT;30m;1.0;200;28;68;100.0;2;97.58
2024-01-10 00:27:18;BTCUSDT;30m;1.0;225;28;68;100.0;2;97.58
2024-01-10 00:27:18;BTCUSDT;30m;1.0;250;28;68;100.0;2;97.58
2024-01-10 00:27:18;BTCUSDT;30m;1.5;50;30;68;100.0;1;97.69
2024-01-10 00:27:18;BTCUSDT;30m;1.5;75;30;68;100.0;1;97.69
2024-01-10 00:27:18;BTCUSDT;30m;1.5;100;30;68;100.0;1;97.69
2024-01-10 00:27:18;BTCUSDT;30m;1.5;125;30;68;100.0;1;97.69
2024-01-10 00:27:18;BTCUSDT;30m;4.0;50;60;68;100.0;1;98.14
2024-01-10 00:27:18;BTCUSDT;30m;4.0;50;58;68;100.0;1;98.14
2024-01-10 00:27:18;BTCUSDT;30m;4.0;50;56;68;100.0;1;98.14
2024-01-10 00:27:18;BTCUSDT;30m;4.0;50;54;68;100.0;1;98.14
2024-01-10 00:27:18;BTCUSDT;30m;4.0;50;52;68;100.0;1;98.14
2024-01-10 00:27:18;BTCUSDT;30m;4.0;50;50;68;100.0;1;98.14
2024-01-10 00:27:18;BTCUSDT;30m;4.0;50;48;68;100.0;1;98.14
2024-01-10 00:27:18;BTCUSDT;30m;1.0;150;34;68;100.0;1;98.27
2024-01-10 00:27:18;BTCUSDT;30m;1.0;175;34;68;100.0;1;98.27
2024-01-10 00:27:18;BTCUSDT;30m;1.0;200;34;68;100.0;1;98.27
2024-01-10 00:27:18;BTCUSDT;30m;1.0;225;34;68;100.0;1;98.27
2024-01-10 00:27:18;BTCUSDT;30m;1.0;250;34;68;100.0;1;98.27
2024-01-10 00:27:18;BTCUSDT;30m;1.0;50;28;68;100.0;1;98.42
2024-01-10 00:27:18;BTCUSDT;30m;1.0;75;28;68;100.0;1;98.42
2024-01-10 00:27:18;BTCUSDT;30m;1.0;100;28;68;100.0;1;98.42
2024-01-10 00:27:18;BTCUSDT;30m;1.0;125;28;68;100.0;1;98.42
2024-01-10 00:27:18;BTCUSDT;30m;1.0;150;28;68;100.0;1;98.42
2024-01-10 00:27:18;BTCUSDT;30m;1.0;175;28;68;100.0;1;98.42
2024-01-10 00:27:18;BTCUSDT;30m;1.0;200;28;68;100.0;1;98.42
2024-01-10 00:27:18;BTCUSDT;30m;1.0;225;28;68;100.0;1;98.42
2024-01-10 00:27:18;BTCUSDT;30m;1.0;250;28;68;100.0;1;98.42
2024-01-10 00:27:18;BTCUSDT;30m;1.5;150;32;68;100.0;2;98.7
2024-01-10 00:27:18;BTCUSDT;30m;1.5;175;32;68;100.0;2;98.7
2024-01-10 00:27:18;BTCUSDT;30m;1.5;200;32;68;100.0;2;98.7
2024-01-10 00:27:18;BTCUSDT;30m;1.5;225;32;68;100.0;2;98.7
2024-01-10 00:27:18;BTCUSDT;30m;1.5;250;32;68;100.0;2;98.7
2024-01-10 00:27:18;BTCUSDT;30m;2.5;50;30;68;100.0;1;98.71
2024-01-10 00:27:18;BTCUSDT;30m;2.5;75;30;68;100.0;1;98.71
2024-01-10 00:27:18;BTCUSDT;30m;2.5;100;30;68;100.0;1;98.71
2024-01-10 00:27:18;BTCUSDT;30m;2.5;125;30;68;100.0;1;98.71
2024-01-10 00:27:18;BTCUSDT;30m;1.5;50;34;68;100.0;2;98.77
2024-01-10 00:27:18;BTCUSDT;30m;1.5;75;34;68;100.0;2;98.77
2024-01-10 00:27:18;BTCUSDT;30m;1.0;150;34;68;100.0;2;98.81
2024-01-10 00:27:18;BTCUSDT;30m;1.0;175;34;68;100.0;2;98.81
2024-01-10 00:27:18;BTCUSDT;30m;1.0;200;34;68;100.0;2;98.81
2024-01-10 00:27:18;BTCUSDT;30m;1.0;225;34;68;100.0;2;98.81
2024-01-10 00:27:18;BTCUSDT;30m;1.0;250;34;68;100.0;2;98.81
2024-01-10 00:27:18;BTCUSDT;30m;1.0;50;36;68;100.0;2;98.9
2024-01-10 00:27:18;BTCUSDT;30m;1.0;75;36;68;100.0;2;98.9
2024-01-10 00:27:18;BTCUSDT;30m;1.5;50;32;68;100.0;2;98.99
2024-01-10 00:27:18;BTCUSDT;30m;1.5;75;32;68;100.0;2;98.99
2024-01-10 00:27:18;BTCUSDT;30m;1.5;100;32;68;100.0;2;98.99
2024-01-10 00:27:18;BTCUSDT;30m;1.5;125;32;68;100.0;2;98.99
2024-01-10 00:27:18;BTCUSDT;30m;4.0;75;60;68;100.0;1;99.09
2024-01-10 00:27:18;BTCUSDT;30m;4.0;100;60;68;100.0;1;99.09
2024-01-10 00:27:18;BTCUSDT;30m;4.0;125;60;68;100.0;1;99.09
2024-01-10 00:27:18;BTCUSDT;30m;4.0;75;58;68;100.0;1;99.09
2024-01-10 00:27:18;BTCUSDT;30m;4.0;100;58;68;100.0;1;99.09
