date;symbol;interval;target_margin;p_ema;min_rsi;max_rsi;amount_invested;stop_loss_multiplier;pnl
2024-01-02 21:01:41;DOGEUSDT;1h;1.0;50;42;68;100.0;1;97.58
2024-01-02 21:01:41;DOGEUSDT;1h;1.0;75;42;68;100.0;1;97.58
2024-01-02 21:01:41;DOGEUSDT;1h;1.0;100;42;68;100.0;1;97.58
2024-01-02 21:01:41;DOGEUSDT;1h;1.0;125;42;68;100.0;1;97.58
2024-01-02 21:01:41;DOGEUSDT;1h;1.0;150;42;68;100.0;1;97.58
2024-01-02 21:01:41;DOGEUSDT;1h;1.0;175;42;68;100.0;1;97.58
2024-01-02 21:01:41;DOGEUSDT;1h;1.0;200;42;68;100.0;1;97.58
2024-01-02 21:01:41;DOGEUSDT;1h;1.0;225;42;68;100.0;1;97.58
2024-01-02 21:01:41;DOGEUSDT;1h;1.0;250;42;68;100.0;1;97.58
2024-01-02 21:01:41;DOGEUSDT;1h;1.5;50;42;68;100.0;1;98.5
2024-01-02 21:01:41;DOGEUSDT;1h;1.5;75;42;68;100.0;1;98.5
2024-01-02 21:01:41;DOGEUSDT;1h;1.5;100;42;68;100.0;1;98.5
2024-01-02 21:01:41;DOGEUSDT;1h;1.5;125;42;68;100.0;1;98.5
2024-01-02 21:01:41;DOGEUSDT;1h;1.5;150;42;68;100.0;1;98.5
2024-01-02 21:01:41;DOGEUSDT;1h;1.5;175;42;68;100.0;1;98.5
2024-01-02 21:01:41;DOGEUSDT;1h;1.5;200;42;68;100.0;1;98.5
2024-01-02 21:01:41;DOGEUSDT;1h;1.5;225;42;68;100.0;1;98.5
2024-01-02 21:01:41;DOGEUSDT;1h;1.5;250;42;68;100.0;1;98.5
2024-01-02 21:01:41;DOGEUSDT;1h;1.5;50;40;68;100.0;1;98.96
2024-01-02 21:01:41;DOGEUSDT;1h;1.5;75;40;68;100.0;1;98.96
2024-01-02 21:01:41;DOGEUSDT;1h;1.5;100;40;68;100.0;1;98.96
2024-01-02 21:01:41;DOGEUSDT;1h;1.5;125;40;68;100.0;1;98.96
2024-01-02 21:01:41;DOGEUSDT;1h;1.5;150;40;68;100.0;1;98.96
2024-01-02 21:01:41;DOGEUSDT;1h;1.5;175;40;68;100.0;1;98.96
2024-01-02 21:01:41;DOGEUSDT;1h;1.5;200;40;68;100.0;1;98.96
2024-01-02 21:01:41;DOGEUSDT;1h;1.5;225;40;68;100.0;1;98.96
2024-01-02 21:01:41;DOGEUSDT;1h;1.5;250;40;68;100.0;1;98.96
2024-01-02 21:01:41;DOGEUSDT;1h;1.5;50;34;68;100.0;1;99.2
2024-01-02 21:01:41;DOGEUSDT;1h;1.5;75;34;68;100.0;1;99.2
2024-01-02 21:01:41;DOGEUSDT;1h;1.5;100;34;68;100.0;1;99.2
2024-01-02 21:01:41;DOGEUSDT;1h;1.5;125;34;68;100.0;1;99.2
2024-01-02 21:01:41;DOGEUSDT;1h;1.5;150;34;68;100.0;1;99.2
2024-01-02 21:01:41;DOGEUSDT;1h;1.5;175;34;68;100.0;1;99.2
2024-01-02 21:01:41;DOGEUSDT;1h;1.5;200;34;68;100.0;1;99.2
2024-01-02 21:01:41;DOGEUSDT;1h;1.5;225;34;68;100.0;1;99.2
2024-01-02 21:01:41;DOGEUSDT;1h;1.5;250;34;68;100.0;1;99.2
2024-01-02 21:01:41;DOGEUSDT;1h;1.5;50;44;68;100.0;1;99.66
2024-01-02 21:01:41;DOGEUSDT;1h;1.5;75;44;68;100.0;1;99.66
2024-01-02 21:01:41;DOGEUSDT;1h;1.5;100;44;68;100.0;1;99.66
2024-01-02 21:01:41;DOGEUSDT;1h;1.5;125;44;68;100.0;1;99.66
2024-01-02 21:01:41;DOGEUSDT;1h;1.5;150;44;68;100.0;1;99.66
2024-01-02 21:01:41;DOGEUSDT;1h;1.5;175;44;68;100.0;1;99.66
2024-01-02 21:01:41;DOGEUSDT;1h;1.5;200;44;68;100.0;1;99.66
2024-01-02 21:01:41;DOGEUSDT;1h;1.5;225;44;68;100.0;1;99.66
2024-01-02 21:01:41;DOGEUSDT;1h;1.5;250;44;68;100.0;1;99.66
2024-01-02 21:01:41;DOGEUSDT;1h;2.0;50;34;68;100.0;1;99.71
2024-01-02 21:01:41;DOGEUSDT;1h;2.0;75;34;68;100.0;1;99.71
