date;symbol;interval;target_margin;p_ema;min_rsi;max_rsi;amount_invested;stop_loss_multiplier;pnl
2023-12-27 18:09:53;DOTUSDT;1h;1.0;225;40;68;100.0;3;85.15
2023-12-27 18:09:53;DOTUSDT;1h;1.0;200;40;68;100.0;3;86.62
2023-12-27 18:09:53;DOTUSDT;1h;1.0;225;38;68;100.0;5;86.95
2023-12-27 18:09:53;DOTUSDT;1h;1.5;200;32;68;100.0;3;87.55
2023-12-27 18:09:53;DOTUSDT;1h;1.5;225;32;68;100.0;3;87.55
2023-12-27 18:09:53;DOTUSDT;1h;1.5;250;32;68;100.0;3;87.55
2023-12-27 18:09:53;DOTUSDT;1h;1.0;200;42;68;100.0;3;88.75
2023-12-27 18:09:53;DOTUSDT;1h;1.0;200;38;68;100.0;5;89.51
2023-12-27 18:09:53;DOTUSDT;1h;1.0;200;36;68;100.0;6;89.54
2023-12-27 18:09:53;DOTUSDT;1h;1.0;225;36;68;100.0;6;89.54
2023-12-27 18:09:53;DOTUSDT;1h;1.0;225;42;68;100.0;3;89.62
2023-12-27 18:09:53;DOTUSDT;1h;1.0;225;38;68;100.0;6;89.65
2023-12-27 18:09:53;DOTUSDT;1h;1.5;150;32;68;100.0;3;89.76
2023-12-27 18:09:53;DOTUSDT;1h;1.5;175;32;68;100.0;3;89.76
2023-12-27 18:09:53;DOTUSDT;1h;1.5;125;32;68;100.0;3;89.85
2023-12-27 18:09:53;DOTUSDT;1h;1.0;250;40;68;100.0;3;89.97
2023-12-27 18:09:53;DOTUSDT;1h;1.0;200;38;68;100.0;6;90.23
2023-12-27 18:09:53;DOTUSDT;1h;1.0;200;44;68;100.0;3;90.28
2023-12-27 18:09:53;DOTUSDT;1h;1.0;225;40;68;100.0;5;90.37
2023-12-27 18:09:53;DOTUSDT;1h;1.0;225;40;68;100.0;6;90.4
2023-12-27 18:09:53;DOTUSDT;1h;1.5;200;40;68;100.0;2;90.43
2023-12-27 18:09:53;DOTUSDT;1h;1.0;250;36;68;100.0;2;90.46
2023-12-27 18:09:53;DOTUSDT;1h;1.0;200;40;68;100.0;6;90.57
2023-12-27 18:09:53;DOTUSDT;1h;1.0;200;36;68;100.0;2;90.69
2023-12-27 18:09:53;DOTUSDT;1h;1.0;225;36;68;100.0;2;90.69
2023-12-27 18:09:53;DOTUSDT;1h;1.0;200;46;68;100.0;2;90.85
2023-12-27 18:09:53;DOTUSDT;1h;1.5;225;40;68;100.0;2;91.0
2023-12-27 18:09:53;DOTUSDT;1h;1.5;225;38;68;100.0;3;91.12
2023-12-27 18:09:53;DOTUSDT;1h;1.0;225;44;68;100.0;3;91.16
2023-12-27 18:09:53;DOTUSDT;1h;1.5;200;38;68;100.0;3;91.3
2023-12-27 18:09:53;DOTUSDT;1h;1.5;50;32;68;100.0;3;91.53
2023-12-27 18:09:53;DOTUSDT;1h;1.5;75;32;68;100.0;3;91.53
2023-12-27 18:09:53;DOTUSDT;1h;1.5;100;32;68;100.0;3;91.53
2023-12-27 18:09:53;DOTUSDT;1h;1.0;200;32;68;100.0;2;91.61
2023-12-27 18:09:53;DOTUSDT;1h;1.0;225;32;68;100.0;2;91.61
2023-12-27 18:09:53;DOTUSDT;1h;1.0;250;32;68;100.0;2;91.61
2023-12-27 18:09:53;DOTUSDT;1h;1.5;200;38;68;100.0;4;91.86
2023-12-27 18:09:53;DOTUSDT;1h;1.0;200;34;68;100.0;5;91.95
2023-12-27 18:09:53;DOTUSDT;1h;1.0;225;34;68;100.0;5;91.95
2023-12-27 18:09:53;DOTUSDT;1h;1.0;250;34;68;100.0;5;91.95
2023-12-27 18:09:53;DOTUSDT;1h;1.0;200;44;68;100.0;6;92.08
2023-12-27 18:09:53;DOTUSDT;1h;1.5;200;36;68;100.0;4;92.16
2023-12-27 18:09:53;DOTUSDT;1h;1.5;225;36;68;100.0;4;92.16
2023-12-27 18:09:53;DOTUSDT;1h;1.0;200;42;68;100.0;6;92.19
2023-12-27 18:09:53;DOTUSDT;1h;1.0;225;44;68;100.0;6;92.34
2023-12-27 18:09:53;DOTUSDT;1h;1.5;200;34;68;100.0;3;92.42
2023-12-27 18:09:53;DOTUSDT;1h;1.5;225;34;68;100.0;3;92.42
2023-12-27 18:09:53;DOTUSDT;1h;1.5;250;34;68;100.0;3;92.42
2023-12-27 18:09:53;DOTUSDT;1h;1.0;225;42;68;100.0;6;92.44
2023-12-27 18:09:53;DOTUSDT;1h;1.5;200;32;68;100.0;4;92.52
2023-12-27 18:09:53;DOTUSDT;1h;1.5;225;32;68;100.0;4;92.52
2023-12-27 18:09:53;DOTUSDT;1h;1.5;250;32;68;100.0;4;92.52
2023-12-27 18:09:53;DOTUSDT;1h;1.0;200;40;68;100.0;5;92.59
2023-12-27 18:09:53;DOTUSDT;1h;1.0;200;36;68;100.0;5;92.6
2023-12-27 18:09:53;DOTUSDT;1h;1.0;225;36;68;100.0;5;92.6
2023-12-27 18:09:53;DOTUSDT;1h;1.5;225;38;68;100.0;4;92.65
2023-12-27 18:09:53;DOTUSDT;1h;1.0;200;32;68;100.0;4;92.66
2023-12-27 18:09:53;DOTUSDT;1h;1.0;225;32;68;100.0;4;92.66
2023-12-27 18:09:53;DOTUSDT;1h;1.0;250;32;68;100.0;4;92.66
2023-12-27 18:09:53;DOTUSDT;1h;1.0;200;44;68;100.0;2;92.8
2023-12-27 18:09:53;DOTUSDT;1h;2.5;200;38;68;100.0;2;92.88
2023-12-27 18:09:53;DOTUSDT;1h;2.5;225;38;68;100.0;2;92.98
2023-12-27 18:09:53;DOTUSDT;1h;1.5;200;40;68;100.0;4;93.16
2023-12-27 18:09:53;DOTUSDT;1h;1.0;200;34;68;100.0;2;93.21
2023-12-27 18:09:53;DOTUSDT;1h;1.0;225;34;68;100.0;2;93.21
2023-12-27 18:09:53;DOTUSDT;1h;1.0;250;34;68;100.0;2;93.21
2023-12-27 18:09:53;DOTUSDT;1h;1.0;175;40;68;100.0;3;93.25
2023-12-27 18:09:53;DOTUSDT;1h;1.0;200;32;68;100.0;5;93.5
2023-12-27 18:09:53;DOTUSDT;1h;1.0;225;32;68;100.0;5;93.5
2023-12-27 18:09:53;DOTUSDT;1h;1.0;250;32;68;100.0;5;93.5
2023-12-27 18:09:53;DOTUSDT;1h;1.5;250;40;68;100.0;2;93.63
2023-12-27 18:09:53;DOTUSDT;1h;1.0;200;38;68;100.0;2;93.76
2023-12-27 18:09:53;DOTUSDT;1h;1.0;250;36;68;100.0;5;93.78
2023-12-27 18:09:53;DOTUSDT;1h;1.0;225;44;68;100.0;5;93.83
2023-12-27 18:09:53;DOTUSDT;1h;1.0;200;46;68;100.0;3;93.93
2023-12-27 18:09:53;DOTUSDT;1h;1.5;200;42;68;100.0;2;93.98
2023-12-27 18:09:53;DOTUSDT;1h;1.0;200;40;68;100.0;2;94.03
