date;symbol;interval;target_margin;p_ema;min_rsi;max_rsi;amount_invested;stop_loss_multiplier;pnl
2023-12-21 00:33:35;DOTUSDT;1m;1.0;250;28;68;100.0;2;117.78
2023-12-21 00:33:35;DOTUSDT;1m;1.0;225;28;68;100.0;2;119.66
2023-12-21 00:33:35;DOTUSDT;1m;1.0;175;28;68;100.0;2;125.22
2023-12-21 00:33:35;DOTUSDT;1m;1.0;200;28;68;100.0;2;125.48
2023-12-21 00:33:35;DOTUSDT;1m;1.0;125;28;68;100.0;3;125.84
2023-12-21 00:33:35;DOTUSDT;1m;1.0;50;28;68;100.0;3;127.04
2023-12-21 00:33:35;DOTUSDT;1m;1.0;75;28;68;100.0;3;127.04
2023-12-21 00:33:35;DOTUSDT;1m;1.0;100;28;68;100.0;3;127.04
2023-12-21 00:33:35;DOTUSDT;1m;1.0;125;28;68;100.0;2;128.07
2023-12-21 00:33:35;DOTUSDT;1m;1.5;225;60;68;100.0;4;128.95
2023-12-21 00:33:35;DOTUSDT;1m;1.0;50;38;68;100.0;2;129.01
2023-12-21 00:33:35;DOTUSDT;1m;1.0;50;28;68;100.0;2;129.12
2023-12-21 00:33:35;DOTUSDT;1m;1.0;75;28;68;100.0;2;129.12
2023-12-21 00:33:35;DOTUSDT;1m;1.0;100;28;68;100.0;2;129.29
2023-12-21 00:33:35;DOTUSDT;1m;1.0;150;28;68;100.0;2;129.31
2023-12-21 00:33:35;DOTUSDT;1m;1.0;250;28;68;100.0;3;130.79
2023-12-21 00:33:35;DOTUSDT;1m;1.5;225;58;68;100.0;4;130.8
2023-12-21 00:33:35;DOTUSDT;1m;1.5;225;56;68;100.0;4;130.88
2023-12-21 00:33:35;DOTUSDT;1m;1.5;225;54;68;100.0;4;130.91
2023-12-21 00:33:35;DOTUSDT;1m;1.5;225;52;68;100.0;4;130.94
2023-12-21 00:33:35;DOTUSDT;1m;1.0;175;28;68;100.0;3;131.12
2023-12-21 00:33:35;DOTUSDT;1m;1.5;225;48;68;100.0;4;132.67
2023-12-21 00:33:35;DOTUSDT;1m;1.5;225;50;68;100.0;4;133.15
2023-12-21 00:33:35;DOTUSDT;1m;1.5;225;46;68;100.0;4;133.21
2023-12-21 00:33:35;DOTUSDT;1m;1.5;225;40;68;100.0;4;133.81
2023-12-21 00:33:35;DOTUSDT;1m;1.5;225;44;68;100.0;4;133.85
2023-12-21 00:33:35;DOTUSDT;1m;1.0;75;48;68;100.0;2;133.97
2023-12-21 00:33:35;DOTUSDT;1m;1.0;75;46;68;100.0;2;134.28
2023-12-21 00:33:35;DOTUSDT;1m;1.0;100;46;68;100.0;2;134.9
2023-12-21 00:33:35;DOTUSDT;1m;1.0;225;28;68;100.0;3;135.27
2023-12-21 00:33:35;DOTUSDT;1m;1.0;150;28;68;100.0;3;135.47
2023-12-21 00:33:35;DOTUSDT;1m;1.0;250;28;68;100.0;4;135.86
2023-12-21 00:33:35;DOTUSDT;1m;1.0;100;48;68;100.0;2;135.92
2023-12-21 00:33:35;DOTUSDT;1m;1.5;225;42;68;100.0;4;136.23
2023-12-21 00:33:35;DOTUSDT;1m;1.5;250;60;68;100.0;4;137.3
2023-12-21 00:33:35;DOTUSDT;1m;1.0;75;52;68;100.0;2;137.31
2023-12-21 00:33:35;DOTUSDT;1m;1.0;75;50;68;100.0;2;137.38
2023-12-21 00:33:35;DOTUSDT;1m;1.0;200;28;68;100.0;3;137.68
2023-12-21 00:33:35;DOTUSDT;1m;1.0;75;42;68;100.0;2;138.27
2023-12-21 00:33:35;DOTUSDT;1m;1.0;75;44;68;100.0;2;138.34
2023-12-21 00:33:35;DOTUSDT;1m;1.0;250;32;68;100.0;3;138.42
2023-12-21 00:33:35;DOTUSDT;1m;1.0;75;38;68;100.0;2;138.87
2023-12-21 00:33:35;DOTUSDT;1m;1.5;225;46;68;100.0;5;139.27
2023-12-21 00:33:35;DOTUSDT;1m;1.5;225;38;68;100.0;3;139.4
2023-12-21 00:33:35;DOTUSDT;1m;1.0;100;44;68;100.0;2;139.49
2023-12-21 00:33:35;DOTUSDT;1m;1.0;75;40;68;100.0;2;139.84
2023-12-21 00:33:35;DOTUSDT;1m;1.5;200;60;68;100.0;4;139.86
2023-12-21 00:33:35;DOTUSDT;1m;1.5;225;48;68;100.0;5;140.35
2023-12-21 00:33:35;DOTUSDT;1m;1.0;100;42;68;100.0;2;140.72
2023-12-21 00:33:35;DOTUSDT;1m;1.5;250;56;68;100.0;4;140.99
2023-12-21 00:33:35;DOTUSDT;1m;1.0;75;54;68;100.0;2;141.02
2023-12-21 00:33:35;DOTUSDT;1m;1.0;100;54;68;100.0;2;141.05
2023-12-21 00:33:35;DOTUSDT;1m;1.5;250;54;68;100.0;4;141.08
2023-12-21 00:33:35;DOTUSDT;1m;1.0;100;52;68;100.0;2;141.24
2023-12-21 00:33:35;DOTUSDT;1m;1.5;250;58;68;100.0;4;141.37
