date;symbol;interval;target_margin;p_ema;min_rsi;max_rsi;amount_invested;stop_loss_multiplier;pnl
2023-12-20 23:40:52;DYDXUSDT;30m;4.0;50;32;68;100.0;5;93.37
2023-12-20 23:40:52;DYDXUSDT;30m;4.0;75;32;68;100.0;5;93.37
2023-12-20 23:40:52;DYDXUSDT;30m;4.0;100;32;68;100.0;5;93.37
2023-12-20 23:40:52;DYDXUSDT;30m;4.0;125;32;68;100.0;5;93.37
2023-12-20 23:40:52;DYDXUSDT;30m;4.0;50;32;68;100.0;7;94.58
2023-12-20 23:40:52;DYDXUSDT;30m;4.0;75;32;68;100.0;7;94.58
2023-12-20 23:40:52;DYDXUSDT;30m;4.0;100;32;68;100.0;7;94.58
2023-12-20 23:40:52;DYDXUSDT;30m;4.0;125;32;68;100.0;7;94.58
2023-12-20 23:40:52;DYDXUSDT;30m;3.0;50;34;68;100.0;7;95.35
2023-12-20 23:40:52;DYDXUSDT;30m;3.0;75;34;68;100.0;7;95.35
2023-12-20 23:40:52;DYDXUSDT;30m;2.5;225;34;68;100.0;2;97.51
2023-12-20 23:40:52;DYDXUSDT;30m;2.5;250;34;68;100.0;2;97.51
2023-12-20 23:40:52;DYDXUSDT;30m;3.0;250;38;68;100.0;5;99.0
2023-12-20 23:40:52;DYDXUSDT;30m;3.0;250;40;68;100.0;5;99.34
2023-12-20 23:40:52;DYDXUSDT;30m;4.0;50;30;68;100.0;7;99.44
2023-12-20 23:40:52;DYDXUSDT;30m;4.0;75;30;68;100.0;7;99.44
2023-12-20 23:40:52;DYDXUSDT;30m;4.0;100;30;68;100.0;7;99.44
2023-12-20 23:40:52;DYDXUSDT;30m;4.0;125;30;68;100.0;7;99.44
2023-12-20 23:40:52;DYDXUSDT;30m;4.0;50;30;68;100.0;5;99.79
2023-12-20 23:40:52;DYDXUSDT;30m;4.0;75;30;68;100.0;5;99.79
2023-12-20 23:40:52;DYDXUSDT;30m;4.0;100;30;68;100.0;5;99.79
2023-12-20 23:40:52;DYDXUSDT;30m;4.0;125;30;68;100.0;5;99.79
2023-12-20 23:40:52;DYDXUSDT;30m;2.5;200;34;68;100.0;2;100.37
2023-12-20 23:40:52;DYDXUSDT;30m;1.5;175;58;68;100.0;2;101.37
2023-12-20 23:40:52;DYDXUSDT;30m;3.0;250;60;68;100.0;2;101.8
2023-12-20 23:40:52;DYDXUSDT;30m;5.0;50;32;68;100.0;4;101.83
2023-12-20 23:40:52;DYDXUSDT;30m;5.0;75;32;68;100.0;4;101.83
