date;symbol;interval;target_margin;p_ema;min_rsi;max_rsi;amount_invested;stop_loss_multiplier;pnl
2023-12-18 20:44:56;ETHUSDT;1h;1.0;225;40;68;100.0;2;92.88
2023-12-18 20:44:56;ETHUSDT;1h;1.0;200;40;68;100.0;2;93.55
2023-12-18 20:44:56;ETHUSDT;1h;1.0;125;40;68;100.0;2;93.73
2023-12-18 20:44:56;ETHUSDT;1h;1.0;225;38;68;100.0;2;94.03
2023-12-18 20:44:56;ETHUSDT;1h;1.0;100;40;68;100.0;2;94.17
2023-12-18 20:44:56;ETHUSDT;1h;1.0;175;40;68;100.0;2;94.55
2023-12-18 20:44:56;ETHUSDT;1h;1.0;200;38;68;100.0;2;94.71
2023-12-18 20:44:55;ETHUSDT;1h;1.0;75;42;68;100.0;2;95.23
2023-12-18 20:44:56;ETHUSDT;1h;1.0;225;42;68;100.0;2;95.29
2023-12-18 20:44:55;ETHUSDT;1h;1.0;50;46;68;100.0;3;95.39
2023-12-18 20:44:56;ETHUSDT;1h;1.0;150;38;68;100.0;2;95.7
2023-12-18 20:44:56;ETHUSDT;1h;1.0;175;38;68;100.0;2;95.73
2023-12-18 20:44:56;ETHUSDT;1h;1.0;125;42;68;100.0;2;95.79
2023-12-18 20:44:56;ETHUSDT;1h;1.0;150;40;68;100.0;2;95.81
2023-12-18 20:44:56;ETHUSDT;1h;1.0;200;42;68;100.0;2;95.98
2023-12-18 20:44:55;ETHUSDT;1h;1.0;50;38;68;100.0;2;96.0
2023-12-18 20:44:55;ETHUSDT;1h;1.0;75;38;68;100.0;2;96.0
2023-12-18 20:44:56;ETHUSDT;1h;1.0;225;44;68;100.0;2;96.04
2023-12-18 20:44:56;ETHUSDT;1h;1.0;100;38;68;100.0;2;96.07
2023-12-18 20:44:55;ETHUSDT;1h;1.0;75;40;68;100.0;2;96.39
2023-12-18 20:44:56;ETHUSDT;1h;1.0;250;40;68;100.0;2;96.59
2023-12-18 20:44:56;ETHUSDT;1h;1.0;100;40;68;100.0;3;96.72
2023-12-18 20:44:56;ETHUSDT;1h;1.0;200;44;68;100.0;2;96.73
2023-12-18 20:44:56;ETHUSDT;1h;1.0;100;38;68;100.0;3;96.73
2023-12-18 20:44:55;ETHUSDT;1h;1.0;50;40;68;100.0;2;96.93
2023-12-18 20:44:56;ETHUSDT;1h;1.0;225;38;68;100.0;3;96.94
2023-12-18 20:44:56;ETHUSDT;1h;1.0;175;42;68;100.0;2;97.01
2023-12-18 20:44:56;ETHUSDT;1h;1.0;250;38;68;100.0;3;97.13
2023-12-18 20:44:56;ETHUSDT;1h;1.0;125;46;68;100.0;3;97.19
2023-12-18 20:44:55;ETHUSDT;1h;1.0;75;42;68;100.0;3;97.32
2023-12-18 20:44:55;ETHUSDT;1h;1.0;50;38;68;100.0;3;97.39
2023-12-18 20:44:55;ETHUSDT;1h;1.0;75;38;68;100.0;3;97.39
2023-12-18 20:44:56;ETHUSDT;1h;1.0;200;38;68;100.0;3;97.46
2023-12-18 20:44:56;ETHUSDT;1h;1.0;250;38;68;100.0;2;97.51
2023-12-18 20:44:56;ETHUSDT;1h;1.0;225;42;68;100.0;3;97.65
2023-12-18 20:44:56;ETHUSDT;1h;1.0;225;40;68;100.0;3;97.66
2023-12-18 20:44:56;ETHUSDT;1h;1.0;125;38;68;100.0;2;97.74
2023-12-18 20:44:56;ETHUSDT;1h;1.0;175;44;68;100.0;2;97.77
2023-12-18 20:44:56;ETHUSDT;1h;1.0;125;42;68;100.0;3;97.98
2023-12-18 20:44:55;ETHUSDT;1h;1.0;50;48;68;100.0;3;98.04
2023-12-18 20:44:56;ETHUSDT;1h;1.0;125;44;68;100.0;2;98.05
2023-12-18 20:44:56;ETHUSDT;1h;1.0;250;42;68;100.0;3;98.13
2023-12-18 20:44:56;ETHUSDT;1h;1.0;250;40;68;100.0;3;98.14
2023-12-18 20:44:56;ETHUSDT;1h;1.0;200;42;68;100.0;3;98.18
2023-12-18 20:44:56;ETHUSDT;1h;1.0;200;40;68;100.0;3;98.2
2023-12-18 20:44:56;ETHUSDT;1h;1.0;150;42;68;100.0;2;98.3
2023-12-18 20:44:56;ETHUSDT;1h;1.0;125;40;68;100.0;3;98.38
2023-12-18 20:44:56;ETHUSDT;1h;1.0;150;38;68;100.0;3;98.48
2023-12-18 20:44:56;ETHUSDT;1h;1.0;175;38;68;100.0;3;98.51
2023-12-18 20:44:56;ETHUSDT;1h;1.0;200;46;68;100.0;2;98.57
2023-12-18 20:44:56;ETHUSDT;1h;1.0;225;46;68;100.0;2;98.66
2023-12-18 20:44:56;ETHUSDT;1h;1.5;225;40;68;100.0;2;98.76
2023-12-18 20:44:56;ETHUSDT;1h;1.0;225;36;68;100.0;3;98.83
2023-12-18 20:44:56;ETHUSDT;1h;1.0;100;36;68;100.0;3;98.86
2023-12-18 20:44:56;ETHUSDT;1h;1.5;225;42;68;100.0;2;98.89
2023-12-18 20:44:56;ETHUSDT;1h;1.0;250;36;68;100.0;3;99.02
2023-12-18 20:44:56;ETHUSDT;1h;1.0;250;42;68;100.0;2;99.1
2023-12-18 20:44:56;ETHUSDT;1h;1.5;125;42;68;100.0;2;99.18
2023-12-18 20:44:56;ETHUSDT;1h;1.5;225;38;68;100.0;2;99.22
2023-12-18 20:44:55;ETHUSDT;1h;1.0;50;52;68;100.0;3;99.24
2023-12-18 20:44:55;ETHUSDT;1h;1.0;50;50;68;100.0;3;99.24
2023-12-18 20:44:56;ETHUSDT;1h;1.0;175;42;68;100.0;3;99.24
2023-12-18 20:44:56;ETHUSDT;1h;1.0;175;40;68;100.0;3;99.25
2023-12-18 20:44:55;ETHUSDT;1h;1.0;50;40;68;100.0;3;99.28
2023-12-18 20:44:55;ETHUSDT;1h;1.0;50;28;68;100.0;3;99.29
2023-12-18 20:44:55;ETHUSDT;1h;1.0;75;28;68;100.0;3;99.29
2023-12-18 20:44:55;ETHUSDT;1h;1.0;100;28;68;100.0;3;99.29
2023-12-18 20:44:56;ETHUSDT;1h;1.0;125;28;68;100.0;3;99.29
2023-12-18 20:44:56;ETHUSDT;1h;1.0;150;28;68;100.0;3;99.29
2023-12-18 20:44:56;ETHUSDT;1h;1.0;175;28;68;100.0;3;99.29
2023-12-18 20:44:56;ETHUSDT;1h;1.0;125;44;68;100.0;3;99.32
2023-12-18 20:44:55;ETHUSDT;1h;1.0;75;40;68;100.0;3;99.37
2023-12-18 20:44:56;ETHUSDT;1h;1.5;125;40;68;100.0;2;99.44
2023-12-18 20:44:56;ETHUSDT;1h;1.0;225;46;68;100.0;3;99.46
2023-12-18 20:44:56;ETHUSDT;1h;1.0;225;44;68;100.0;3;99.46
2023-12-18 20:44:56;ETHUSDT;1h;1.0;125;48;68;100.0;3;99.51
