date;symbol;interval;target_margin;p_ema;min_rsi;max_rsi;amount_invested;stop_loss_multiplier;pnl
2023-12-20 23:39:21;GASUSDT;1h;4.0;125;54;68;100.0;3;47.09
2023-12-20 23:39:21;GASUSDT;1h;2.0;125;48;68;100.0;7;47.76
2023-12-20 23:39:21;GASUSDT;1h;3.0;125;50;68;100.0;4;47.82
2023-12-20 23:39:21;GASUSDT;1h;3.0;125;54;68;100.0;4;47.9
2023-12-20 23:39:21;GASUSDT;1h;3.0;125;52;68;100.0;4;47.9
2023-12-20 23:39:21;GASUSDT;1h;2.0;125;46;68;100.0;7;48.08
2023-12-20 23:39:21;GASUSDT;1h;4.5;125;46;68;100.0;7;48.55
2023-12-20 23:39:21;GASUSDT;1h;1.0;125;52;68;100.0;3;48.95
2023-12-20 23:39:21;GASUSDT;1h;4.5;125;50;68;100.0;7;49.07
2023-12-20 23:39:21;GASUSDT;1h;4.5;125;48;68;100.0;7;49.07
2023-12-20 23:39:21;GASUSDT;1h;2.0;125;54;68;100.0;6;49.16
2023-12-20 23:39:21;GASUSDT;1h;1.0;125;48;68;100.0;7;49.3
2023-12-20 23:39:21;GASUSDT;1h;4.5;125;60;68;100.0;7;49.48
2023-12-20 23:39:21;GASUSDT;1h;4.5;125;58;68;100.0;7;49.48
2023-12-20 23:39:21;GASUSDT;1h;4.5;125;56;68;100.0;7;49.48
2023-12-20 23:39:21;GASUSDT;1h;4.5;125;54;68;100.0;7;49.48
2023-12-20 23:39:21;GASUSDT;1h;4.5;125;52;68;100.0;7;49.48
2023-12-20 23:39:21;GASUSDT;1h;4.0;125;46;68;100.0;3;49.53
2023-12-20 23:39:21;GASUSDT;1h;2.5;125;48;68;100.0;5;49.65
2023-12-20 23:39:21;GASUSDT;1h;1.5;50;38;68;100.0;7;50.08
2023-12-20 23:39:21;GASUSDT;1h;4.0;125;50;68;100.0;7;50.32
2023-12-20 23:39:21;GASUSDT;1h;4.0;125;48;68;100.0;7;50.32
2023-12-20 23:39:21;GASUSDT;1h;4.0;125;46;68;100.0;7;50.39
2023-12-20 23:39:21;GASUSDT;1h;4.0;125;60;68;100.0;7;50.51
2023-12-20 23:39:21;GASUSDT;1h;4.0;125;58;68;100.0;7;50.51
2023-12-20 23:39:21;GASUSDT;1h;4.0;125;56;68;100.0;7;50.51
2023-12-20 23:39:21;GASUSDT;1h;4.0;125;54;68;100.0;7;50.51
2023-12-20 23:39:21;GASUSDT;1h;4.0;125;52;68;100.0;7;50.51
2023-12-20 23:39:21;GASUSDT;1h;5.0;125;32;68;100.0;7;50.66
2023-12-20 23:39:21;GASUSDT;1h;1.5;125;46;68;100.0;6;50.69
2023-12-20 23:39:21;GASUSDT;1h;4.0;125;50;68;100.0;3;50.83
2023-12-20 23:39:21;GASUSDT;1h;2.0;175;48;68;100.0;7;50.83
2023-12-20 23:39:21;GASUSDT;1h;2.0;125;50;68;100.0;7;50.98
2023-12-20 23:39:21;GASUSDT;1h;1.0;125;60;68;100.0;3;50.99
2023-12-20 23:39:21;GASUSDT;1h;2.5;125;50;68;100.0;5;50.99
2023-12-20 23:39:21;GASUSDT;1h;5.0;150;28;68;100.0;6;50.99
2023-12-20 23:39:21;GASUSDT;1h;5.0;175;28;68;100.0;6;50.99
2023-12-20 23:39:21;GASUSDT;1h;5.0;200;28;68;100.0;6;50.99
2023-12-20 23:39:21;GASUSDT;1h;2.0;150;48;68;100.0;7;51.07
2023-12-20 23:39:21;GASUSDT;1h;3.0;125;56;68;100.0;4;51.09
2023-12-20 23:39:21;GASUSDT;1h;2.0;125;54;68;100.0;7;51.1
2023-12-20 23:39:21;GASUSDT;1h;2.0;125;52;68;100.0;7;51.1
2023-12-20 23:39:21;GASUSDT;1h;2.0;175;46;68;100.0;7;51.17
2023-12-20 23:39:21;GASUSDT;1h;1.5;125;60;68;100.0;6;51.21
2023-12-20 23:39:21;GASUSDT;1h;1.0;200;48;68;100.0;7;51.3
2023-12-20 23:39:21;GASUSDT;1h;1.0;75;52;68;100.0;3;51.31
2023-12-20 23:39:21;GASUSDT;1h;2.0;225;54;68;100.0;6;51.37
2023-12-20 23:39:21;GASUSDT;1h;1.0;125;50;68;100.0;3;51.39
2023-12-20 23:39:21;GASUSDT;1h;2.0;150;46;68;100.0;7;51.42
2023-12-20 23:39:21;GASUSDT;1h;3.0;125;60;68;100.0;4;51.44
2023-12-20 23:39:21;GASUSDT;1h;1.0;125;52;68;100.0;7;51.44
2023-12-20 23:39:21;GASUSDT;1h;2.0;125;60;68;100.0;6;51.51
2023-12-20 23:39:21;GASUSDT;1h;4.0;125;52;68;100.0;3;51.51
2023-12-20 23:39:21;GASUSDT;1h;1.0;125;48;68;100.0;6;51.51
2023-12-20 23:39:21;GASUSDT;1h;1.0;125;48;68;100.0;3;51.52
2023-12-20 23:39:21;GASUSDT;1h;4.5;150;28;68;100.0;6;51.54
2023-12-20 23:39:21;GASUSDT;1h;4.5;175;28;68;100.0;6;51.54
2023-12-20 23:39:21;GASUSDT;1h;4.5;200;28;68;100.0;6;51.54
2023-12-20 23:39:21;GASUSDT;1h;4.0;225;54;68;100.0;3;51.58
2023-12-20 23:39:21;GASUSDT;1h;1.5;125;38;68;100.0;7;51.66
2023-12-20 23:39:21;GASUSDT;1h;3.5;125;50;68;100.0;4;51.7
2023-12-20 23:39:21;GASUSDT;1h;1.5;125;58;68;100.0;6;51.76
2023-12-20 23:39:21;GASUSDT;1h;3.5;125;46;68;100.0;4;51.8
2023-12-20 23:39:21;GASUSDT;1h;2.5;125;54;68;100.0;5;51.89
2023-12-20 23:39:21;GASUSDT;1h;2.5;125;46;68;100.0;5;51.97
2023-12-20 23:39:21;GASUSDT;1h;5.0;125;34;68;100.0;7;52.05
2023-12-20 23:39:21;GASUSDT;1h;1.0;75;54;68;100.0;3;52.06
2023-12-20 23:39:21;GASUSDT;1h;3.5;125;54;68;100.0;4;52.15
2023-12-20 23:39:21;GASUSDT;1h;3.5;125;52;68;100.0;4;52.15
2023-12-20 23:39:21;GASUSDT;1h;3.5;125;48;68;100.0;4;52.16
2023-12-20 23:39:21;GASUSDT;1h;4.0;125;56;68;100.0;3;52.22
2023-12-20 23:39:21;GASUSDT;1h;1.0;125;48;68;100.0;4;52.25
2023-12-20 23:39:21;GASUSDT;1h;1.0;125;58;68;100.0;3;52.29
2023-12-20 23:39:21;GASUSDT;1h;4.0;125;48;68;100.0;3;52.35
2023-12-20 23:39:21;GASUSDT;1h;2.0;200;48;68;100.0;7;52.39
2023-12-20 23:39:21;GASUSDT;1h;4.5;125;40;68;100.0;3;52.48
2023-12-20 23:39:21;GASUSDT;1h;2.5;125;52;68;100.0;5;52.61
2023-12-20 23:39:21;GASUSDT;1h;3.0;125;58;68;100.0;4;52.62
2023-12-20 23:39:21;GASUSDT;1h;4.5;125;50;68;100.0;3;52.71
2023-12-20 23:39:21;GASUSDT;1h;2.0;200;46;68;100.0;7;52.75
2023-12-20 23:39:21;GASUSDT;1h;1.0;75;60;68;100.0;3;52.79
2023-12-20 23:39:21;GASUSDT;1h;2.0;125;56;68;100.0;6;52.82
2023-12-20 23:39:21;GASUSDT;1h;4.5;125;48;68;100.0;2;52.9
2023-12-20 23:39:21;GASUSDT;1h;2.0;225;48;68;100.0;7;52.92
2023-12-20 23:39:21;GASUSDT;1h;1.0;175;48;68;100.0;7;52.94
2023-12-20 23:39:21;GASUSDT;1h;4.5;125;46;68;100.0;4;52.98
2023-12-20 23:39:21;GASUSDT;1h;4.5;125;48;68;100.0;4;53.06
2023-12-20 23:39:21;GASUSDT;1h;1.0;125;54;68;100.0;3;53.07
2023-12-20 23:39:21;GASUSDT;1h;2.5;125;54;68;100.0;6;53.1
2023-12-20 23:39:21;GASUSDT;1h;2.5;125;52;68;100.0;6;53.1
2023-12-20 23:39:21;GASUSDT;1h;4.5;125;46;68;100.0;3;53.1
2023-12-20 23:39:21;GASUSDT;1h;1.0;225;52;68;100.0;3;53.14
2023-12-20 23:39:21;GASUSDT;1h;4.5;125;54;68;100.0;3;53.15
2023-12-20 23:39:21;GASUSDT;1h;4.5;125;52;68;100.0;3;53.15
2023-12-20 23:39:21;GASUSDT;1h;2.5;125;50;68;100.0;6;53.16
2023-12-20 23:39:21;GASUSDT;1h;4.5;225;46;68;100.0;4;53.17
2023-12-20 23:39:21;GASUSDT;1h;4.0;150;28;68;100.0;7;53.17
2023-12-20 23:39:21;GASUSDT;1h;4.0;175;28;68;100.0;7;53.17
2023-12-20 23:39:21;GASUSDT;1h;4.0;200;28;68;100.0;7;53.17
2023-12-20 23:39:21;GASUSDT;1h;2.0;125;58;68;100.0;6;53.18
2023-12-20 23:39:21;GASUSDT;1h;4.5;125;48;68;100.0;3;53.19
2023-12-20 23:39:21;GASUSDT;1h;4.5;225;48;68;100.0;4;53.25
2023-12-20 23:39:21;GASUSDT;1h;2.0;225;46;68;100.0;7;53.28
2023-12-20 23:39:21;GASUSDT;1h;1.0;125;60;68;100.0;7;53.32
2023-12-20 23:39:21;GASUSDT;1h;5.0;50;32;68;100.0;7;53.37
2023-12-20 23:39:21;GASUSDT;1h;5.0;75;32;68;100.0;7;53.37
2023-12-20 23:39:21;GASUSDT;1h;1.0;125;50;68;100.0;7;53.4
2023-12-20 23:39:21;GASUSDT;1h;1.0;75;50;68;100.0;3;53.46
2023-12-20 23:39:21;GASUSDT;1h;1.0;200;52;68;100.0;7;53.51
2023-12-20 23:39:21;GASUSDT;1h;3.0;125;46;68;100.0;4;53.52
2023-12-20 23:39:21;GASUSDT;1h;4.5;125;32;68;100.0;7;53.56
2023-12-20 23:39:21;GASUSDT;1h;3.0;225;54;68;100.0;4;53.59
2023-12-20 23:39:21;GASUSDT;1h;3.0;225;52;68;100.0;4;53.59
2023-12-20 23:39:21;GASUSDT;1h;1.0;200;48;68;100.0;6;53.59
2023-12-20 23:39:21;GASUSDT;1h;1.5;50;38;68;100.0;6;53.59
2023-12-20 23:39:21;GASUSDT;1h;1.0;75;48;68;100.0;3;53.6
2023-12-20 23:39:21;GASUSDT;1h;4.5;225;28;68;100.0;6;53.6
2023-12-20 23:39:21;GASUSDT;1h;4.0;225;46;68;100.0;3;53.61
2023-12-20 23:39:21;GASUSDT;1h;1.5;125;54;68;100.0;6;53.62
2023-12-20 23:39:21;GASUSDT;1h;1.0;150;48;68;100.0;7;53.62
2023-12-20 23:39:21;GASUSDT;1h;2.5;125;40;68;100.0;5;53.71
2023-12-20 23:39:21;GASUSDT;1h;5.0;175;38;68;100.0;6;53.75
2023-12-20 23:39:21;GASUSDT;1h;5.0;200;38;68;100.0;6;53.75
2023-12-20 23:39:21;GASUSDT;1h;5.0;175;36;68;100.0;6;53.78
2023-12-20 23:39:21;GASUSDT;1h;5.0;200;36;68;100.0;6;53.78
2023-12-20 23:39:21;GASUSDT;1h;1.0;75;58;68;100.0;3;53.79
2023-12-20 23:39:21;GASUSDT;1h;1.0;50;38;68;100.0;7;53.85
2023-12-20 23:39:21;GASUSDT;1h;1.0;100;52;68;100.0;3;53.86
2023-12-20 23:39:21;GASUSDT;1h;5.0;150;34;68;100.0;6;53.87
2023-12-20 23:39:21;GASUSDT;1h;5.0;175;34;68;100.0;6;53.87
2023-12-20 23:39:21;GASUSDT;1h;5.0;200;34;68;100.0;6;53.87
2023-12-20 23:39:21;GASUSDT;1h;4.5;50;28;68;100.0;6;53.93
2023-12-20 23:39:21;GASUSDT;1h;4.5;75;28;68;100.0;6;53.93
2023-12-20 23:39:21;GASUSDT;1h;4.5;100;28;68;100.0;6;53.93
2023-12-20 23:39:21;GASUSDT;1h;4.5;125;28;68;100.0;6;53.93
2023-12-20 23:39:21;GASUSDT;1h;2.0;125;42;68;100.0;6;53.94
2023-12-20 23:39:21;GASUSDT;1h;2.0;125;60;68;100.0;4;54.04
2023-12-20 23:39:21;GASUSDT;1h;1.0;100;48;68;100.0;7;54.09
2023-12-20 23:39:21;GASUSDT;1h;5.0;225;46;68;100.0;3;54.11
2023-12-20 23:39:21;GASUSDT;1h;1.0;75;48;68;100.0;4;54.12
2023-12-20 23:39:21;GASUSDT;1h;4.0;125;60;68;100.0;3;54.14
2023-12-20 23:39:21;GASUSDT;1h;1.0;75;56;68;100.0;3;54.15
2023-12-20 23:39:21;GASUSDT;1h;4.5;225;50;68;100.0;5;54.21
2023-12-20 23:39:21;GASUSDT;1h;4.5;225;50;68;100.0;3;54.22
2023-12-20 23:39:21;GASUSDT;1h;2.0;175;50;68;100.0;7;54.26
2023-12-20 23:39:21;GASUSDT;1h;4.5;225;54;68;100.0;5;54.3
2023-12-20 23:39:21;GASUSDT;1h;4.5;225;52;68;100.0;5;54.3
2023-12-20 23:39:21;GASUSDT;1h;5.0;225;42;68;100.0;3;54.32
2023-12-20 23:39:21;GASUSDT;1h;2.5;125;42;68;100.0;6;54.37
2023-12-20 23:39:21;GASUSDT;1h;2.0;175;54;68;100.0;7;54.38
2023-12-20 23:39:21;GASUSDT;1h;2.0;175;52;68;100.0;7;54.38
2023-12-20 23:39:21;GASUSDT;1h;3.0;125;54;68;100.0;5;54.41
2023-12-20 23:39:21;GASUSDT;1h;3.0;125;52;68;100.0;5;54.41
2023-12-20 23:39:21;GASUSDT;1h;4.5;225;58;68;100.0;5;54.48
2023-12-20 23:39:21;GASUSDT;1h;4.5;150;46;68;100.0;4;54.48
2023-12-20 23:39:21;GASUSDT;1h;1.0;175;60;68;100.0;7;54.51
2023-12-20 23:39:21;GASUSDT;1h;2.0;150;50;68;100.0;7;54.52
2023-12-20 23:39:21;GASUSDT;1h;2.0;125;58;68;100.0;4;54.56
2023-12-20 23:39:21;GASUSDT;1h;4.5;150;48;68;100.0;4;54.57
2023-12-20 23:39:21;GASUSDT;1h;5.0;100;32;68;100.0;7;54.57
2023-12-20 23:39:21;GASUSDT;1h;1.0;125;60;68;100.0;6;54.58
2023-12-20 23:39:21;GASUSDT;1h;4.5;225;46;68;100.0;3;54.62
2023-12-20 23:39:21;GASUSDT;1h;2.0;150;54;68;100.0;7;54.64
2023-12-20 23:39:21;GASUSDT;1h;2.0;150;52;68;100.0;7;54.64
2023-12-20 23:39:21;GASUSDT;1h;1.0;125;46;68;100.0;7;54.65
2023-12-20 23:39:21;GASUSDT;1h;5.0;50;34;68;100.0;7;54.67
2023-12-20 23:39:21;GASUSDT;1h;5.0;75;34;68;100.0;7;54.67
2023-12-20 23:39:21;GASUSDT;1h;4.5;225;54;68;100.0;3;54.68
2023-12-20 23:39:21;GASUSDT;1h;4.5;225;52;68;100.0;3;54.68
2023-12-20 23:39:21;GASUSDT;1h;5.0;200;42;68;100.0;3;54.69
2023-12-20 23:39:21;GASUSDT;1h;3.0;125;50;68;100.0;5;54.71
2023-12-20 23:39:21;GASUSDT;1h;4.5;225;48;68;100.0;3;54.71
2023-12-20 23:39:21;GASUSDT;1h;1.5;125;52;68;100.0;6;54.72
2023-12-20 23:39:21;GASUSDT;1h;4.5;200;46;68;100.0;4;54.81
2023-12-20 23:39:21;GASUSDT;1h;5.0;200;46;68;100.0;3;54.83
2023-12-20 23:39:21;GASUSDT;1h;4.5;200;48;68;100.0;4;54.9
2023-12-20 23:39:21;GASUSDT;1h;1.0;200;48;68;100.0;4;54.91
2023-12-20 23:39:21;GASUSDT;1h;5.0;150;32;68;100.0;6;54.92
2023-12-20 23:39:21;GASUSDT;1h;5.0;175;32;68;100.0;6;54.92
2023-12-20 23:39:21;GASUSDT;1h;5.0;200;32;68;100.0;6;54.92
2023-12-20 23:39:21;GASUSDT;1h;4.5;125;46;68;100.0;6;55.0
2023-12-20 23:39:21;GASUSDT;1h;4.0;125;38;68;100.0;3;55.05
2023-12-20 23:39:21;GASUSDT;1h;4.0;125;58;68;100.0;3;55.06
2023-12-20 23:39:21;GASUSDT;1h;1.5;125;48;68;100.0;6;55.09
2023-12-20 23:39:21;GASUSDT;1h;5.0;150;30;68;100.0;6;55.11
2023-12-20 23:39:21;GASUSDT;1h;5.0;175;30;68;100.0;6;55.11
2023-12-20 23:39:21;GASUSDT;1h;5.0;200;30;68;100.0;6;55.11
2023-12-20 23:39:21;GASUSDT;1h;2.0;125;46;68;100.0;4;55.14
2023-12-20 23:39:21;GASUSDT;1h;5.0;175;42;68;100.0;3;55.15
2023-12-20 23:39:21;GASUSDT;1h;5.0;50;28;68;100.0;6;55.18
2023-12-20 23:39:21;GASUSDT;1h;5.0;75;28;68;100.0;6;55.18
2023-12-20 23:39:21;GASUSDT;1h;5.0;100;28;68;100.0;6;55.18
2023-12-20 23:39:21;GASUSDT;1h;5.0;125;28;68;100.0;6;55.18
2023-12-20 23:39:21;GASUSDT;1h;2.0;225;56;68;100.0;6;55.2
2023-12-20 23:39:21;GASUSDT;1h;5.0;175;60;68;100.0;7;55.21
2023-12-20 23:39:21;GASUSDT;1h;5.0;200;60;68;100.0;7;55.21
2023-12-20 23:39:21;GASUSDT;1h;5.0;175;58;68;100.0;7;55.21
2023-12-20 23:39:21;GASUSDT;1h;5.0;200;58;68;100.0;7;55.21
2023-12-20 23:39:21;GASUSDT;1h;5.0;175;56;68;100.0;7;55.21
2023-12-20 23:39:21;GASUSDT;1h;5.0;200;56;68;100.0;7;55.21
2023-12-20 23:39:21;GASUSDT;1h;1.5;125;50;68;100.0;6;55.21
2023-12-20 23:39:21;GASUSDT;1h;1.0;125;56;68;100.0;3;55.22
2023-12-20 23:39:21;GASUSDT;1h;4.0;125;40;68;100.0;3;55.22
2023-12-20 23:39:21;GASUSDT;1h;1.0;175;52;68;100.0;7;55.23
2023-12-20 23:39:21;GASUSDT;1h;4.5;175;46;68;100.0;4;55.26
