date;symbol;interval;target_margin;p_ema;min_rsi;max_rsi;amount_invested;stop_loss_multiplier;pnl
2023-12-18 20:44:54;LINKUSDT;1h;1.0;100;46;68;100.0;3;88.68
2023-12-18 20:44:54;LINKUSDT;1h;1.0;100;48;68;100.0;3;90.27
2023-12-18 20:44:54;LINKUSDT;1h;1.5;100;46;68;100.0;2;90.34
2023-12-18 20:44:54;LINKUSDT;1h;1.0;150;38;68;100.0;6;91.69
2023-12-18 20:44:54;LINKUSDT;1h;2.0;150;36;68;100.0;3;91.82
2023-12-18 20:44:54;LINKUSDT;1h;1.0;100;50;68;100.0;3;92.47
2023-12-18 20:44:54;LINKUSDT;1h;1.0;150;40;68;100.0;6;94.2
2023-12-18 20:44:54;LINKUSDT;1h;1.0;125;38;68;100.0;6;94.58
2023-12-18 20:44:54;LINKUSDT;1h;1.0;150;50;68;100.0;4;94.62
2023-12-18 20:44:54;LINKUSDT;1h;1.5;75;46;68;100.0;2;95.12
2023-12-18 20:44:54;LINKUSDT;1h;2.0;150;34;68;100.0;3;95.27
2023-12-18 20:44:54;LINKUSDT;1h;2.0;75;38;68;100.0;5;95.42
2023-12-18 20:44:54;LINKUSDT;1h;1.5;75;44;68;100.0;2;95.47
2023-12-18 20:44:54;LINKUSDT;1h;1.0;75;46;68;100.0;3;95.58
2023-12-18 20:44:54;LINKUSDT;1h;2.0;150;38;68;100.0;3;96.44
2023-12-18 20:44:54;LINKUSDT;1h;1.0;100;38;68;100.0;6;96.63
2023-12-18 20:44:54;LINKUSDT;1h;2.0;125;36;68;100.0;3;96.63
2023-12-18 20:44:54;LINKUSDT;1h;1.0;150;36;68;100.0;6;96.7
2023-12-18 20:44:54;LINKUSDT;1h;1.0;150;46;68;100.0;3;96.74
2023-12-18 20:44:54;LINKUSDT;1h;2.0;50;38;68;100.0;5;96.92
2023-12-18 20:44:54;LINKUSDT;1h;1.0;150;46;68;100.0;4;97.8
2023-12-18 20:44:54;LINKUSDT;1h;1.0;150;44;68;100.0;4;97.95
2023-12-18 20:44:54;LINKUSDT;1h;1.0;150;48;68;100.0;3;97.99
2023-12-18 20:44:54;LINKUSDT;1h;1.0;125;40;68;100.0;6;98.04
2023-12-18 20:44:54;LINKUSDT;1h;1.5;50;38;68;100.0;2;98.04
2023-12-18 20:44:54;LINKUSDT;1h;1.5;100;48;68;100.0;2;98.1
2023-12-18 20:44:54;LINKUSDT;1h;1.5;50;46;68;100.0;2;98.14
2023-12-18 20:44:54;LINKUSDT;1h;1.0;125;50;68;100.0;4;98.19
2023-12-18 20:44:54;LINKUSDT;1h;1.5;250;36;68;100.0;2;98.37
2023-12-18 20:44:54;LINKUSDT;1h;1.5;75;38;68;100.0;2;98.39
2023-12-18 20:44:54;LINKUSDT;1h;1.0;150;44;68;100.0;6;98.42
2023-12-18 20:44:54;LINKUSDT;1h;2.0;125;34;68;100.0;3;98.48
2023-12-18 20:44:54;LINKUSDT;1h;1.0;150;38;68;100.0;7;98.53
2023-12-18 20:44:54;LINKUSDT;1h;2.5;175;36;68;100.0;2;98.57
2023-12-18 20:44:54;LINKUSDT;1h;1.5;50;38;68;100.0;5;98.61
2023-12-18 20:44:54;LINKUSDT;1h;1.5;75;38;68;100.0;5;98.96
2023-12-18 20:44:54;LINKUSDT;1h;1.0;150;36;68;100.0;3;99.03
2023-12-18 20:44:54;LINKUSDT;1h;1.5;150;44;68;100.0;2;99.07
2023-12-18 20:44:54;LINKUSDT;1h;1.0;150;42;68;100.0;3;99.14
2023-12-18 20:44:54;LINKUSDT;1h;1.0;150;40;68;100.0;7;99.14
2023-12-18 20:44:54;LINKUSDT;1h;1.0;150;40;68;100.0;3;99.23
2023-12-18 20:44:54;LINKUSDT;1h;1.0;150;52;68;100.0;4;99.34
2023-12-18 20:44:54;LINKUSDT;1h;1.0;100;52;68;100.0;3;99.37
2023-12-18 20:44:54;LINKUSDT;1h;1.5;125;44;68;100.0;2;99.53
2023-12-18 20:44:54;LINKUSDT;1h;1.0;125;36;68;100.0;6;99.74
2023-12-18 20:44:54;LINKUSDT;1h;1.5;100;50;68;100.0;2;99.87
2023-12-18 20:44:54;LINKUSDT;1h;1.0;100;54;68;100.0;3;99.92
2023-12-18 20:44:54;LINKUSDT;1h;2.0;100;36;68;100.0;3;100.06
2023-12-18 20:44:54;LINKUSDT;1h;1.5;75;46;68;100.0;5;100.24
2023-12-18 20:44:54;LINKUSDT;1h;1.0;150;50;68;100.0;6;100.36
2023-12-18 20:44:54;LINKUSDT;1h;1.0;150;44;68;100.0;2;100.37
2023-12-18 20:44:54;LINKUSDT;1h;1.0;150;42;68;100.0;6;100.4
2023-12-18 20:44:54;LINKUSDT;1h;1.5;150;38;68;100.0;4;100.47
2023-12-18 20:44:54;LINKUSDT;1h;1.0;150;54;68;100.0;4;100.53
2023-12-18 20:44:54;LINKUSDT;1h;1.0;150;50;68;100.0;3;100.63
2023-12-18 20:44:54;LINKUSDT;1h;1.0;150;44;68;100.0;3;100.69
