date;symbol;interval;target_margin;p_ema;min_rsi;max_rsi;amount_invested;stop_loss_multiplier;pnl
2024-01-10 00:33:35;LINKUSDT;1m;1.0;200;30;68;100.0;7;70.9
2024-01-10 00:33:35;LINKUSDT;1m;1.0;225;30;68;100.0;7;70.9
2024-01-10 00:33:35;LINKUSDT;1m;1.0;250;30;68;100.0;7;71.14
2024-01-10 00:33:35;LINKUSDT;1m;1.0;50;40;68;100.0;1;71.59
2024-01-10 00:33:35;LINKUSDT;1m;1.0;75;40;68;100.0;1;71.69
2024-01-10 00:33:35;LINKUSDT;1m;3.0;50;28;68;100.0;2;71.76
2024-01-10 00:33:35;LINKUSDT;1m;3.0;75;28;68;100.0;2;71.76
2024-01-10 00:33:35;LINKUSDT;1m;3.0;100;28;68;100.0;2;71.76
2024-01-10 00:33:35;LINKUSDT;1m;1.0;175;30;68;100.0;7;71.9
2024-01-10 00:33:35;LINKUSDT;1m;2.0;250;30;68;100.0;1;72.0
2024-01-10 00:33:35;LINKUSDT;1m;1.0;50;30;68;100.0;7;72.16
2024-01-10 00:33:35;LINKUSDT;1m;1.0;75;30;68;100.0;7;72.16
2024-01-10 00:33:35;LINKUSDT;1m;1.0;100;30;68;100.0;7;72.16
2024-01-10 00:33:35;LINKUSDT;1m;1.0;125;30;68;100.0;7;72.16
2024-01-10 00:33:35;LINKUSDT;1m;1.0;150;30;68;100.0;7;72.66
2024-01-10 00:33:35;LINKUSDT;1m;1.0;100;40;68;100.0;1;72.69
2024-01-10 00:33:35;LINKUSDT;1m;1.0;225;40;68;100.0;1;72.75
2024-01-10 00:33:35;LINKUSDT;1m;1.0;100;34;68;100.0;7;72.78
2024-01-10 00:33:35;LINKUSDT;1m;2.5;200;34;68;100.0;1;72.85
2024-01-10 00:33:35;LINKUSDT;1m;1.0;100;36;68;100.0;7;73.05
2024-01-10 00:33:35;LINKUSDT;1m;1.0;225;34;68;100.0;7;73.07
2024-01-10 00:33:35;LINKUSDT;1m;1.0;250;40;68;100.0;1;73.17
2024-01-10 00:33:35;LINKUSDT;1m;2.0;200;30;68;100.0;1;73.21
2024-01-10 00:33:35;LINKUSDT;1m;2.0;225;30;68;100.0;1;73.44
2024-01-10 00:33:35;LINKUSDT;1m;1.0;175;36;68;100.0;7;73.45
2024-01-10 00:33:35;LINKUSDT;1m;1.0;250;34;68;100.0;7;73.46
2024-01-10 00:33:35;LINKUSDT;1m;1.0;175;28;68;100.0;7;73.48
2024-01-10 00:33:35;LINKUSDT;1m;1.0;50;34;68;100.0;7;73.54
2024-01-10 00:33:35;LINKUSDT;1m;1.0;75;34;68;100.0;7;73.54
2024-01-10 00:33:35;LINKUSDT;1m;1.0;200;40;68;100.0;1;73.61
2024-01-10 00:33:35;LINKUSDT;1m;1.5;100;34;68;100.0;5;73.73
2024-01-10 00:33:35;LINKUSDT;1m;1.5;50;34;68;100.0;5;73.75
2024-01-10 00:33:35;LINKUSDT;1m;1.5;75;34;68;100.0;5;73.75
2024-01-10 00:33:35;LINKUSDT;1m;1.5;100;36;68;100.0;5;73.77
2024-01-10 00:33:35;LINKUSDT;1m;1.0;200;36;68;100.0;7;73.87
2024-01-10 00:33:35;LINKUSDT;1m;1.0;125;34;68;100.0;7;73.9
2024-01-10 00:33:35;LINKUSDT;1m;1.0;150;36;68;100.0;7;73.93
2024-01-10 00:33:35;LINKUSDT;1m;1.0;100;38;68;100.0;7;73.94
2024-01-10 00:33:35;LINKUSDT;1m;1.0;225;28;68;100.0;7;73.96
2024-01-10 00:33:35;LINKUSDT;1m;1.0;200;28;68;100.0;7;74.0
2024-01-10 00:33:35;LINKUSDT;1m;1.0;225;32;68;100.0;7;74.01
2024-01-10 00:33:35;LINKUSDT;1m;1.0;250;28;68;100.0;7;74.01
2024-01-10 00:33:35;LINKUSDT;1m;1.0;225;36;68;100.0;7;74.03
2024-01-10 00:33:35;LINKUSDT;1m;1.5;100;36;68;100.0;1;74.21
2024-01-10 00:33:35;LINKUSDT;1m;1.0;50;28;68;100.0;7;74.25
