date;symbol;interval;target_margin;p_ema;min_rsi;max_rsi;amount_invested;stop_loss_multiplier;pnl
2024-01-02 07:19:32;LTCUSDT;15m;1.0;50;28;68;100.0;1;104.48
2024-01-02 07:19:32;LTCUSDT;15m;1.0;75;28;68;100.0;1;104.48
2024-01-02 07:19:32;LTCUSDT;15m;1.0;100;28;68;100.0;1;104.48
2024-01-02 07:19:32;LTCUSDT;15m;1.0;125;28;68;100.0;1;104.48
2024-01-02 07:19:32;LTCUSDT;15m;1.0;150;28;68;100.0;1;104.48
2024-01-02 07:19:32;LTCUSDT;15m;1.0;175;28;68;100.0;1;104.48
2024-01-02 07:19:32;LTCUSDT;15m;1.0;200;28;68;100.0;1;104.48
2024-01-02 07:19:32;LTCUSDT;15m;1.0;225;28;68;100.0;1;104.48
2024-01-02 07:19:32;LTCUSDT;15m;1.0;250;28;68;100.0;1;104.48
2024-01-02 07:19:32;LTCUSDT;15m;4.5;100;60;68;100.0;1;104.62
2024-01-02 07:19:32;LTCUSDT;15m;4.5;100;58;68;100.0;1;104.62
2024-01-02 07:19:32;LTCUSDT;15m;4.5;100;56;68;100.0;1;104.62
2024-01-02 07:19:32;LTCUSDT;15m;4.5;100;54;68;100.0;1;104.62
2024-01-02 07:19:32;LTCUSDT;15m;4.5;100;52;68;100.0;1;104.62
2024-01-02 07:19:32;LTCUSDT;15m;4.5;100;50;68;100.0;1;104.62
2024-01-02 07:19:32;LTCUSDT;15m;4.5;100;48;68;100.0;1;104.62
2024-01-02 07:19:32;LTCUSDT;15m;4.5;100;46;68;100.0;1;104.62
2024-01-02 07:19:32;LTCUSDT;15m;1.0;75;38;68;100.0;1;104.94
2024-01-02 07:19:32;LTCUSDT;15m;1.0;50;38;68;100.0;1;105.31
2024-01-02 07:19:32;LTCUSDT;15m;1.0;250;38;68;100.0;1;105.48
2024-01-02 07:19:32;LTCUSDT;15m;1.0;250;32;68;100.0;7;105.93
2024-01-02 07:19:32;LTCUSDT;15m;1.0;250;32;68;100.0;6;105.93
2024-01-02 07:19:32;LTCUSDT;15m;1.0;250;32;68;100.0;5;105.93
2024-01-02 07:19:32;LTCUSDT;15m;1.0;250;32;68;100.0;4;105.93
2024-01-02 07:19:32;LTCUSDT;15m;3.0;75;40;68;100.0;1;106.25
2024-01-02 07:19:32;LTCUSDT;15m;3.0;75;38;68;100.0;1;106.25
2024-01-02 07:19:32;LTCUSDT;15m;2.5;250;30;68;100.0;1;106.33
2024-01-02 07:19:32;LTCUSDT;15m;1.5;50;28;68;100.0;1;106.42
2024-01-02 07:19:32;LTCUSDT;15m;1.5;75;28;68;100.0;1;106.42
2024-01-02 07:19:32;LTCUSDT;15m;1.5;100;28;68;100.0;1;106.42
2024-01-02 07:19:32;LTCUSDT;15m;1.5;125;28;68;100.0;1;106.42
2024-01-02 07:19:32;LTCUSDT;15m;1.5;150;28;68;100.0;1;106.42
2024-01-02 07:19:32;LTCUSDT;15m;1.5;175;28;68;100.0;1;106.42
2024-01-02 07:19:32;LTCUSDT;15m;1.5;200;28;68;100.0;1;106.42
2024-01-02 07:19:32;LTCUSDT;15m;1.5;225;28;68;100.0;1;106.42
2024-01-02 07:19:32;LTCUSDT;15m;1.5;250;28;68;100.0;1;106.42
2024-01-02 07:19:32;LTCUSDT;15m;3.0;50;40;68;100.0;1;106.5
2024-01-02 07:19:32;LTCUSDT;15m;3.0;50;38;68;100.0;1;106.5
2024-01-02 07:19:32;LTCUSDT;15m;1.5;250;32;68;100.0;1;106.5
2024-01-02 07:19:32;LTCUSDT;15m;1.0;75;40;68;100.0;1;106.51
2024-01-02 07:19:32;LTCUSDT;15m;1.5;250;30;68;100.0;1;106.54
2024-01-02 07:19:32;LTCUSDT;15m;3.0;50;36;68;100.0;1;106.59
2024-01-02 07:19:32;LTCUSDT;15m;3.0;75;36;68;100.0;1;106.59
2024-01-02 07:19:32;LTCUSDT;15m;1.0;200;38;68;100.0;1;106.61
2024-01-02 07:19:32;LTCUSDT;15m;1.0;225;38;68;100.0;1;106.61
2024-01-02 07:19:32;LTCUSDT;15m;3.0;250;30;68;100.0;7;106.61
2024-01-02 07:19:32;LTCUSDT;15m;3.0;250;30;68;100.0;6;106.61
2024-01-02 07:19:32;LTCUSDT;15m;3.0;250;30;68;100.0;5;106.61
2024-01-02 07:19:32;LTCUSDT;15m;3.0;250;30;68;100.0;4;106.61
2024-01-02 07:19:32;LTCUSDT;15m;3.0;250;30;68;100.0;3;106.61
2024-01-02 07:19:32;LTCUSDT;15m;3.0;250;30;68;100.0;2;106.61
2024-01-02 07:19:32;LTCUSDT;15m;3.0;250;30;68;100.0;1;106.61
2024-01-02 07:19:32;LTCUSDT;15m;1.0;50;46;68;100.0;1;106.75
2024-01-02 07:19:32;LTCUSDT;15m;3.0;50;28;68;100.0;7;106.84
2024-01-02 07:19:32;LTCUSDT;15m;3.0;75;28;68;100.0;7;106.84
2024-01-02 07:19:32;LTCUSDT;15m;3.0;100;28;68;100.0;7;106.84
2024-01-02 07:19:32;LTCUSDT;15m;3.0;125;28;68;100.0;7;106.84
2024-01-02 07:19:32;LTCUSDT;15m;3.0;150;28;68;100.0;7;106.84
2024-01-02 07:19:32;LTCUSDT;15m;3.0;175;28;68;100.0;7;106.84
2024-01-02 07:19:32;LTCUSDT;15m;3.0;200;28;68;100.0;7;106.84
2024-01-02 07:19:32;LTCUSDT;15m;3.0;225;28;68;100.0;7;106.84
2024-01-02 07:19:32;LTCUSDT;15m;3.0;250;28;68;100.0;7;106.84
2024-01-02 07:19:32;LTCUSDT;15m;3.0;50;28;68;100.0;6;106.84
2024-01-02 07:19:32;LTCUSDT;15m;3.0;75;28;68;100.0;6;106.84
