date;symbol;interval;target_margin;p_ema;min_rsi;max_rsi;amount_invested;stop_loss_multiplier;pnl
2024-01-10 00:27:43;MATICUSDT;15m;2.0;50;40;68;100.0;1;73.24
2024-01-10 00:27:43;MATICUSDT;15m;2.0;75;40;68;100.0;1;73.24
2024-01-10 00:27:43;MATICUSDT;15m;4.5;50;60;68;100.0;1;73.6
2024-01-10 00:27:43;MATICUSDT;15m;4.5;50;58;68;100.0;1;73.6
2024-01-10 00:27:43;MATICUSDT;15m;4.5;50;56;68;100.0;1;73.6
2024-01-10 00:27:43;MATICUSDT;15m;4.5;50;54;68;100.0;1;73.6
2024-01-10 00:27:43;MATICUSDT;15m;4.5;50;52;68;100.0;1;73.6
2024-01-10 00:27:43;MATICUSDT;15m;4.5;50;50;68;100.0;1;73.6
2024-01-10 00:27:43;MATICUSDT;15m;4.5;50;48;68;100.0;1;73.6
2024-01-10 00:27:43;MATICUSDT;15m;4.5;50;46;68;100.0;1;73.6
2024-01-10 00:27:43;MATICUSDT;15m;4.5;50;44;68;100.0;1;74.12
2024-01-10 00:27:43;MATICUSDT;15m;4.5;50;42;68;100.0;1;74.25
2024-01-10 00:27:43;MATICUSDT;15m;2.0;175;40;68;100.0;7;74.4
2024-01-10 00:27:43;MATICUSDT;15m;2.0;175;38;68;100.0;7;74.4
2024-01-10 00:27:43;MATICUSDT;15m;2.0;125;40;68;100.0;1;74.91
2024-01-10 00:27:43;MATICUSDT;15m;2.0;150;40;68;100.0;1;75.19
2024-01-10 00:27:43;MATICUSDT;15m;2.0;100;40;68;100.0;1;75.23
2024-01-10 00:27:43;MATICUSDT;15m;2.0;100;40;68;100.0;7;75.27
2024-01-10 00:27:43;MATICUSDT;15m;2.0;125;40;68;100.0;7;75.27
2024-01-10 00:27:43;MATICUSDT;15m;2.0;75;44;68;100.0;1;75.31
2024-01-10 00:27:43;MATICUSDT;15m;4.0;75;60;68;100.0;1;75.38
2024-01-10 00:27:43;MATICUSDT;15m;4.0;75;58;68;100.0;1;75.38
2024-01-10 00:27:43;MATICUSDT;15m;4.0;75;56;68;100.0;1;75.38
2024-01-10 00:27:43;MATICUSDT;15m;4.0;75;54;68;100.0;1;75.38
2024-01-10 00:27:43;MATICUSDT;15m;4.0;75;52;68;100.0;1;75.38
2024-01-10 00:27:43;MATICUSDT;15m;4.0;75;50;68;100.0;1;75.38
2024-01-10 00:27:43;MATICUSDT;15m;4.0;75;48;68;100.0;1;75.38
2024-01-10 00:27:43;MATICUSDT;15m;4.0;75;46;68;100.0;1;75.38
2024-01-10 00:27:43;MATICUSDT;15m;4.0;75;44;68;100.0;1;75.38
2024-01-10 00:27:43;MATICUSDT;15m;2.0;150;40;68;100.0;7;75.55
2024-01-10 00:27:43;MATICUSDT;15m;4.0;75;42;68;100.0;1;75.7
2024-01-10 00:27:43;MATICUSDT;15m;3.0;50;40;68;100.0;1;75.72
2024-01-10 00:27:43;MATICUSDT;15m;3.0;75;40;68;100.0;1;75.72
2024-01-10 00:27:43;MATICUSDT;15m;2.0;50;44;68;100.0;1;75.77
2024-01-10 00:27:43;MATICUSDT;15m;2.0;150;38;68;100.0;7;76.0
2024-01-10 00:27:43;MATICUSDT;15m;2.0;50;40;68;100.0;7;76.04
