date;symbol;interval;target_margin;p_ema;min_rsi;max_rsi;amount_invested;stop_loss_multiplier;pnl
2024-01-02 07:18:33;MATICUSDT;1h;1.0;200;44;68;100.0;1;101.42
2024-01-02 07:18:33;MATICUSDT;1h;1.0;225;44;68;100.0;1;101.42
2024-01-02 07:18:33;MATICUSDT;1h;1.0;250;44;68;100.0;1;101.42
2024-01-02 07:18:33;MATICUSDT;1h;1.0;200;40;68;100.0;1;101.44
2024-01-02 07:18:33;MATICUSDT;1h;1.0;225;40;68;100.0;1;101.44
2024-01-02 07:18:33;MATICUSDT;1h;1.0;250;40;68;100.0;1;101.44
2024-01-02 07:18:33;MATICUSDT;1h;1.0;200;46;68;100.0;1;101.57
2024-01-02 07:18:33;MATICUSDT;1h;1.0;225;46;68;100.0;1;101.57
2024-01-02 07:18:33;MATICUSDT;1h;1.0;250;46;68;100.0;1;101.57
2024-01-02 07:18:33;MATICUSDT;1h;2.5;200;40;68;100.0;1;101.6
2024-01-02 07:18:33;MATICUSDT;1h;2.5;225;40;68;100.0;1;101.6
2024-01-02 07:18:33;MATICUSDT;1h;2.5;250;40;68;100.0;1;101.6
2024-01-02 07:18:33;MATICUSDT;1h;1.0;50;32;68;100.0;1;101.64
2024-01-02 07:18:33;MATICUSDT;1h;1.5;50;32;68;100.0;1;101.64
2024-01-02 07:18:33;MATICUSDT;1h;1.0;75;32;68;100.0;1;101.64
2024-01-02 07:18:33;MATICUSDT;1h;1.5;75;32;68;100.0;1;101.64
2024-01-02 07:18:33;MATICUSDT;1h;1.0;100;32;68;100.0;1;101.64
2024-01-02 07:18:33;MATICUSDT;1h;1.5;100;32;68;100.0;1;101.64
2024-01-02 07:18:33;MATICUSDT;1h;1.0;125;32;68;100.0;1;101.64
2024-01-02 07:18:33;MATICUSDT;1h;1.5;125;32;68;100.0;1;101.64
2024-01-02 07:18:33;MATICUSDT;1h;1.0;150;32;68;100.0;1;101.64
2024-01-02 07:18:33;MATICUSDT;1h;1.5;150;32;68;100.0;1;101.64
2024-01-02 07:18:33;MATICUSDT;1h;1.0;175;32;68;100.0;1;101.64
2024-01-02 07:18:33;MATICUSDT;1h;1.5;175;32;68;100.0;1;101.64
2024-01-02 07:18:33;MATICUSDT;1h;1.0;200;32;68;100.0;1;101.64
2024-01-02 07:18:33;MATICUSDT;1h;1.5;200;32;68;100.0;1;101.64
2024-01-02 07:18:33;MATICUSDT;1h;1.0;225;32;68;100.0;1;101.64
2024-01-02 07:18:33;MATICUSDT;1h;1.5;225;32;68;100.0;1;101.64
2024-01-02 07:18:33;MATICUSDT;1h;1.0;250;32;68;100.0;1;101.64
2024-01-02 07:18:33;MATICUSDT;1h;1.5;250;32;68;100.0;1;101.64
2024-01-02 07:18:33;MATICUSDT;1h;1.0;200;42;68;100.0;1;102.05
2024-01-02 07:18:33;MATICUSDT;1h;1.0;225;42;68;100.0;1;102.05
