date;symbol;interval;target_margin;p_ema;min_rsi;max_rsi;amount_invested;stop_loss_multiplier;pnl
2023-12-20 23:42:59;SOLUSDT;15m;1.0;75;40;68;100.0;3;104.52
2023-12-20 23:42:59;SOLUSDT;15m;1.0;100;40;68;100.0;3;110.13
2023-12-20 23:42:59;SOLUSDT;15m;1.0;50;40;68;100.0;3;110.83
2023-12-20 23:42:59;SOLUSDT;15m;1.0;75;44;68;100.0;3;111.52
2023-12-20 23:42:59;SOLUSDT;15m;1.5;75;50;68;100.0;2;116.87
2023-12-20 23:42:59;SOLUSDT;15m;1.0;75;42;68;100.0;3;117.06
2023-12-20 23:42:59;SOLUSDT;15m;1.0;50;28;68;100.0;2;117.6
2023-12-20 23:42:59;SOLUSDT;15m;1.0;75;28;68;100.0;2;117.6
2023-12-20 23:42:59;SOLUSDT;15m;1.0;100;28;68;100.0;2;117.6
2023-12-20 23:42:59;SOLUSDT;15m;1.0;125;28;68;100.0;2;117.6
2023-12-20 23:42:59;SOLUSDT;15m;1.0;150;28;68;100.0;2;117.6
2023-12-20 23:42:59;SOLUSDT;15m;1.0;125;40;68;100.0;3;117.79
2023-12-20 23:42:59;SOLUSDT;15m;1.5;75;46;68;100.0;2;119.63
2023-12-20 23:42:59;SOLUSDT;15m;1.5;75;60;68;100.0;2;120.55
2023-12-20 23:42:59;SOLUSDT;15m;1.5;75;58;68;100.0;2;120.55
2023-12-20 23:42:59;SOLUSDT;15m;1.0;75;46;68;100.0;3;120.78
2023-12-20 23:42:59;SOLUSDT;15m;1.0;250;28;68;100.0;2;121.04
2023-12-20 23:42:59;SOLUSDT;15m;1.0;75;58;68;100.0;3;122.97
2023-12-20 23:42:59;SOLUSDT;15m;1.0;50;28;68;100.0;5;123.25
2023-12-20 23:42:59;SOLUSDT;15m;1.0;75;28;68;100.0;5;123.25
2023-12-20 23:42:59;SOLUSDT;15m;1.0;100;28;68;100.0;5;123.25
2023-12-20 23:42:59;SOLUSDT;15m;1.0;125;28;68;100.0;5;123.25
2023-12-20 23:42:59;SOLUSDT;15m;1.0;150;28;68;100.0;5;123.25
2023-12-20 23:42:59;SOLUSDT;15m;1.0;175;28;68;100.0;2;123.25
2023-12-20 23:42:59;SOLUSDT;15m;1.0;200;28;68;100.0;2;123.25
2023-12-20 23:42:59;SOLUSDT;15m;1.0;225;28;68;100.0;2;123.25
2023-12-20 23:42:59;SOLUSDT;15m;1.0;75;54;68;100.0;3;123.33
2023-12-20 23:42:59;SOLUSDT;15m;1.0;50;28;68;100.0;3;123.43
2023-12-20 23:42:59;SOLUSDT;15m;1.0;75;28;68;100.0;3;123.43
2023-12-20 23:42:59;SOLUSDT;15m;1.0;100;28;68;100.0;3;123.43
2023-12-20 23:42:59;SOLUSDT;15m;1.0;125;28;68;100.0;3;123.43
2023-12-20 23:42:59;SOLUSDT;15m;1.0;150;28;68;100.0;3;123.43
2023-12-20 23:42:59;SOLUSDT;15m;1.5;75;48;68;100.0;2;124.29
