date;symbol;interval;target_margin;p_ema;min_rsi;max_rsi;amount_invested;stop_loss_multiplier;pnl
2024-01-02 21:01:39;SOLUSDT;1h;1.5;50;52;68;100.0;1;94.1
2024-01-02 21:01:39;SOLUSDT;1h;1.5;50;52;68;100.0;3;95.45
2024-01-02 21:01:39;SOLUSDT;1h;2.5;50;52;68;100.0;2;95.75
2024-01-02 21:01:39;SOLUSDT;1h;2.0;50;52;68;100.0;2;95.91
2024-01-02 21:01:39;SOLUSDT;1h;1.5;75;52;68;100.0;1;96.36
2024-01-02 21:01:39;SOLUSDT;1h;2.0;50;52;68;100.0;1;96.86
2024-01-02 21:01:39;SOLUSDT;1h;1.5;50;54;68;100.0;1;97.06
2024-01-02 21:01:39;SOLUSDT;1h;1.5;150;60;68;100.0;1;97.19
2024-01-02 21:01:39;SOLUSDT;1h;1.5;150;58;68;100.0;1;97.19
2024-01-02 21:01:39;SOLUSDT;1h;1.5;75;54;68;100.0;1;97.45
2024-01-02 21:01:39;SOLUSDT;1h;2.5;50;50;68;100.0;2;97.81
2024-01-02 21:01:39;SOLUSDT;1h;1.5;50;54;68;100.0;3;98.46
2024-01-02 21:01:39;SOLUSDT;1h;2.0;50;50;68;100.0;2;98.46
2024-01-02 21:01:39;SOLUSDT;1h;1.5;150;56;68;100.0;1;98.76
2024-01-02 21:01:39;SOLUSDT;1h;1.5;150;54;68;100.0;1;98.76
2024-01-02 21:01:39;SOLUSDT;1h;2.5;50;54;68;100.0;2;98.77
2024-01-02 21:01:39;SOLUSDT;1h;5.0;50;52;68;100.0;1;98.84
2024-01-02 21:01:39;SOLUSDT;1h;1.5;75;60;68;100.0;1;98.89
2024-01-02 21:01:39;SOLUSDT;1h;1.5;75;58;68;100.0;1;98.89
2024-01-02 21:01:39;SOLUSDT;1h;2.0;50;54;68;100.0;2;98.93
2024-01-02 21:01:39;SOLUSDT;1h;1.0;200;36;68;100.0;2;98.94
2024-01-02 21:01:39;SOLUSDT;1h;2.0;50;48;68;100.0;2;99.33
2024-01-02 21:01:39;SOLUSDT;1h;2.0;50;52;68;100.0;3;99.34
2024-01-02 21:01:39;SOLUSDT;1h;4.5;75;52;68;100.0;1;99.45
2024-01-02 21:01:39;SOLUSDT;1h;1.0;200;36;68;100.0;1;99.53
2024-01-02 21:01:39;SOLUSDT;1h;1.0;125;34;68;100.0;1;99.53
2024-01-02 21:01:39;SOLUSDT;1h;1.0;150;34;68;100.0;1;99.53
2024-01-02 21:01:39;SOLUSDT;1h;1.0;175;34;68;100.0;1;99.53
2024-01-02 21:01:39;SOLUSDT;1h;1.0;200;34;68;100.0;1;99.53
2024-01-02 21:01:39;SOLUSDT;1h;5.0;75;52;68;100.0;1;99.57
2024-01-02 21:01:39;SOLUSDT;1h;1.0;125;34;68;100.0;2;99.66
2024-01-02 21:01:39;SOLUSDT;1h;1.0;150;34;68;100.0;2;99.66
2024-01-02 21:01:39;SOLUSDT;1h;1.0;175;34;68;100.0;2;99.66
2024-01-02 21:01:39;SOLUSDT;1h;1.0;200;34;68;100.0;2;99.66
2024-01-02 21:01:39;SOLUSDT;1h;2.0;50;44;68;100.0;3;99.72
2024-01-02 21:01:39;SOLUSDT;1h;1.0;50;52;68;100.0;1;99.77
2024-01-02 21:01:39;SOLUSDT;1h;1.0;50;48;68;100.0;1;99.83
2024-01-02 21:01:39;SOLUSDT;1h;2.0;50;54;68;100.0;1;99.91
2024-01-02 21:01:39;SOLUSDT;1h;3.0;50;44;68;100.0;2;99.94
2024-01-02 21:01:39;SOLUSDT;1h;2.5;125;36;68;100.0;1;99.96
2024-01-02 21:01:39;SOLUSDT;1h;3.0;125;36;68;100.0;1;99.96
2024-01-02 21:01:39;SOLUSDT;1h;3.5;125;36;68;100.0;1;99.96
2024-01-02 21:01:39;SOLUSDT;1h;2.5;150;36;68;100.0;1;99.96
2024-01-02 21:01:39;SOLUSDT;1h;3.0;150;36;68;100.0;1;99.96
2024-01-02 21:01:39;SOLUSDT;1h;3.5;150;36;68;100.0;1;99.96
2024-01-02 21:01:39;SOLUSDT;1h;2.5;175;36;68;100.0;1;99.96
2024-01-02 21:01:39;SOLUSDT;1h;3.0;175;36;68;100.0;1;99.96
2024-01-02 21:01:39;SOLUSDT;1h;3.5;175;36;68;100.0;1;99.96
2024-01-02 21:01:39;SOLUSDT;1h;1.0;50;28;68;100.0;7;100.0
2024-01-02 21:01:39;SOLUSDT;1h;1.5;50;28;68;100.0;7;100.0
