date;symbol;interval;target_margin;p_ema;min_rsi;max_rsi;amount_invested;stop_loss_multiplier;pnl
2023-12-18 20:50:13;TRBUSDT;15m;2.0;225;30;68;100.0;2;94.57
2023-12-18 20:50:13;TRBUSDT;15m;2.0;250;30;68;100.0;2;94.57
2023-12-18 20:50:13;TRBUSDT;15m;1.5;225;28;68;100.0;4;94.75
2023-12-18 20:50:13;TRBUSDT;15m;1.5;250;28;68;100.0;4;94.75
2023-12-18 20:50:13;TRBUSDT;15m;2.0;225;28;68;100.0;3;96.22
2023-12-18 20:50:13;TRBUSDT;15m;2.0;250;28;68;100.0;3;96.22
2023-12-18 20:50:13;TRBUSDT;15m;1.0;250;58;68;100.0;2;96.51
2023-12-18 20:50:13;TRBUSDT;15m;1.5;200;28;68;100.0;4;96.51
2023-12-18 20:50:13;TRBUSDT;15m;2.0;200;30;68;100.0;2;96.76
2023-12-18 20:50:13;TRBUSDT;15m;1.5;225;60;68;100.0;5;97.09
2023-12-18 20:50:13;TRBUSDT;15m;1.5;250;56;68;100.0;4;97.81
2023-12-18 20:50:13;TRBUSDT;15m;2.0;200;28;68;100.0;3;98.45
2023-12-18 20:50:13;TRBUSDT;15m;1.0;250;34;68;100.0;6;99.24
2023-12-18 20:50:13;TRBUSDT;15m;1.0;250;60;68;100.0;2;99.5
2023-12-18 20:50:13;TRBUSDT;15m;3.0;250;56;68;100.0;2;100.24
2023-12-18 20:50:13;TRBUSDT;15m;2.0;175;30;68;100.0;2;100.43
2023-12-18 20:50:13;TRBUSDT;15m;1.0;225;30;68;100.0;2;100.45
2023-12-18 20:50:13;TRBUSDT;15m;3.0;250;58;68;100.0;2;100.93
2023-12-18 20:50:13;TRBUSDT;15m;1.0;250;30;68;100.0;2;101.19
2023-12-18 20:50:13;TRBUSDT;15m;3.0;250;58;68;100.0;3;101.36
2023-12-18 20:50:13;TRBUSDT;15m;1.5;225;30;68;100.0;4;101.57
2023-12-18 20:50:13;TRBUSDT;15m;1.5;250;30;68;100.0;4;101.57
2023-12-18 20:50:13;TRBUSDT;15m;1.5;250;60;68;100.0;5;101.62
2023-12-18 20:50:13;TRBUSDT;15m;1.0;250;56;68;100.0;2;101.77
2023-12-18 20:50:13;TRBUSDT;15m;1.0;200;30;68;100.0;2;101.81
2023-12-18 20:50:13;TRBUSDT;15m;4.0;250;60;68;100.0;2;102.01
2023-12-18 20:50:13;TRBUSDT;15m;1.0;225;58;68;100.0;2;102.17
2023-12-18 20:50:13;TRBUSDT;15m;2.0;250;58;68;100.0;3;102.21
2023-12-18 20:50:13;TRBUSDT;15m;4.5;250;60;68;100.0;2;102.28
2023-12-18 20:50:13;TRBUSDT;15m;4.5;250;58;68;100.0;2;102.28
2023-12-18 20:50:13;TRBUSDT;15m;1.5;225;30;68;100.0;3;102.75
2023-12-18 20:50:13;TRBUSDT;15m;1.5;250;30;68;100.0;3;102.75
2023-12-18 20:50:13;TRBUSDT;15m;4.0;250;58;68;100.0;2;102.78
2023-12-18 20:50:13;TRBUSDT;15m;3.0;250;60;68;100.0;3;103.13
2023-12-18 20:50:13;TRBUSDT;15m;1.5;150;28;68;100.0;4;103.17
2023-12-18 20:50:13;TRBUSDT;15m;1.5;175;28;68;100.0;4;103.17
2023-12-18 20:50:13;TRBUSDT;15m;3.0;250;56;68;100.0;3;103.41
2023-12-18 20:50:13;TRBUSDT;15m;1.5;225;58;68;100.0;5;103.42
2023-12-18 20:50:13;TRBUSDT;15m;1.5;200;30;68;100.0;4;103.46
2023-12-18 20:50:13;TRBUSDT;15m;2.0;250;44;68;100.0;3;103.71
2023-12-18 20:50:13;TRBUSDT;15m;4.5;250;34;68;100.0;2;103.88
2023-12-18 20:50:13;TRBUSDT;15m;2.0;250;56;68;100.0;3;103.92
2023-12-18 20:50:13;TRBUSDT;15m;2.0;175;30;68;100.0;6;103.93
2023-12-18 20:50:13;TRBUSDT;15m;1.5;225;56;68;100.0;5;103.95
2023-12-18 20:50:13;TRBUSDT;15m;1.0;225;28;68;100.0;6;104.02
2023-12-18 20:50:13;TRBUSDT;15m;1.0;250;28;68;100.0;6;104.02
2023-12-18 20:50:13;TRBUSDT;15m;1.0;175;30;68;100.0;2;104.14
2023-12-18 20:50:13;TRBUSDT;15m;1.5;250;32;68;100.0;4;104.17
2023-12-18 20:50:13;TRBUSDT;15m;3.0;250;54;68;100.0;3;104.34
2023-12-18 20:50:13;TRBUSDT;15m;4.5;250;56;68;100.0;2;104.62
2023-12-18 20:50:13;TRBUSDT;15m;4.0;225;60;68;100.0;2;104.64
2023-12-18 20:50:13;TRBUSDT;15m;2.0;150;30;68;100.0;2;104.66
2023-12-18 20:50:13;TRBUSDT;15m;1.5;200;30;68;100.0;3;104.67
2023-12-18 20:50:13;TRBUSDT;15m;3.5;225;30;68;100.0;5;104.72
2023-12-18 20:50:13;TRBUSDT;15m;3.5;250;30;68;100.0;5;104.72
2023-12-18 20:50:13;TRBUSDT;15m;1.5;50;28;68;100.0;4;104.73
2023-12-18 20:50:13;TRBUSDT;15m;1.5;75;28;68;100.0;4;104.73
2023-12-18 20:50:13;TRBUSDT;15m;1.5;100;28;68;100.0;4;104.73
2023-12-18 20:50:13;TRBUSDT;15m;2.0;250;60;68;100.0;3;104.86
2023-12-18 20:50:13;TRBUSDT;15m;2.5;250;58;68;100.0;3;105.03
2023-12-18 20:50:13;TRBUSDT;15m;1.5;225;56;68;100.0;4;105.05
2023-12-18 20:50:13;TRBUSDT;15m;1.0;225;34;68;100.0;6;105.19
2023-12-18 20:50:13;TRBUSDT;15m;2.0;150;28;68;100.0;3;105.24
2023-12-18 20:50:13;TRBUSDT;15m;2.0;175;28;68;100.0;3;105.24
2023-12-18 20:50:13;TRBUSDT;15m;1.0;225;60;68;100.0;2;105.42
2023-12-18 20:50:13;TRBUSDT;15m;4.0;225;58;68;100.0;2;105.43
2023-12-18 20:50:13;TRBUSDT;15m;1.0;200;28;68;100.0;6;105.43
2023-12-18 20:50:13;TRBUSDT;15m;3.5;250;60;68;100.0;2;105.72
2023-12-18 20:50:13;TRBUSDT;15m;1.5;125;28;68;100.0;4;105.77
2023-12-18 20:50:13;TRBUSDT;15m;2.0;250;58;68;100.0;2;106.06
2023-12-18 20:50:13;TRBUSDT;15m;3.0;250;52;68;100.0;3;106.06
2023-12-18 20:50:13;TRBUSDT;15m;2.0;225;28;68;100.0;2;106.12
2023-12-18 20:50:13;TRBUSDT;15m;2.0;250;28;68;100.0;2;106.12
2023-12-18 20:50:13;TRBUSDT;15m;2.5;175;30;68;100.0;7;106.34
2023-12-18 20:50:13;TRBUSDT;15m;4.0;250;56;68;100.0;2;106.36
2023-12-18 20:50:13;TRBUSDT;15m;2.5;250;60;68;100.0;3;106.47
2023-12-18 20:50:13;TRBUSDT;15m;3.0;250;60;68;100.0;2;106.64
