date;symbol;interval;target_margin;p_ema;min_rsi;max_rsi;amount_invested;stop_loss_multiplier;pnl
2024-01-03 07:15:36;TRXUSDT;30m;1.0;50;30;68;100.0;3;97.69
2024-01-03 07:15:36;TRXUSDT;30m;1.0;75;30;68;100.0;3;97.69
2024-01-03 07:15:36;TRXUSDT;30m;1.0;100;30;68;100.0;3;97.69
2024-01-03 07:15:36;TRXUSDT;30m;1.0;125;30;68;100.0;3;97.69
2024-01-03 07:15:36;TRXUSDT;30m;1.0;150;30;68;100.0;3;97.69
2024-01-03 07:15:36;TRXUSDT;30m;1.0;50;28;68;100.0;2;97.88
2024-01-03 07:15:36;TRXUSDT;30m;1.0;75;28;68;100.0;2;97.88
2024-01-03 07:15:36;TRXUSDT;30m;1.0;100;28;68;100.0;2;97.88
2024-01-03 07:15:36;TRXUSDT;30m;1.0;125;28;68;100.0;2;97.88
2024-01-03 07:15:36;TRXUSDT;30m;1.0;150;28;68;100.0;2;97.88
2024-01-03 07:15:36;TRXUSDT;30m;1.0;175;28;68;100.0;2;97.88
2024-01-03 07:15:36;TRXUSDT;30m;1.0;200;28;68;100.0;2;97.88
2024-01-03 07:15:36;TRXUSDT;30m;1.0;225;28;68;100.0;2;97.88
2024-01-03 07:15:36;TRXUSDT;30m;1.0;250;28;68;100.0;2;97.88
2024-01-03 07:15:36;TRXUSDT;30m;2.0;50;28;68;100.0;1;97.88
2024-01-03 07:15:36;TRXUSDT;30m;2.0;75;28;68;100.0;1;97.88
2024-01-03 07:15:36;TRXUSDT;30m;2.0;100;28;68;100.0;1;97.88
2024-01-03 07:15:36;TRXUSDT;30m;2.0;125;28;68;100.0;1;97.88
2024-01-03 07:15:36;TRXUSDT;30m;2.0;150;28;68;100.0;1;97.88
2024-01-03 07:15:36;TRXUSDT;30m;2.0;175;28;68;100.0;1;97.88
2024-01-03 07:15:36;TRXUSDT;30m;2.0;200;28;68;100.0;1;97.88
2024-01-03 07:15:36;TRXUSDT;30m;2.0;225;28;68;100.0;1;97.88
2024-01-03 07:15:36;TRXUSDT;30m;2.0;250;28;68;100.0;1;97.88
2024-01-03 07:15:36;TRXUSDT;30m;1.5;50;30;68;100.0;2;98.18
2024-01-03 07:15:36;TRXUSDT;30m;1.5;75;30;68;100.0;2;98.18
2024-01-03 07:15:36;TRXUSDT;30m;1.5;100;30;68;100.0;2;98.18
2024-01-03 07:15:36;TRXUSDT;30m;1.5;125;30;68;100.0;2;98.18
2024-01-03 07:15:36;TRXUSDT;30m;1.5;150;30;68;100.0;2;98.18
2024-01-03 07:15:36;TRXUSDT;30m;1.0;225;32;68;100.0;1;98.36
2024-01-03 07:15:36;TRXUSDT;30m;1.0;250;32;68;100.0;1;98.36
2024-01-03 07:15:36;TRXUSDT;30m;1.0;175;30;68;100.0;1;98.36
2024-01-03 07:15:36;TRXUSDT;30m;1.0;200;30;68;100.0;1;98.36
2024-01-03 07:15:36;TRXUSDT;30m;1.0;225;30;68;100.0;1;98.36
2024-01-03 07:15:36;TRXUSDT;30m;1.0;250;30;68;100.0;1;98.36
2024-01-03 07:15:36;TRXUSDT;30m;1.0;225;32;68;100.0;2;98.39
2024-01-03 07:15:36;TRXUSDT;30m;1.0;250;32;68;100.0;2;98.39
2024-01-03 07:15:36;TRXUSDT;30m;1.0;175;30;68;100.0;2;98.39
2024-01-03 07:15:36;TRXUSDT;30m;1.0;200;30;68;100.0;2;98.39
2024-01-03 07:15:36;TRXUSDT;30m;1.0;225;30;68;100.0;2;98.39
2024-01-03 07:15:36;TRXUSDT;30m;1.0;250;30;68;100.0;2;98.39
2024-01-03 07:15:36;TRXUSDT;30m;1.0;50;30;68;100.0;2;98.63
2024-01-03 07:15:36;TRXUSDT;30m;1.0;75;30;68;100.0;2;98.63
2024-01-03 07:15:36;TRXUSDT;30m;1.0;100;30;68;100.0;2;98.63
2024-01-03 07:15:36;TRXUSDT;30m;1.0;125;30;68;100.0;2;98.63
2024-01-03 07:15:36;TRXUSDT;30m;1.0;150;30;68;100.0;2;98.63
2024-01-03 07:15:36;TRXUSDT;30m;1.0;50;30;68;100.0;1;98.72
2024-01-03 07:15:36;TRXUSDT;30m;1.0;75;30;68;100.0;1;98.72
2024-01-03 07:15:36;TRXUSDT;30m;1.0;100;30;68;100.0;1;98.72
2024-01-03 07:15:36;TRXUSDT;30m;1.0;125;30;68;100.0;1;98.72
2024-01-03 07:15:36;TRXUSDT;30m;1.0;150;30;68;100.0;1;98.72
2024-01-03 07:15:36;TRXUSDT;30m;1.0;50;32;68;100.0;3;98.79
2024-01-03 07:15:36;TRXUSDT;30m;1.0;75;32;68;100.0;3;98.79
2024-01-03 07:15:36;TRXUSDT;30m;1.0;100;32;68;100.0;3;98.79
2024-01-03 07:15:36;TRXUSDT;30m;1.0;125;32;68;100.0;3;98.79
2024-01-03 07:15:36;TRXUSDT;30m;1.0;150;32;68;100.0;3;98.79
2024-01-03 07:15:36;TRXUSDT;30m;1.0;175;32;68;100.0;3;99.05
2024-01-03 07:15:36;TRXUSDT;30m;1.0;200;32;68;100.0;3;99.05
2024-01-03 07:15:36;TRXUSDT;30m;1.0;225;34;68;100.0;3;99.18
