date;symbol;interval;target_margin;p_ema;min_rsi;max_rsi;amount_invested;stop_loss_multiplier;pnl
2023-12-20 23:44:10;UNIUSDT;15m;1.5;250;30;68;100.0;2;109.26
2023-12-20 23:44:10;UNIUSDT;15m;1.5;225;30;68;100.0;2;109.31
2023-12-20 23:44:10;UNIUSDT;15m;1.5;50;30;68;100.0;2;109.6
2023-12-20 23:44:10;UNIUSDT;15m;1.5;75;30;68;100.0;2;109.6
2023-12-20 23:44:10;UNIUSDT;15m;1.5;100;30;68;100.0;2;109.6
2023-12-20 23:44:10;UNIUSDT;15m;1.5;125;30;68;100.0;2;109.6
2023-12-20 23:44:10;UNIUSDT;15m;1.5;150;30;68;100.0;2;109.6
2023-12-20 23:44:10;UNIUSDT;15m;1.5;175;30;68;100.0;2;109.6
2023-12-20 23:44:10;UNIUSDT;15m;1.5;200;30;68;100.0;2;109.6
2023-12-20 23:44:10;UNIUSDT;15m;2.0;50;28;68;100.0;2;111.44
2023-12-20 23:44:10;UNIUSDT;15m;2.0;75;28;68;100.0;2;111.44
2023-12-20 23:44:10;UNIUSDT;15m;2.0;100;28;68;100.0;2;111.44
2023-12-20 23:44:10;UNIUSDT;15m;2.0;125;28;68;100.0;2;111.44
2023-12-20 23:44:10;UNIUSDT;15m;2.0;150;28;68;100.0;2;111.44
2023-12-20 23:44:10;UNIUSDT;15m;2.0;175;28;68;100.0;2;111.44
2023-12-20 23:44:10;UNIUSDT;15m;2.0;200;28;68;100.0;2;111.44
2023-12-20 23:44:10;UNIUSDT;15m;2.0;225;28;68;100.0;2;111.44
2023-12-20 23:44:10;UNIUSDT;15m;1.5;250;28;68;100.0;2;112.74
2023-12-20 23:44:10;UNIUSDT;15m;1.5;50;28;68;100.0;2;112.79
2023-12-20 23:44:10;UNIUSDT;15m;1.5;75;28;68;100.0;2;112.79
2023-12-20 23:44:10;UNIUSDT;15m;1.5;100;28;68;100.0;2;112.79
2023-12-20 23:44:10;UNIUSDT;15m;1.5;125;28;68;100.0;2;112.79
2023-12-20 23:44:10;UNIUSDT;15m;1.5;150;28;68;100.0;2;112.79
2023-12-20 23:44:10;UNIUSDT;15m;1.5;175;28;68;100.0;2;112.79
2023-12-20 23:44:10;UNIUSDT;15m;1.5;200;28;68;100.0;2;112.79
2023-12-20 23:44:10;UNIUSDT;15m;1.5;225;28;68;100.0;2;112.79
2023-12-20 23:44:10;UNIUSDT;15m;1.0;50;30;68;100.0;3;112.93
2023-12-20 23:44:10;UNIUSDT;15m;1.0;75;30;68;100.0;3;112.93
2023-12-20 23:44:10;UNIUSDT;15m;1.0;100;30;68;100.0;3;112.93
2023-12-20 23:44:10;UNIUSDT;15m;1.0;125;30;68;100.0;3;112.93
2023-12-20 23:44:10;UNIUSDT;15m;1.0;150;30;68;100.0;3;112.93
2023-12-20 23:44:10;UNIUSDT;15m;1.0;175;30;68;100.0;3;112.93
2023-12-20 23:44:10;UNIUSDT;15m;1.0;200;30;68;100.0;3;112.93
2023-12-20 23:44:10;UNIUSDT;15m;1.0;250;30;68;100.0;3;112.99
2023-12-20 23:44:10;UNIUSDT;15m;1.0;225;30;68;100.0;3;113.03
2023-12-20 23:44:10;UNIUSDT;15m;1.0;50;28;68;100.0;7;114.83
