date;symbol;interval;target_margin;p_ema;min_rsi;max_rsi;amount_invested;stop_loss_multiplier;pnl
2023-12-20 23:40:52;WLDUSDT;30m;1.0;50;28;68;100.0;2;93.99
2023-12-20 23:40:52;WLDUSDT;30m;1.0;75;28;68;100.0;2;93.99
2023-12-20 23:40:52;WLDUSDT;30m;1.0;100;28;68;100.0;2;93.99
2023-12-20 23:40:52;WLDUSDT;30m;1.0;125;28;68;100.0;2;93.99
2023-12-20 23:40:52;WLDUSDT;30m;1.0;150;28;68;100.0;2;93.99
2023-12-20 23:40:52;WLDUSDT;30m;1.0;175;28;68;100.0;2;93.99
2023-12-20 23:40:52;WLDUSDT;30m;1.0;200;28;68;100.0;2;93.99
2023-12-20 23:40:52;WLDUSDT;30m;1.0;225;28;68;100.0;2;93.99
2023-12-20 23:40:52;WLDUSDT;30m;1.0;250;28;68;100.0;2;93.99
2023-12-20 23:40:52;WLDUSDT;30m;1.5;175;44;68;100.0;2;97.26
2023-12-20 23:40:52;WLDUSDT;30m;1.5;150;34;68;100.0;3;98.39
2023-12-20 23:40:52;WLDUSDT;30m;1.5;125;34;68;100.0;3;99.09
2023-12-20 23:40:52;WLDUSDT;30m;3.5;175;50;68;100.0;2;99.64
2023-12-20 23:40:52;WLDUSDT;30m;2.0;150;34;68;100.0;2;99.93
2023-12-20 23:40:52;WLDUSDT;30m;3.5;175;48;68;100.0;2;100.03
2023-12-20 23:40:52;WLDUSDT;30m;1.0;50;30;68;100.0;2;100.03
2023-12-20 23:40:52;WLDUSDT;30m;1.0;75;30;68;100.0;2;100.03
2023-12-20 23:40:52;WLDUSDT;30m;1.0;100;30;68;100.0;2;100.03
2023-12-20 23:40:52;WLDUSDT;30m;1.0;125;30;68;100.0;2;100.03
2023-12-20 23:40:52;WLDUSDT;30m;1.0;150;30;68;100.0;2;100.03
2023-12-20 23:40:52;WLDUSDT;30m;1.0;175;30;68;100.0;2;100.03
2023-12-20 23:40:52;WLDUSDT;30m;1.0;200;30;68;100.0;2;100.03
