date;symbol;interval;target_margin;p_ema;min_rsi;max_rsi;amount_invested;stop_loss_multiplier;pnl
2024-01-03 07:16:13;XMRUSDT;15m;1.0;150;46;68;100.0;1;95.65
2024-01-03 07:16:13;XMRUSDT;15m;1.5;150;58;68;100.0;1;96.18
2024-01-03 07:16:13;XMRUSDT;15m;1.5;150;56;68;100.0;1;96.47
2024-01-03 07:16:13;XMRUSDT;15m;1.0;150;44;68;100.0;1;96.89
2024-01-03 07:16:13;XMRUSDT;15m;1.0;150;40;68;100.0;1;97.05
2024-01-03 07:16:13;XMRUSDT;15m;1.0;75;40;68;100.0;1;97.28
2024-01-03 07:16:13;XMRUSDT;15m;1.5;150;60;68;100.0;1;97.4
2024-01-03 07:16:13;XMRUSDT;15m;1.0;50;40;68;100.0;1;97.4
2024-01-03 07:16:13;XMRUSDT;15m;1.0;150;42;68;100.0;1;97.46
2024-01-03 07:16:13;XMRUSDT;15m;1.0;175;46;68;100.0;1;97.52
2024-01-03 07:16:13;XMRUSDT;15m;1.0;200;46;68;100.0;1;97.52
2024-01-03 07:16:13;XMRUSDT;15m;1.0;125;40;68;100.0;1;97.65
2024-01-03 07:16:13;XMRUSDT;15m;1.5;150;54;68;100.0;1;97.75
2024-01-03 07:16:13;XMRUSDT;15m;1.0;50;36;68;100.0;1;97.86
2024-01-03 07:16:13;XMRUSDT;15m;1.0;75;36;68;100.0;1;97.86
2024-01-03 07:16:13;XMRUSDT;15m;2.0;125;40;68;100.0;1;97.92
2024-01-03 07:16:13;XMRUSDT;15m;1.5;175;58;68;100.0;1;97.99
2024-01-03 07:16:13;XMRUSDT;15m;2.0;75;40;68;100.0;1;98.02
2024-01-03 07:16:13;XMRUSDT;15m;2.0;100;40;68;100.0;1;98.07
2024-01-03 07:16:13;XMRUSDT;15m;2.0;50;40;68;100.0;1;98.09
2024-01-03 07:16:13;XMRUSDT;15m;1.5;175;56;68;100.0;1;98.35
2024-01-03 07:16:13;XMRUSDT;15m;1.0;100;40;68;100.0;1;98.49
2024-01-03 07:16:13;XMRUSDT;15m;1.0;225;46;68;100.0;1;98.58
2024-01-03 07:16:13;XMRUSDT;15m;1.0;125;46;68;100.0;1;98.59
2024-01-03 07:16:13;XMRUSDT;15m;1.0;150;36;68;100.0;1;98.59
2024-01-03 07:16:13;XMRUSDT;15m;1.0;175;40;68;100.0;1;98.77
