date;symbol;interval;target_margin;p_ema;min_rsi;max_rsi;amount_invested;stop_loss_multiplier;pnl
2024-01-02 07:18:54;AVAXUSDT;30m;5.0;150;56;68;100.0;4;138.41
2024-01-02 07:19:31;BCHUSDT;15m;2.5;150;42;68;100.0;2;138.52
2024-01-02 07:21:05;BCHUSDT;5m;5.0;75;40;68;100.0;2;138.98
2024-01-02 07:18:33;SOLUSDT;1h;5.0;100;54;68;100.0;2;139.34
2024-01-02 07:21:03;BNBUSDT;5m;3.5;75;40;68;100.0;2;139.72
2024-01-02 07:28:50;ADAUSDT;1m;1.0;100;52;68;100.0;2;139.92
2024-01-02 07:19:42;DYDXUSDT;15m;4.5;50;36;68;100.0;3;140.56
2024-01-02 07:18:33;DOTUSDT;1h;1.5;75;42;68;100.0;1;141.19
2024-01-02 07:18:36;DYDXUSDT;1h;5.0;225;54;68;100.0;2;141.4
2024-01-02 07:18:35;UNIUSDT;1h;3.5;75;44;68;100.0;1;141.84
2024-01-02 07:19:30;DOTUSDT;15m;5.0;50;38;68;100.0;3;141.96
2024-01-02 07:18:34;BCHUSDT;1h;2.0;75;48;68;100.0;2;142.18
2024-01-02 07:18:34;ADAUSDT;1h;2.5;175;50;68;100.0;2;142.2
2024-01-02 07:21:39;DYDXUSDT;5m;5.0;200;30;68;100.0;3;143.49
2024-01-02 07:19:31;MATICUSDT;15m;5.0;150;34;68;100.0;1;144.15
2024-01-02 07:21:01;DOTUSDT;5m;5.0;100;40;68;100.0;3;144.61
2024-01-02 07:18:53;MATICUSDT;30m;5.0;75;40;68;100.0;1;145.9
2024-01-02 07:19:28;SOLUSDT;15m;4.5;50;36;68;100.0;1;147.12
2024-01-02 07:18:54;BCHUSDT;30m;2.0;50;54;68;100.0;3;147.13
2024-01-02 07:21:04;AVAXUSDT;5m;3.5;75;42;68;100.0;6;147.28
2024-01-02 07:19:31;AVAXUSDT;15m;5.0;75;54;68;100.0;5;148.56
2024-01-02 07:31:45;UNIUSDT;1m;3.5;225;30;68;100.0;4;149.1
2024-01-02 07:18:35;TRBUSDT;1h;5.0;50;40;68;100.0;5;150.09
2024-01-02 07:21:04;MATICUSDT;5m;2.5;50;34;68;100.0;4;150.41
2024-01-02 07:28:50;BNBUSDT;1m;4.5;50;36;68;100.0;2;150.72
2024-01-02 07:31:55;DYDXUSDT;1m;1.0;100;34;68;100.0;1;151.29
2024-01-02 07:28:46;MATICUSDT;1m;2.0;50;42;68;100.0;7;151.63
2024-01-02 07:18:53;SOLUSDT;30m;1.5;50;44;68;100.0;6;151.77
2024-01-02 07:18:58;UNIUSDT;30m;2.5;75;40;68;100.0;2;152.2
2024-01-02 07:19:40;UNIUSDT;15m;4.0;50;42;68;100.0;1;153.02
2024-01-02 07:20:59;SOLUSDT;5m;2.5;75;58;68;100.0;1;154.99
2024-01-02 07:28:41;AVAXUSDT;1m;2.0;225;42;68;100.0;5;156.44
2024-01-02 07:21:36;UNIUSDT;5m;5.0;200;36;68;100.0;2;159.33
2024-01-02 07:21:40;WLDUSDT;5m;3.0;250;28;68;100.0;3;160.29
2024-01-02 07:28:49;DOTUSDT;1m;2.5;75;38;68;100.0;6;165.13
2024-01-02 07:18:59;WLDUSDT;30m;4.5;100;38;68;100.0;1;172.52
2024-01-02 07:18:36;WLDUSDT;1h;2.0;100;52;68;100.0;2;174.13
2024-01-02 07:19:42;WLDUSDT;15m;5.0;225;34;68;100.0;1;180.59
2024-01-02 07:18:58;TRBUSDT;30m;5.0;125;34;68;100.0;4;188.97
2024-01-02 07:19:40;TRBUSDT;15m;3.0;50;46;68;100.0;6;222.22
2024-01-02 07:28:34;SOLUSDT;1m;1.5;50;38;68;100.0;1;229.92
2024-01-02 07:21:34;TRBUSDT;5m;2.5;125;58;68;100.0;4;237.67
2024-01-02 07:31:37;TRBUSDT;1m;3.0;75;30;68;100.0;5;540.29
