date;symbol;interval;estimator;fix_imbalance_method;stop_loss;times_regression_profit_and_loss;features;final_value;score
;BTCUSDT;1h;knn;nearmiss;1.0;24;['open_time', 'status', 'close', 'quote_asset_volume', 'ema_24p', 'ema_200p'];100.0;[CAI_1.0=0.00][ESTAVEL=1.00][SOBE_1.0=0.00]
2023-10-14 16:25:04;BTCUSDT;1h;knn;nearmiss;1.0;24;['open_time', 'status', 'quote_asset_volume', 'ema_24p', 'ema_200p'];100.0;[CAI_1.0=0.00][ESTAVEL=1.00][SOBE_1.0=0.00]
2023-10-14 16:00:40;BTCUSDT;1h;knn;nearmiss;1.0;24;['open_time', 'status', 'close', 'quote_asset_volume', 'ema_24p', 'ema_200p'];100.0;[CAI_1.0=0.00][ESTAVEL=1.00][SOBE_1.0=0.00]
;BTCUSDT;1h;knn;instancehardnessthreshold;1.0;24;['open_time', 'status', 'close', 'quote_asset_volume', 'ema_24p', 'ema_200p'];174.5356445232011;[CAI_1.0=0.52][ESTAVEL=0.15][SOBE_1.0=0.39]
2023-10-14 16:00:37;BTCUSDT;1h;knn;instancehardnessthreshold;1.0;24;['open_time', 'status', 'close', 'quote_asset_volume', 'ema_24p', 'ema_200p'];174.5356445232011;[CAI_1.0=0.52][ESTAVEL=0.15][SOBE_1.0=0.39]
2023-10-14 16:34:01;BTCUSDT;1h;knn;repeatededitednearestneighbours;1.0;24;['open_time', 'status', 'quote_asset_volume', 'ema_24p', 'ema_200p'];197.69292010118713;[CAI_1.0=0.49][ESTAVEL=0.32][SOBE_1.0=0.26]
2023-10-14 16:33:57;BTCUSDT;1h;knn;editednearestneighborus;1.0;24;['open_time', 'status', 'quote_asset_volume', 'ema_24p', 'ema_200p'];197.69292010118713;[CAI_1.0=0.49][ESTAVEL=0.32][SOBE_1.0=0.26]
;BTCUSDT;1h;knn;condensednearestneighbour;1.0;24;['open_time', 'status', 'close', 'quote_asset_volume', 'ema_24p', 'ema_200p'];213.3003710355446;[CAI_1.0=0.48][ESTAVEL=0.17][SOBE_1.0=0.44]
2023-10-14 16:29:24;BTCUSDT;1h;knn;smoteenn;1.0;24;['open_time', 'status', 'quote_asset_volume', 'ema_24p', 'ema_200p'];235.9291680225195;[CAI_1.0=0.37][ESTAVEL=0.42][SOBE_1.0=0.33]
2023-10-14 16:25:01;BTCUSDT;1h;knn;instancehardnessthreshold;1.0;24;['open_time', 'status', 'quote_asset_volume', 'ema_24p', 'ema_200p'];262.38823327462484;[CAI_1.0=0.46][ESTAVEL=0.16][SOBE_1.0=0.43]
;BTCUSDT;1h;knn;smote;1.0;24;['open_time', 'status', 'close', 'quote_asset_volume', 'ema_24p', 'ema_200p'];292.0906309593733;[CAI_1.0=0.34][ESTAVEL=0.47][SOBE_1.0=0.32]
2023-10-14 16:00:58;BTCUSDT;1h;knn;smote;1.0;24;['open_time', 'status', 'close', 'quote_asset_volume', 'ema_24p', 'ema_200p'];292.0906309593733;[CAI_1.0=0.34][ESTAVEL=0.47][SOBE_1.0=0.32]
2023-10-14 15:56:35;BTCUSDT;1h;knn;borderlinesmote;1.0;24;['open_time', 'status', 'close', 'quote_asset_volume', 'ema_24p', 'ema_200p'];339.87825151054176;[CAI_1.0=0.37][ESTAVEL=0.41][SOBE_1.0=0.36]
2023-10-14 16:02:20;BTCUSDT;1h;knn;borderlinesmote;1.0;24;['open_time', 'status', 'close', 'quote_asset_volume', 'ema_24p', 'ema_200p'];339.87825151054176;[CAI_1.0=0.37][ESTAVEL=0.41][SOBE_1.0=0.36]
2023-10-14 15:59:55;BTCUSDT;1h;knn;repeatededitednearestneighbours;1.0;24;['open_time', 'status', 'close', 'quote_asset_volume', 'ema_24p', 'ema_200p'];345.17966723636783;[CAI_1.0=0.52][ESTAVEL=0.32][SOBE_1.0=0.26]
;BTCUSDT;1h;knn;editednearestneighborus;1.0;24;['open_time', 'status', 'close', 'quote_asset_volume', 'ema_24p', 'ema_200p'];345.17966723636783;[CAI_1.0=0.52][ESTAVEL=0.32][SOBE_1.0=0.26]
2023-10-14 15:59:52;BTCUSDT;1h;knn;editednearestneighborus;1.0;24;['open_time', 'status', 'close', 'quote_asset_volume', 'ema_24p', 'ema_200p'];345.17966723636783;[CAI_1.0=0.52][ESTAVEL=0.32][SOBE_1.0=0.26]
;BTCUSDT;1h;knn;repeatededitednearestneighbours;1.0;24;['open_time', 'status', 'close', 'quote_asset_volume', 'ema_24p', 'ema_200p'];345.17966723636783;[CAI_1.0=0.52][ESTAVEL=0.32][SOBE_1.0=0.26]
2023-10-14 16:25:16;BTCUSDT;1h;knn;randomundersampler;1.0;24;['open_time', 'status', 'quote_asset_volume', 'ema_24p', 'ema_200p'];365.1819606316933;[CAI_1.0=0.43][ESTAVEL=0.19][SOBE_1.0=0.42]
2023-10-14 16:03:53;BTCUSDT;1h;knn;smoteenn;1.0;24;['open_time', 'status', 'close', 'quote_asset_volume', 'ema_24p', 'ema_200p'];372.8405423944986;[CAI_1.0=0.36][ESTAVEL=0.40][SOBE_1.0=0.37]
2023-10-14 15:58:09;BTCUSDT;1h;knn;smoteenn;1.0;24;['open_time', 'status', 'close', 'quote_asset_volume', 'ema_24p', 'ema_200p'];372.8405423944986;[CAI_1.0=0.36][ESTAVEL=0.40][SOBE_1.0=0.37]
2023-10-14 16:25:25;BTCUSDT;1h;knn;smote;1.0;24;['open_time', 'status', 'quote_asset_volume', 'ema_24p', 'ema_200p'];379.6677453250094;[CAI_1.0=0.36][ESTAVEL=0.44][SOBE_1.0=0.34]
2023-10-14 16:23:59;BTCUSDT;1h;knn;repeatededitednearestneighbours;1.0;24;['open_time', 'status', 'quote_asset_volume', 'ema_24p', 'ema_200p'];386.17222652964097;[CAI_1.0=0.54][ESTAVEL=0.32][SOBE_1.0=0.23]
2023-10-14 16:23:55;BTCUSDT;1h;knn;editednearestneighborus;1.0;24;['open_time', 'status', 'quote_asset_volume', 'ema_24p', 'ema_200p'];386.17222652964097;[CAI_1.0=0.54][ESTAVEL=0.32][SOBE_1.0=0.23]
;BTCUSDT;1h;knn;randomundersampler;1.0;24;['open_time', 'status', 'close', 'quote_asset_volume', 'ema_24p', 'ema_200p'];395.5611140245136;[CAI_1.0=0.42][ESTAVEL=0.20][SOBE_1.0=0.43]
2023-10-14 16:00:49;BTCUSDT;1h;knn;randomundersampler;1.0;24;['open_time', 'status', 'close', 'quote_asset_volume', 'ema_24p', 'ema_200p'];395.5611140245136;[CAI_1.0=0.42][ESTAVEL=0.20][SOBE_1.0=0.43]
2023-10-14 16:03:50;BTCUSDT;1h;knn;svmsmote;1.0;24;['open_time', 'status', 'close', 'quote_asset_volume', 'ema_24p', 'ema_200p'];407.1788261093225;[CAI_1.0=0.42][ESTAVEL=0.19][SOBE_1.0=0.41]
2023-10-14 15:58:06;BTCUSDT;1h;knn;svmsmote;1.0;24;['open_time', 'status', 'close', 'quote_asset_volume', 'ema_24p', 'ema_200p'];407.1788261093225;[CAI_1.0=0.42][ESTAVEL=0.19][SOBE_1.0=0.41]
2023-10-14 16:34:06;BTCUSDT;1h;knn;allknn;1.0;24;['open_time', 'status', 'quote_asset_volume', 'ema_24p', 'ema_200p'];407.66745275588136;[CAI_1.0=0.48][ESTAVEL=0.19][SOBE_1.0=0.39]
2023-10-14 16:29:27;BTCUSDT;1h;knn;smotetomek;1.0;24;['open_time', 'status', 'quote_asset_volume', 'ema_24p', 'ema_200p'];419.380986137189;[CAI_1.0=0.37][ESTAVEL=0.42][SOBE_1.0=0.32]
;BTCUSDT;1h;knn;randomoversampler;1.0;24;['open_time', 'status', 'close', 'quote_asset_volume', 'ema_24p', 'ema_200p'];421.71640035271474;[CAI_1.0=0.40][ESTAVEL=0.15][SOBE_1.0=0.45]
2023-10-14 16:00:55;BTCUSDT;1h;knn;randomoversampler;1.0;24;['open_time', 'status', 'close', 'quote_asset_volume', 'ema_24p', 'ema_200p'];421.71640035271474;[CAI_1.0=0.40][ESTAVEL=0.15][SOBE_1.0=0.45]
2023-10-14 16:27:10;BTCUSDT;1h;knn;borderlinesmote;1.0;24;['open_time', 'status', 'quote_asset_volume', 'ema_24p', 'ema_200p'];438.4013261851622;[CAI_1.0=0.39][ESTAVEL=0.35][SOBE_1.0=0.35]
2023-10-14 16:24:02;BTCUSDT;1h;knn;allknn;1.0;24;['open_time', 'status', 'quote_asset_volume', 'ema_24p', 'ema_200p'];453.20122550613246;[CAI_1.0=0.48][ESTAVEL=0.20][SOBE_1.0=0.38]
;BTCUSDT;1h;knn;onesidedselection;1.0;24;['open_time', 'status', 'close', 'quote_asset_volume', 'ema_24p', 'ema_200p'];478.24920536490754;[CAI_1.0=0.43][ESTAVEL=0.06][SOBE_1.0=0.49]
2023-10-14 16:00:46;BTCUSDT;1h;knn;onesidedselection;1.0;24;['open_time', 'status', 'close', 'quote_asset_volume', 'ema_24p', 'ema_200p'];478.24920536490754;[CAI_1.0=0.43][ESTAVEL=0.06][SOBE_1.0=0.49]
;BTCUSDT;1h;knn;tomeklinks;1.0;24;['open_time', 'status', 'close', 'quote_asset_volume', 'ema_24p', 'ema_200p'];478.40996160103896;[CAI_1.0=0.43][ESTAVEL=0.06][SOBE_1.0=0.49]
2023-10-14 16:00:51;BTCUSDT;1h;knn;tomeklinks;1.0;24;['open_time', 'status', 'close', 'quote_asset_volume', 'ema_24p', 'ema_200p'];478.40996160103896;[CAI_1.0=0.43][ESTAVEL=0.06][SOBE_1.0=0.49]
2023-10-14 16:29:21;BTCUSDT;1h;knn;svmsmote;1.0;24;['open_time', 'status', 'quote_asset_volume', 'ema_24p', 'ema_200p'];486.0014706918026;[CAI_1.0=0.44][ESTAVEL=0.19][SOBE_1.0=0.40]
2023-10-14 15:59:59;BTCUSDT;1h;knn;allknn;1.0;24;['open_time', 'status', 'close', 'quote_asset_volume', 'ema_24p', 'ema_200p'];497.14344273525336;[CAI_1.0=0.49][ESTAVEL=0.18][SOBE_1.0=0.39]
;BTCUSDT;1h;knn;allknn;1.0;24;['open_time', 'status', 'close', 'quote_asset_volume', 'ema_24p', 'ema_200p'];497.14344273525336;[CAI_1.0=0.49][ESTAVEL=0.18][SOBE_1.0=0.39]
2023-10-14 15:56:31;BTCUSDT;1h;knn;smoten;1.0;24;['open_time', 'status', 'close', 'quote_asset_volume', 'ema_24p', 'ema_200p'];525.2575471010796;[CAI_1.0=0.42][ESTAVEL=0.06][SOBE_1.0=0.50]
2023-10-14 16:02:16;BTCUSDT;1h;knn;smoten;1.0;24;['open_time', 'status', 'close', 'quote_asset_volume', 'ema_24p', 'ema_200p'];525.2575471010796;[CAI_1.0=0.42][ESTAVEL=0.06][SOBE_1.0=0.50]
2023-10-14 16:25:14;BTCUSDT;1h;knn;onesidedselection;1.0;24;['open_time', 'status', 'quote_asset_volume', 'ema_24p', 'ema_200p'];540.7876685351912;[CAI_1.0=0.43][ESTAVEL=0.06][SOBE_1.0=0.49]
2023-10-14 16:25:19;BTCUSDT;1h;knn;tomeklinks;1.0;24;['open_time', 'status', 'quote_asset_volume', 'ema_24p', 'ema_200p'];541.7668102287588;[CAI_1.0=0.43][ESTAVEL=0.06][SOBE_1.0=0.49]
2023-10-14 16:25:09;BTCUSDT;1h;knn;neighbourhoodcleaningrule;1.0;24;['open_time', 'status', 'quote_asset_volume', 'ema_24p', 'ema_200p'];544.5312327022447;[CAI_1.0=0.51][ESTAVEL=0.11][SOBE_1.0=0.39]
2023-10-14 16:25:22;BTCUSDT;1h;knn;randomoversampler;1.0;24;['open_time', 'status', 'quote_asset_volume', 'ema_24p', 'ema_200p'];559.6079586736971;[CAI_1.0=0.40][ESTAVEL=0.15][SOBE_1.0=0.44]
2023-10-14 16:03:56;BTCUSDT;1h;knn;smotetomek;1.0;24;['open_time', 'status', 'close', 'quote_asset_volume', 'ema_24p', 'ema_200p'];574.6457181254041;[CAI_1.0=0.34][ESTAVEL=0.47][SOBE_1.0=0.31]
2023-10-14 15:58:13;BTCUSDT;1h;knn;smotetomek;1.0;24;['open_time', 'status', 'close', 'quote_asset_volume', 'ema_24p', 'ema_200p'];574.6457181254041;[CAI_1.0=0.34][ESTAVEL=0.47][SOBE_1.0=0.31]
2023-10-14 16:00:43;BTCUSDT;1h;knn;neighbourhoodcleaningrule;1.0;24;['open_time', 'status', 'close', 'quote_asset_volume', 'ema_24p', 'ema_200p'];676.2372192272977;[CAI_1.0=0.50][ESTAVEL=0.11][SOBE_1.0=0.40]
;BTCUSDT;1h;knn;neighbourhoodcleaningrule;1.0;24;['open_time', 'status', 'close', 'quote_asset_volume', 'ema_24p', 'ema_200p'];676.2372192272977;[CAI_1.0=0.50][ESTAVEL=0.11][SOBE_1.0=0.40]
2023-10-14 16:27:06;BTCUSDT;1h;knn;smoten;1.0;24;['open_time', 'status', 'quote_asset_volume', 'ema_24p', 'ema_200p'];690.5576216991249;[CAI_1.0=0.43][ESTAVEL=0.08][SOBE_1.0=0.48]
