date;symbol;interval;estimator;fix_imbalance_method;stop_loss;times_regression_profit_and_loss;features;CAI;ESTAVEL;SOBE;max_score
2023-10-20 09:32:31;ETHUSDT;1h;knn;repeatededitednearestneighbours;1.0;24;['open_time', 'status', 'volume'];0.3708;0.4367;0.2619;0.3708
2023-10-20 09:32:27;ETHUSDT;1h;knn;instancehardnessthreshold;1.0;24;['open_time', 'status', 'volume'];0.3837;0.3057;0.37;0.3837
2023-10-20 09:33:25;ETHUSDT;1h;knn;instancehardnessthreshold;1.0;24;['open_time', 'status', 'taker_buy_base_asset_volume'];0.3644;0.3155;0.3915;0.3915
2023-10-20 09:42:45;ETHUSDT;1h;knn;repeatededitednearestneighbours;1.0;24;['open_time', 'status', 'quote_asset_volume', 'number_of_trades', 'taker_buy_base_asset_volume'];0.392;0.2966;0.3612;0.392
2023-10-20 09:46:38;ETHUSDT;1h;knn;repeatededitednearestneighbours;1.0;24;['open_time', 'status', 'volume', 'quote_asset_volume', 'number_of_trades', 'taker_buy_quote_asset_volume'];0.3898;0.2899;0.4007;0.4007
2023-10-20 09:35:07;ETHUSDT;1h;knn;repeatededitednearestneighbours;1.0;24;['open_time', 'status', 'volume', 'taker_buy_base_asset_volume'];0.4045;0.3922;0.2608;0.4045
2023-10-20 09:40:56;ETHUSDT;1h;knn;repeatededitednearestneighbours;1.0;24;['open_time', 'status', 'volume', 'number_of_trades', 'taker_buy_base_asset_volume'];0.3735;0.271;0.4076;0.4076
2023-10-20 09:36:49;ETHUSDT;1h;knn;repeatededitednearestneighbours;1.0;24;['open_time', 'status', 'quote_asset_volume', 'taker_buy_quote_asset_volume'];0.3955;0.2808;0.4083;0.4083
2023-10-20 09:32:51;ETHUSDT;1h;knn;repeatededitednearestneighbours;1.0;24;['open_time', 'status', 'quote_asset_volume'];0.4095;0.2582;0.3882;0.4095
2023-10-20 09:35:03;ETHUSDT;1h;knn;instancehardnessthreshold;1.0;24;['open_time', 'status', 'volume', 'taker_buy_base_asset_volume'];0.4098;0.2972;0.336;0.4098
2023-10-20 09:37:50;ETHUSDT;1h;knn;repeatededitednearestneighbours;1.0;24;['open_time', 'status', 'number_of_trades', 'taker_buy_quote_asset_volume'];0.3905;0.2783;0.4105;0.4105
2023-10-20 09:51:47;ETHUSDT;1h;knn;repeatededitednearestneighbours;1.0;24;['open_time', 'status', 'volume', 'quote_asset_volume', 'number_of_trades', 'taker_buy_base_asset_volume', 'taker_buy_quote_asset_volume'];0.4106;0.3118;0.3718;0.4106
2023-10-20 09:33:10;ETHUSDT;1h;knn;repeatededitednearestneighbours;1.0;24;['open_time', 'status', 'number_of_trades'];0.4114;0.3118;0.401;0.4114
2023-10-20 09:49:57;ETHUSDT;1h;knn;repeatededitednearestneighbours;1.0;24;['open_time', 'status', 'quote_asset_volume', 'number_of_trades', 'taker_buy_base_asset_volume', 'taker_buy_quote_asset_volume'];0.3932;0.2917;0.412;0.412
2023-10-20 09:33:29;ETHUSDT;1h;knn;repeatededitednearestneighbours;1.0;24;['open_time', 'status', 'taker_buy_base_asset_volume'];0.4121;0.3477;0.2794;0.4121
2023-10-20 09:34:25;ETHUSDT;1h;knn;repeatededitednearestneighbours;1.0;24;['open_time', 'status', 'volume', 'quote_asset_volume'];0.4178;0.3197;0.3148;0.4178
2023-10-20 09:43:48;ETHUSDT;1h;knn;repeatededitednearestneighbours;1.0;24;['open_time', 'status', 'quote_asset_volume', 'taker_buy_base_asset_volume', 'taker_buy_quote_asset_volume'];0.4201;0.3447;0.3539;0.4201
2023-10-20 09:40:14;ETHUSDT;1h;knn;repeatededitednearestneighbours;1.0;24;['open_time', 'status', 'volume', 'quote_asset_volume', 'taker_buy_quote_asset_volume'];0.4216;0.3496;0.3276;0.4216
2023-10-20 09:37:46;ETHUSDT;1h;knn;instancehardnessthreshold;1.0;24;['open_time', 'status', 'number_of_trades', 'taker_buy_quote_asset_volume'];0.4223;0.2546;0.4145;0.4223
2023-10-20 09:39:53;ETHUSDT;1h;knn;repeatededitednearestneighbours;1.0;24;['open_time', 'status', 'volume', 'quote_asset_volume', 'taker_buy_base_asset_volume'];0.4239;0.338;0.3411;0.4239
2023-10-20 09:36:45;ETHUSDT;1h;knn;instancehardnessthreshold;1.0;24;['open_time', 'status', 'quote_asset_volume', 'taker_buy_quote_asset_volume'];0.4254;0.268;0.3974;0.4254
2023-10-20 09:36:29;ETHUSDT;1h;knn;repeatededitednearestneighbours;1.0;24;['open_time', 'status', 'quote_asset_volume', 'taker_buy_base_asset_volume'];0.4261;0.3435;0.2955;0.4261
2023-10-20 09:34:21;ETHUSDT;1h;knn;instancehardnessthreshold;1.0;24;['open_time', 'status', 'volume', 'quote_asset_volume'];0.4091;0.229;0.4262;0.4262
2023-10-20 09:39:48;ETHUSDT;1h;knn;instancehardnessthreshold;1.0;24;['open_time', 'status', 'volume', 'quote_asset_volume', 'taker_buy_base_asset_volume'];0.4083;0.2454;0.4266;0.4266
2023-10-20 09:41:59;ETHUSDT;1h;knn;repeatededitednearestneighbours;1.0;24;['open_time', 'status', 'volume', 'taker_buy_base_asset_volume', 'taker_buy_quote_asset_volume'];0.428;0.3477;0.3415;0.428
2023-10-20 09:45:32;ETHUSDT;1h;knn;repeatededitednearestneighbours;1.0;24;['open_time', 'status', 'number_of_trades', 'taker_buy_quote_asset_volume', 'ema_24p'];0.4163;0.2631;0.4291;0.4291
