data;symbol;interval;estimator;imbalance_method;stop_loss;regression_times;times_regression_profit_and_loss;profit_and_loss_value;start_value;final_value;numeric_features;regression_features;train_size;use-all-data-to-train;start_train_date;start_test_date;fold;no-tune;score;model_name;arguments
2023-10-18 15:16:56;AVAXUSDT;5m;knn;repeatededitednearestneighbours;1.0;0;72;875.47;100.0;975.47;quote_asset_volume,rsi,ema_72p,ema_200p;;0.7;False;2022-01-01;2023-01-01 00:05:00;3;True;[CAI_1.0=0.47][ESTAVEL=0.33][SOBE_1.0=0.33];<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=ETHUSDT,BNBUSDT,XRPUSDT,ADAUSDT,DOGEUSDT,SOLUSDT,TRXUSDT,DOTUSDT,MATICUSDT,LTCUSDT,BCHUSDT,AVAXUSDT,XLMUSDT,LINKUSDT,XMRUSDT,UNIUSDT,ATOMUSDT', '-interval-list=5m', '-estimator-list=knn', '-stop-loss-list=1.0', '-numeric-features=quote_asset_volume', '-regression-PnL-list=72', '-regression-times-list=0', '-start-train-date=2022-01-01', '-start-test-date=2023-01-01']
2023-10-18 15:17:17;AVAXUSDT;5m;knn;allknn;1.0;0;72;1743.12;100.0;1843.12;quote_asset_volume,rsi,ema_72p,ema_200p;;0.7;False;2022-01-01;2023-01-01 00:05:00;3;True;[CAI_1.0=0.46][ESTAVEL=0.23][SOBE_1.0=0.41];<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=ETHUSDT,BNBUSDT,XRPUSDT,ADAUSDT,DOGEUSDT,SOLUSDT,TRXUSDT,DOTUSDT,MATICUSDT,LTCUSDT,BCHUSDT,AVAXUSDT,XLMUSDT,LINKUSDT,XMRUSDT,UNIUSDT,ATOMUSDT', '-interval-list=5m', '-estimator-list=knn', '-stop-loss-list=1.0', '-numeric-features=quote_asset_volume', '-regression-PnL-list=72', '-regression-times-list=0', '-start-train-date=2022-01-01', '-start-test-date=2023-01-01']
2023-10-18 15:08:23;AVAXUSDT;5m;knn;allknn;1.0;0;72;1950.95;100.0;2050.95;rsi,ema_72p;;0.7;False;2022-01-01;2023-01-01 00:05:00;3;True;[CAI_1.0=0.46][ESTAVEL=0.08][SOBE_1.0=0.48];<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=ETHUSDT,BNBUSDT,XRPUSDT,ADAUSDT,DOGEUSDT,SOLUSDT,TRXUSDT,DOTUSDT,MATICUSDT,LTCUSDT,BCHUSDT,AVAXUSDT,XLMUSDT,LINKUSDT,XMRUSDT,UNIUSDT,ATOMUSDT', '-interval-list=5m', '-estimator-list=knn', '-stop-loss-list=1.0', '-numeric-features=quote_asset_volume', '-regression-PnL-list=72', '-regression-times-list=0', '-start-train-date=2022-01-01', '-start-test-date=2023-01-01']
2023-10-18 15:13:24;AVAXUSDT;5m;knn;allknn;1.0;0;72;2292.4;100.0;2392.4;quote_asset_volume,rsi,ema_200p;;0.7;False;2022-01-01;2023-01-01 00:05:00;3;True;[CAI_1.0=0.48][ESTAVEL=0.22][SOBE_1.0=0.41];<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=ETHUSDT,BNBUSDT,XRPUSDT,ADAUSDT,DOGEUSDT,SOLUSDT,TRXUSDT,DOTUSDT,MATICUSDT,LTCUSDT,BCHUSDT,AVAXUSDT,XLMUSDT,LINKUSDT,XMRUSDT,UNIUSDT,ATOMUSDT', '-interval-list=5m', '-estimator-list=knn', '-stop-loss-list=1.0', '-numeric-features=quote_asset_volume', '-regression-PnL-list=72', '-regression-times-list=0', '-start-train-date=2022-01-01', '-start-test-date=2023-01-01']
2023-10-18 15:12:08;AVAXUSDT;5m;knn;allknn;1.0;0;72;2336.79;100.0;2436.79;quote_asset_volume,rsi,ema_72p;;0.7;False;2022-01-01;2023-01-01 00:05:00;3;True;[CAI_1.0=0.48][ESTAVEL=0.22][SOBE_1.0=0.40];<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=ETHUSDT,BNBUSDT,XRPUSDT,ADAUSDT,DOGEUSDT,SOLUSDT,TRXUSDT,DOTUSDT,MATICUSDT,LTCUSDT,BCHUSDT,AVAXUSDT,XLMUSDT,LINKUSDT,XMRUSDT,UNIUSDT,ATOMUSDT', '-interval-list=5m', '-estimator-list=knn', '-stop-loss-list=1.0', '-numeric-features=quote_asset_volume', '-regression-PnL-list=72', '-regression-times-list=0', '-start-train-date=2022-01-01', '-start-test-date=2023-01-01']
2023-10-18 15:09:41;AVAXUSDT;5m;knn;allknn;1.0;0;72;2805.99;100.0;2905.99;rsi,ema_200p;;0.7;False;2022-01-01;2023-01-01 00:05:00;3;True;[CAI_1.0=0.45][ESTAVEL=0.09][SOBE_1.0=0.49];<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=ETHUSDT,BNBUSDT,XRPUSDT,ADAUSDT,DOGEUSDT,SOLUSDT,TRXUSDT,DOTUSDT,MATICUSDT,LTCUSDT,BCHUSDT,AVAXUSDT,XLMUSDT,LINKUSDT,XMRUSDT,UNIUSDT,ATOMUSDT', '-interval-list=5m', '-estimator-list=knn', '-stop-loss-list=1.0', '-numeric-features=quote_asset_volume', '-regression-PnL-list=72', '-regression-times-list=0', '-start-train-date=2022-01-01', '-start-test-date=2023-01-01']
2023-10-18 15:13:04;AVAXUSDT;5m;knn;repeatededitednearestneighbours;1.0;0;72;2921.15;100.0;3021.15;quote_asset_volume,rsi,ema_200p;;0.7;False;2022-01-01;2023-01-01 00:05:00;3;True;[CAI_1.0=0.48][ESTAVEL=0.31][SOBE_1.0=0.34];<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=ETHUSDT,BNBUSDT,XRPUSDT,ADAUSDT,DOGEUSDT,SOLUSDT,TRXUSDT,DOTUSDT,MATICUSDT,LTCUSDT,BCHUSDT,AVAXUSDT,XLMUSDT,LINKUSDT,XMRUSDT,UNIUSDT,ATOMUSDT', '-interval-list=5m', '-estimator-list=knn', '-stop-loss-list=1.0', '-numeric-features=quote_asset_volume', '-regression-PnL-list=72', '-regression-times-list=0', '-start-train-date=2022-01-01', '-start-test-date=2023-01-01']
2023-10-18 15:11:48;AVAXUSDT;5m;knn;repeatededitednearestneighbours;1.0;0;72;4652.42;100.0;4752.42;quote_asset_volume,rsi,ema_72p;;0.7;False;2022-01-01;2023-01-01 00:05:00;3;True;[CAI_1.0=0.48][ESTAVEL=0.31][SOBE_1.0=0.33];<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=ETHUSDT,BNBUSDT,XRPUSDT,ADAUSDT,DOGEUSDT,SOLUSDT,TRXUSDT,DOTUSDT,MATICUSDT,LTCUSDT,BCHUSDT,AVAXUSDT,XLMUSDT,LINKUSDT,XMRUSDT,UNIUSDT,ATOMUSDT', '-interval-list=5m', '-estimator-list=knn', '-stop-loss-list=1.0', '-numeric-features=quote_asset_volume', '-regression-PnL-list=72', '-regression-times-list=0', '-start-train-date=2022-01-01', '-start-test-date=2023-01-01']
2023-10-18 15:15:57;AVAXUSDT;5m;knn;allknn;1.0;0;72;8114.37;100.0;8214.37;rsi,ema_72p,ema_200p;;0.7;False;2022-01-01;2023-01-01 00:05:00;3;True;[CAI_1.0=0.45][ESTAVEL=0.10][SOBE_1.0=0.49];<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=ETHUSDT,BNBUSDT,XRPUSDT,ADAUSDT,DOGEUSDT,SOLUSDT,TRXUSDT,DOTUSDT,MATICUSDT,LTCUSDT,BCHUSDT,AVAXUSDT,XLMUSDT,LINKUSDT,XMRUSDT,UNIUSDT,ATOMUSDT', '-interval-list=5m', '-estimator-list=knn', '-stop-loss-list=1.0', '-numeric-features=quote_asset_volume', '-regression-PnL-list=72', '-regression-times-list=0', '-start-train-date=2022-01-01', '-start-test-date=2023-01-01']
2023-10-18 15:00:02;AVAXUSDT;5m;knn;repeatededitednearestneighbours;1.0;0;72;12732.29;100.0;12832.29;quote_asset_volume;;0.7;False;2022-01-01;2023-01-01 00:05:00;3;True;[CAI_1.0=0.44][ESTAVEL=0.39][SOBE_1.0=0.20];<< NOT SAVED >>;['-batch-training', '-calc-rsi', '-normalize', '-no-tune', '-n-jobs=20', '-symbol-list=ETHUSDT,BNBUSDT,XRPUSDT,ADAUSDT,DOGEUSDT,SOLUSDT,TRXUSDT,DOTUSDT,MATICUSDT,LTCUSDT,BCHUSDT,AVAXUSDT,XLMUSDT,LINKUSDT,XMRUSDT,UNIUSDT,ATOMUSDT', '-interval-list=5m', '-estimator-list=knn', '-stop-loss-list=1.0', '-numeric-features=quote_asset_volume', '-regression-PnL-list=72', '-regression-times-list=0', '-start-train-date=2022-01-01', '-start-test-date=2023-01-01']
